doid	name
DOID:14500	Fucosidosis
DOID:2748	Glycogen storage disease due to glycogen debranching enzyme deficiency
DOID:2746	Glycogen storage disease due to muscle glycogen phosphorylase deficiency
DOID:11721	Glycogen storage disease due to muscle phosphofructokinase deficiency
DOID:2754	Glycogen storage disease due to liver glycogen phosphorylase deficiency
DOID:0060284	Paroxysmal nocturnal hemoglobinuria
DOID:0080070	Mucolipidosis type II
DOID:1700	Recessive X-linked ichthyosis
DOID:12803	Mucopolysaccharidosis type 7
DOID:12705	Friedreich ataxia
DOID:1485	Cystic fibrosis
DOID:3687	MELAS
DOID:11727	Facioscapulohumeral dystrophy
DOID:12934	Kearns-Sayre syndrome
DOID:310	MERRF
DOID:3529	Central core disease
DOID:4398	Pustulosis palmaris et plantaris
DOID:11722	Steinert myotonic dystrophy
DOID:0060807	X-linked intellectual disability, Najm type
DOID:2106	Thomsen and Becker disease
DOID:0060820	X-linked intellectual disability, Nascimento type
DOID:14499	Fabry disease
DOID:1206	Rett syndrome
DOID:4890	Juvenile myoclonic epilepsy
DOID:0060172	Juvenile absence epilepsy
DOID:14175	Von Hippel-Lindau disease
DOID:0050628	Familial advanced sleep-phase syndrome
DOID:0110861	Autosomal recessive polycystic kidney disease
DOID:0050834	CHARGE syndrome
DOID:12704	Ataxia-telangiectasia
DOID:12858	Huntington disease
DOID:3534	Lafora disease
DOID:10923	Sickle cell anemia
DOID:1056	Oculocerebrorenal syndrome of Lowe
DOID:10017	Multiple endocrine neoplasia type 1
DOID:14261	Fragile X syndrome
DOID:14179	X-linked agammaglobulinemia
DOID:893	Wilson disease
DOID:0060763	X-linked retinoschisis
DOID:0050817	Stargardt disease
DOID:9169	Wiskott-Aldrich syndrome
DOID:1928	Williams syndrome
DOID:0050460	Wolf-Hirschhorn syndrome
DOID:4480	Achondroplasia
DOID:0090028	Ataxia with vitamin E deficiency
DOID:0060162	Dentatorubral pallidoluysian atrophy
DOID:0060013	T-B+ severe combined immunodeficiency due to gamma chain deficiency
DOID:0060161	Kennedy disease
DOID:9271	Ornithine transcarbamylase deficiency
DOID:0050470	Leprechaunism
DOID:0080041	Hypochondroplasia
DOID:705	Leber hereditary optic neuropathy
DOID:0060221	Maffucci syndrome
DOID:0060844	Norrie disease
DOID:3265	Chronic granulomatous disease
DOID:4239	Alveolar soft-tissue sarcoma
DOID:0060858	Hypotonia-cystinuria syndrome
DOID:13374	Fibrodysplasia ossificans progressiva
DOID:2512	Gorlin syndrome
DOID:3490	Noonan syndrome
DOID:12580	Monosomy 5p
DOID:1919	Lesch-Nyhan syndrome
DOID:3012	Li-Fraumeni syndrome
DOID:0060843	Hereditary neuropathy with liability to pressure palsies
DOID:13372	Alpha-1-antitrypsin deficiency
DOID:0050887	Townes-Brocks syndrome
DOID:14451	Hyperkalemic periodic paralysis
DOID:0090005	Schwartz-Jampel syndrome
DOID:14687	Diastrophic dwarfism
DOID:14452	Hypokalemic periodic paralysis
DOID:14702	BOR syndrome
DOID:1270	Hereditary hemorrhagic telangiectasia
DOID:14768	Saethre-Chotzen syndrome
DOID:3852	Peutz-Jeghers syndrome
DOID:14515	WAGR syndrome
DOID:905	Zellweger syndrome
DOID:1386	Abetalipoproteinemia
DOID:2935	Chédiak-Higashi syndrome
DOID:2339	Crouzon disease
DOID:6457	Cowden syndrome
DOID:3783	Coffin-Lowry syndrome
DOID:0060705	X-linked lymphoproliferative disease
DOID:1858	McCune-Albright syndrome
DOID:1838	Menkes disease
DOID:0050592	Jeune syndrome
DOID:0050778	Meckel syndrome
DOID:0110636	Congenital muscular dystrophy type 1A
DOID:12960	Apert syndrome
DOID:0050990	Familial paroxysmal ataxia
DOID:1699	Lamellar ichthyosis
DOID:0110785	X-linked spastic paraplegia type 34
DOID:0060231	Bruck syndrome
DOID:0110788	Autosomal dominant spastic paraplegia type 37
DOID:0110789	Autosomal dominant spastic paraplegia type 38
DOID:0110783	Autosomal recessive spastic paraplegia type 32
DOID:0110786	Autosomal recessive spastic paraplegia type 35
DOID:11725	Cornelia de Lange syndrome
DOID:9164	Idiopathic achalasia
DOID:0060436	22q11.2 microduplication syndrome
DOID:0060769	Alymphoid cystic thymic dysgenesis
DOID:1791	Primary peritoneal carcinoma
DOID:0050884	Triose phosphate-isomerase deficiency
DOID:2734	Darier disease
DOID:1925	Coffin-Siris syndrome
DOID:0080166	Myeloid neoplasm associated with PDGFRB rearrangement
DOID:0060536	Isolated complex I deficiency
DOID:10582	Refsum disease
DOID:0110724	Progressive epilepsy-intellectual disability syndrome, Finnish type
DOID:0050663	Bethlem myopathy
DOID:12305	Incontinentia pigmenti
DOID:9270	Alkaptonuria
DOID:2449	Acromegaly
DOID:0060175	Succinic semialdehyde dehydrogenase deficiency
DOID:0050452	Mevalonic aciduria
DOID:5768	Nager syndrome
DOID:0050833	Hereditary orotic aciduria
DOID:9250	Acrocallosal syndrome
DOID:6683	Aarskog-Scott syndrome
DOID:9467	Nail-patella syndrome
DOID:14753	Isovaleric acidemia
DOID:0060768	Smith-Magenis syndrome
DOID:13994	Cleidocranial dysplasia
DOID:2058	Chronic mucocutaneous candidiasis
DOID:0080132	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome
DOID:1339	Blackfan-Diamond anemia
DOID:4257	Caffey disease
DOID:0060346	Native American myopathy
DOID:2717	Bloom syndrome
DOID:9278	Argininemia
DOID:2729	Dyskeratosis congenita
DOID:11589	Familial dysautonomia
DOID:14796	Dubowitz syndrome
DOID:9280	Carbamoyl-phosphate synthetase 1 deficiency
DOID:14755	Argininosuccinic aciduria
DOID:0060600	Corpus callosum agenesis-neuronopathy syndrome
DOID:9955	Hypoplastic left heart syndrome
DOID:3827	Congenital diaphragmatic hernia
DOID:1060	Hartnup disease
DOID:769	Neuroblastoma
DOID:0050759	Proximal myotonic myopathy
DOID:0060744	Pendred syndrome
DOID:0050797	Peroxisomal acyl-CoA oxidase deficiency
DOID:0060889	Prune belly syndrome
DOID:13482	Proteus syndrome
DOID:3689	Neuralgic amyotrophy
DOID:0050469	Costello syndrome
DOID:0080038	Pycnodysostosis
DOID:9869	Hereditary fructose intolerance
DOID:4998	Langer-Giedion syndrome
DOID:1930	Laurence-Moon syndrome
DOID:0060246	MASA syndrome
DOID:0050465	Muir-Torre syndrome
DOID:13636	Fanconi anemia
DOID:14748	Sotos syndrome
DOID:0060354	Stormorken-Sjaastad-Langslet syndrome
DOID:14699	Thrombocytopenia-absent radius syndrome
DOID:14679	VACTERL/VATER association
DOID:4810	Cerebrotendinous xanthomatosis
DOID:14731	Weaver syndrome
DOID:0060644	Chondrodysplasia-disorder of sex development syndrome
DOID:0060307	Autosomal dominant non-syndromic intellectual disability
DOID:0110278	Autosomal recessive limb-girdle muscular dystrophy type 2D
DOID:5204	Fructose-1,6-bisphosphatase deficiency
DOID:0060247	Smith-McCort dysplasia
DOID:0060240	UV-sensitive syndrome
DOID:0050905	Inflammatory myofibroblastic tumor
DOID:0060486	Perry syndrome
DOID:8545	Malignant hyperthermia of anesthesia
DOID:10487	Hirschsprung disease
DOID:0050630	Åland Islands eye disease
DOID:5813	Purine nucleoside phosphorylase deficiency
DOID:11719	Oculopharyngeal muscular dystrophy
DOID:9562	Primary ciliary dyskinesia
DOID:0060258	Reticulate acropigmentation of Kitamura
DOID:13515	Tuberous sclerosis complex
DOID:10584	Retinitis pigmentosa
DOID:0050635	Alternating hemiplegia of childhood
DOID:3659	Sialuria
DOID:0090019	Sitosterolemia
DOID:12132	Granulomatosis with polyangiitis
DOID:0060372	Parkinsonian-pyramidal syndrome
DOID:14723	Beta-ketothiolase deficiency
DOID:0050448	White sponge nevus
DOID:0110794	Autosomal dominant spastic paraplegia type 42
DOID:0060855	Renal pseudohypoaldosteronism type 1
DOID:0060854	Generalized pseudohypoaldosteronism type 1
DOID:11335	Sarcoidosis
DOID:0060483	MEDNIK syndrome
DOID:6419	Tetralogy of Fallot
DOID:12308	Dubin-Johnson syndrome
DOID:2508	Takayasu arteritis
DOID:0060484	EAST syndrome
DOID:0060641	Endocrine-cerebro-osteodysplasia syndrome
DOID:4773	Congenital mesoblastic nephroma
DOID:10632	Wolfram syndrome
DOID:4249	Gerstmann-Straussler-Scheinker syndrome
DOID:0050433	Fatal familial insomnia
DOID:0060394	15q13.3 microdeletion syndrome
DOID:2217	Bernard-Soulier syndrome
DOID:14218	Dihydropyrimidine dehydrogenase deficiency
DOID:0060350	Adenine phosphoribosyltransferase deficiency
DOID:0050720	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
DOID:0090030	Corticosteroid-binding globulin deficiency
DOID:0060280	Primary pigmented nodular adrenocortical disease
DOID:0050561	Lennox-Gastaut syndrome
DOID:0050709	Early infantile epileptic encephalopathy
DOID:308	Early myoclonic encephalopathy
DOID:0050562	West syndrome
DOID:0110275	Autosomal recessive limb-girdle muscular dystrophy type 2A
DOID:12236	Primary biliary cholangitis
DOID:13375	Giant cell arteritis
DOID:14116	Multiple symmetric lipomatosis
DOID:11512	Budd-Chiari syndrome
DOID:2154	Nephroblastoma
DOID:399	Tuberculosis
DOID:9212	Pityriasis rubra pilaris
DOID:3261	Autosomal dominant hyper-IgE syndrome
DOID:4626	Hydranencephaly
DOID:14415	Legg-Calvé-Perthes disease
DOID:0050569	Seckel syndrome
DOID:0090068	Giant axonal neuropathy
DOID:0050474	Netherton syndrome
DOID:0050463	Campomelic dysplasia
DOID:0060894	Young-onset Parkinson disease
DOID:0060599	Nance-Horan syndrome
DOID:2216	Congenital factor V deficiency
DOID:0050477	Liddle syndrome
DOID:0050534	Congenital stationary night blindness
DOID:2987	Familial Mediterranean fever
DOID:9821	Choroideremia
DOID:14080	Familial hyperaldosteronism type I
DOID:10283	Familial prostate cancer
DOID:0110030	Alpha-thalassemia-X-linked intellectual disability syndrome
DOID:0090007	ICF syndrome
DOID:0050777	Joubert syndrome
DOID:0060468	Holt-Oram syndrome
DOID:14450	46,XX gonadal dysgenesis
DOID:13945	CADASIL
DOID:0050585	Berardinelli-Seip congenital lipodystrophy
DOID:0090012	Severe combined immunodeficiency due to DCLRE1C deficiency
DOID:1856	Cherubism
DOID:0060357	Chylomicron retention disease
DOID:14777	Benign familial neonatal epilepsy
DOID:14693	Hidrotic ectodermal dysplasia
DOID:0060651	MYH9-related disease
DOID:5325	Roberts syndrome
DOID:5688	Werner syndrome
DOID:0060239	Van der Woude syndrome
DOID:0060391	Monosomy 13q14
DOID:0060417	Distal monosomy 3p
DOID:14291	Noonan syndrome with multiple lentigines
DOID:12557	Duane retraction syndrome
DOID:0060847	Léri-Weill dyschondrosteosis
DOID:0050568	Autosomal recessive spondylocostal dysostosis
DOID:0050450	Gitelman syndrome
DOID:14448	46,XY complete gonadal dysgenesis
DOID:0090001	Fraser syndrome
DOID:0050476	Barth syndrome
DOID:10322	Chronic beryllium disease
DOID:0060550	Ablepharon macrostomia syndrome
DOID:0060565	3C syndrome
DOID:0050603	Acheiropodia
DOID:0050602	Triple A syndrome
DOID:0050605	Acrodermatitis enteropathica
DOID:14669	Acrodysostosis
DOID:2736	Acroosteolysis dominant type
DOID:0060853	17p11.2 microduplication syndrome
DOID:0110282	Autosomal recessive limb-girdle muscular dystrophy type 2H
DOID:0080099	Mitochondrial myopathy and sideroblastic anemia
DOID:0060861	Microphthalmia with limb anomalies
DOID:0050462	Antley-Bixler syndrome
DOID:0060341	Agnathia-holoprosencephaly-situs inversus syndrome
DOID:0050601	ADULT syndrome
DOID:0080050	Acromesomelic dysplasia, Maroteaux type
DOID:0080051	Acromesomelic dysplasia, Hunter-Thompson type
DOID:0110066	Amelogenesis imperfecta-nephrocalcinosis syndrome
DOID:0050634	Alopecia universalis
DOID:0050631	Allan-Herndon-Dudley syndrome
DOID:0050681	Borjeson-Forssman-Lehmann syndrome
DOID:0050680	Boomerang dysplasia
DOID:0060549	Barber-Say syndrome
DOID:0050656	Congenital intrauterine infection-like syndrome
DOID:0050657	Bannayan-Riley-Ruvalcaba syndrome
DOID:0050691	Branchio-oculo-facial syndrome
DOID:0050684	Bowen-Conradi syndrome
DOID:0050754	Ataxia-oculomotor apraxia type 1
DOID:0060560	Lethal congenital contracture syndrome type 2
DOID:0090004	Progressive pseudorheumatoid arthropathy of childhood
DOID:0060653	Lethal congenital contracture syndrome type 3
DOID:0050654	Baller-Gerold syndrome
DOID:0050655	Bamforth-Lazarus syndrome
DOID:0050556	Infantile onset spinocerebellar ataxia
DOID:0050647	Lethal ataxia with deafness and optic atrophy
DOID:7765	Coats disease
DOID:0080026	Otospondylomegaepiphyseal dysplasia
DOID:0060559	Lethal congenital contracture syndrome type 1
DOID:0050789	Tarsal-carpal coalition syndrome
DOID:0060462	Desbuquois syndrome
DOID:0060294	Cold-induced sweating syndrome
DOID:0050947	Hereditary hypophosphatemic rickets with hypercalciuria
DOID:4997	Camurati-Engelmann disease
DOID:0060233	Cardiofaciocutaneous syndrome
DOID:0050997	Dysequilibrium syndrome
DOID:0060798	Hypomyelination with atrophy of basal ganglia and cerebellum
DOID:0050818	Transcobalamin deficiency
DOID:0110711	Hypotrichosis with juvenile macular degeneration
DOID:1442	Alpers-Huttenlocher syndrome
DOID:0050662	Autosomal recessive bestrophinopathy
DOID:0060397	Distal monosomy 15q
DOID:0110790	Autosomal recessive spastic paraplegia type 39
DOID:0060410	1p36 deletion syndrome
DOID:0110184	Charcot-Marie-Tooth disease type 4J
DOID:0060762	Restrictive dermopathy
DOID:0090060	Wolcott-Rallison syndrome
DOID:0110283	Autosomal recessive limb-girdle muscular dystrophy type 2J
DOID:0050660	Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome
DOID:0050799	Guanidinoacetate methyltransferase deficiency
DOID:0060356	Vici syndrome
DOID:0060764	Autosomal recessive Robinow syndrome
DOID:0060569	Hypertrichotic osteochondrodysplasia, Cantu type
DOID:14737	Craniofrontonasal dysplasia
DOID:0080032	Craniodiaphyseal dysplasia
DOID:0050577	Cranioectodermal dysplasia
DOID:0080033	Craniometaphyseal dysplasia
DOID:0050981	Spinocerebellar ataxia type 34
DOID:9240	Erythromelalgia
DOID:0060782	EEC syndrome
DOID:0050572	Cone rod dystrophy
DOID:0050795	Progressive cone dystrophy
DOID:0090032	Dyssegmental dysplasia, Silverman-Handmaker type
DOID:0060490	Schimke immuno-osseous dysplasia
DOID:0060366	Hennekam syndrome
DOID:2120	Focal dermal hypoplasia
DOID:0080052	Acromesomelic dysplasia, Grebe type
DOID:14761	Greig cephalopolysyndactyly syndrome
DOID:0110737	Neuroferritinopathy
DOID:0060364	Galloway-Mowat syndrome
DOID:225	ANE syndrome
DOID:0060482	Oculoauricular syndrome, Schorderet type
DOID:0110640	Congenital muscular dystrophy due to LMNA mutation
DOID:0060438	Cole-Carpenter syndrome
DOID:0060465	Fibrochondrogenesis
DOID:0060466	Hereditary gingival fibromatosis
DOID:0050331	Lacrimoauriculodentodigital syndrome
DOID:10016	Multiple endocrine neoplasia type 2B
DOID:0050430	Multiple endocrine neoplasia type 2A
DOID:0080045	Kniest dysplasia
DOID:14780	KBG syndrome
DOID:0050428	Non-epidermolytic palmoplantar keratoderma
DOID:0110914	Infantile hypophosphatasia
DOID:0110915	Childhood-onset hypophosphatasia
DOID:0110913	Adult hypophosphatasia
DOID:0060473	Kabuki syndrome
DOID:0060348	Sanjad-Sakati syndrome
DOID:0050766	Choreoacanthocytosis
DOID:0050578	Occult macular dystrophy
DOID:0090020	Split hand-split foot malformation
DOID:4624	Enchondromatosis
DOID:0060739	Hand-foot-genital syndrome
DOID:0050819	Matthew-Wood syndrome
DOID:0050858	Marshall-Smith syndrome
DOID:0050779	Hydrolethalus
DOID:4603	Epidermolytic ichthyosis
DOID:0060881	Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement
DOID:3071	Gliosarcoma
DOID:3074	Giant cell glioblastoma
DOID:7008	Protoplasmic astrocytoma
DOID:7005	Gemistocytic astrocytoma
DOID:6726	Fibrillary astrocytoma
DOID:3181	Oligodendroglioma
DOID:6678	Hypodontia-dysplasia of nails syndrome
DOID:0060878	Hypoparathyroidism-deafness-renal disease syndrome
DOID:5648	Choroid plexus carcinoma
DOID:0060428	2q32q33 microdeletion syndrome
DOID:9248	Pallister-Hall syndrome
DOID:0060877	Superficial epidermolytic ichthyosis
DOID:0060713	Harlequin ichthyosis
DOID:0060424	6q25 microdeletion syndrome
DOID:0060610	Megacystis-microcolon-intestinal hypoperistalsis syndrome
DOID:14694	Johanson-Blizzard syndrome
DOID:0050449	Pachyonychia congenita
DOID:0060837	Microphthalmia-retinitis pigmentosa-foveoschisis-optic disc drusen syndrome
DOID:0060775	Microvillus inclusion disease
DOID:0090006	Renal coloboma syndrome
DOID:0060852	Pierson syndrome
DOID:0050763	Arthrogryposis-renal dysfunction-cholestasis syndrome
DOID:0050658	Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome
DOID:0050816	Ochoa syndrome
DOID:0060291	Oculodentodigital dysplasia
DOID:0060376	Joubert syndrome with orofaciodigital defect
DOID:0060374	Orofaciodigital syndrome type 4
DOID:0060316	Orofaciodigital syndrome type 1
DOID:0060731	Ondine syndrome
DOID:0110285	Autosomal recessive limb-girdle muscular dystrophy type 2Q
DOID:0110204	Autosomal recessive intermediate Charcot-Marie-Tooth disease type B
DOID:0060849	Osteoporosis-pseudoglioma syndrome
DOID:0080037	Autosomal dominant osteosclerosis, Worth type
DOID:0060886	Osteopathia striata-cranial sclerosis syndrome
DOID:0050877	Partial pancreatic agenesis
DOID:2626	Papilloma of choroid plexus
DOID:0050554	X-linked sideroblastic anemia and ataxia
DOID:0060237	Micro syndrome
DOID:14725	Autosomal dominant microcephaly
DOID:0060349	Microcephaly-lymphedema-chorioretinopathy syndrome
DOID:0060306	Ear-patella-short stature syndrome
DOID:0050854	Muckle-Wells syndrome
DOID:13099	Moyamoya disease
DOID:0050436	MULIBREY nanism
DOID:0050471	Carney complex
DOID:0060398	Distal 16p11.2 microdeletion syndrome
DOID:0080089	Tubular aggregate myopathy
DOID:0060405	17q23.1q23.2 microdeletion syndrome
DOID:0060404	17q12 microdeletion syndrome
DOID:0060241	3M syndrome
DOID:0060413	Distal 22q11.2 microdeletion syndrome
DOID:0050790	Fibular aplasia-complex brachydactyly syndrome
DOID:0060693	Monoamine oxidase A deficiency
DOID:0060290	Blepharophimosis-intellectual disability syndrome, SBBYS type
DOID:0050774	RAPADILINO syndrome
DOID:0050813	CHST3-related skeletal dysplasia
DOID:0050579	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency
DOID:0060614	Ulnar-mammary syndrome
DOID:0050775	Schneckenbecken dysplasia
DOID:0060766	Autosomal dominant Robinow syndrome
DOID:0060827	X-linked intellectual disability-psychosis-macroorchidism syndrome
DOID:0060802	X-linked intellectual disability, Snyder type
DOID:3263	Piebaldism
DOID:0050857	Perrault syndrome
DOID:0090067	Fuhrmann syndrome
DOID:0060673	Peters anomaly
DOID:0110117	RAS-associated autoimmune leukoproliferative disease
DOID:0080091	Spheroid body myopathy
DOID:0110764	Autosomal recessive spastic paraplegia type 11
DOID:0080047	Pseudoachondroplasia
DOID:3911	Hutchinson-Gilford progeria syndrome
DOID:0060488	Pitt-Hopkins syndrome
DOID:0060375	Orofaciodigital syndrome type 5
DOID:0080137	Multiple endocrine neoplasia type 4
DOID:0060213	Frontotemporal dementia with motor neuron disease
DOID:10591	Preeclampsia
DOID:0110116	Autoimmune lymphoproliferative syndrome with recurrent viral infections
DOID:0050645	Arterial tortuosity syndrome
DOID:0060589	Yunis-Varon syndrome
DOID:0060814	Wilson-Turner syndrome
DOID:0060229	Baraitser-Winter cerebrofrontofacial syndrome
DOID:0060342	Acromelic frontonasal dysplasia
DOID:0080036	Hyperostosis corticalis generalisata
DOID:0050167	Autoimmune polyendocrinopathy type 1
DOID:0050475	Weill-Marchesani syndrome
DOID:0110293	Autosomal recessive limb-girdle muscular dystrophy type 2P
DOID:1929	Supravalvular aortic stenosis
DOID:0060535	Warsaw breakage syndrome
DOID:7400	Nijmegen breakage syndrome
DOID:0060251	Sclerosteosis
DOID:8354	Complement component 3 deficiency
DOID:0110112	Atrial septal defect-atrioventricular conduction defects syndrome
DOID:0050576	Senior-Loken syndrome
DOID:0060741	Methylmalonic aciduria due to transcobalamin receptor defect
DOID:0090015	Cenani-Lenz syndrome
DOID:0050983	Spinocerebellar ataxia type 36
DOID:0050982	Spinocerebellar ataxia type 35
DOID:0050794	Multiple synostoses syndrome
DOID:0050788	Proximal symphalangism
DOID:0050781	Premature aging appearance-developmental delay-cardiac arrhythmia syndrome
DOID:0060773	Zlotogora-Ogur syndrome
DOID:3145	Hyperlipoproteinemia type 3
DOID:2235	Congenital factor II deficiency
DOID:5812	Immunodeficiency by defective expression of HLA class 2
DOID:14365	Systemic primary carnitine deficiency
DOID:13096	Sneddon syndrome
DOID:3329	Rolandic epilepsy
DOID:10892	Familial hypospadias
DOID:0050710	3-methylcrotonyl-CoA carboxylase deficiency
DOID:0110296	Autosomal recessive limb-girdle muscular dystrophy type 2M
DOID:0110284	Autosomal recessive limb-girdle muscular dystrophy type 2L
DOID:0110292	Autosomal recessive limb-girdle muscular dystrophy type 2O
DOID:0110298	Autosomal recessive limb-girdle muscular dystrophy type 2N
DOID:9521	Laron syndrome
DOID:12971	Hereditary spherocytosis
DOID:0050427	Xeroderma pigmentosum
DOID:0050776	X-linked non-syndromic intellectual disability
DOID:3883	Lynch syndrome
DOID:1935	Bardet-Biedl syndrome
DOID:0050978	Spinocerebellar ataxia type 29
DOID:0110771	Autosomal recessive spastic paraplegia type 18
DOID:0050994	Episodic ataxia type 6
DOID:6496	Extraskeletal myxoid chondrosarcoma
DOID:0090048	Dystonia 16
DOID:0060674	Catecholaminergic polymorphic ventricular tachycardia
DOID:0060867	Macrocephaly-intellectual disability-autism syndrome
DOID:10970	Inherited congenital spastic tetraplegia
DOID:0050993	Episodic ataxia type 5
DOID:0050979	Spinocerebellar ataxia type 30
DOID:0080109	Infantile myofibromatosis
DOID:14701	Propionic acidemia
DOID:3764	Denys-Drash syndrome
DOID:6846	Familial melanoma
DOID:14692	Smith-Lemli-Opitz syndrome
DOID:3713	Adenocarcinoma of ovary
DOID:14773	Cartilage-hair hypoplasia
DOID:0080153	Medium chain acyl-CoA dehydrogenase deficiency
DOID:0060174	Gamma-aminobutyric acid transaminase deficiency
DOID:0090031	Bifunctional enzyme deficiency
DOID:0060770	Congenitally uncorrected transposition of the great arteries
DOID:4226	Endometrial stromal sarcoma
DOID:12177	Common variable immunodeficiency
DOID:6688	Autoimmune lymphoproliferative syndrome
DOID:0060476	Perlman syndrome
DOID:14686	Axenfeld-Rieger syndrome
DOID:0050726	Tyrosinemia type 1
DOID:0110334	Osteogenesis imperfecta type 1
DOID:0110341	Osteogenesis imperfecta type 2
DOID:0110339	Osteogenesis imperfecta type 3
DOID:0110340	Osteogenesis imperfecta type 4
DOID:0110344	Osteogenesis imperfecta type 5
DOID:0050980	Spinocerebellar ataxia type 31
DOID:0090029	CINCA syndrome
DOID:0110201	Autosomal recessive intermediate Charcot-Marie-Tooth disease type A
DOID:0060432	17p13.3 microduplication syndrome
DOID:0060461	Microduplication Xp11.22-p11.23 syndrome
