long_drug,cas_no,db_name,dbid,ind,doid,ind_type,long_ind
Adalimumab,331731-18-1,Adalimumab,DB00051,juvenile rheumatoid arthritis,doid:676,original,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 4 years of age and older. It can be used alone or in combination with methotrexate.
Adalimumab,331731-18-1,Adalimumab,DB00051,Crohn's disease,doid:8778,repositioned,Treatment of pediatric Crohn's disease.
Adenosine,58-61-7,Adenosine,DB00640,Lown-Ganong-Levine syndrome,doid:13087,original,"Conversion to sinus rhythm of paroxysmal supraventricular tachycardia, including that associated with accessory bypass tracts (Wolff-Parkinson-White Syndrome)."
Adenosine,58-61-7,Adenosine,DB00640,brain cancer,doid:1319,repositioned,For use in conjunction with BCNU in the treatment of brain tumors.
Albuterol,18559-94-9,Salbutamol,DB01001,chronic obstructive pulmonary disease,doid:3083,original,"For the prevention and relief of bronchospasm in patients with reversible obstructive airway disease, and for the prevention of exercise-induced bronchospasm."
Albuterol,18559-94-9,Salbutamol,DB01001,central nervous system disease,doid:331,repositioned,Prevention of paralysis due to spinal cord injury
Aldesleukin,85898-30-2,Aldesleukin,DB00041,renal cell carcinoma,doid:4450,original,Treatment of adults (>18 years old) with metastatic renal cell carcinoma.
Aldesleukin,85898-30-2,Aldesleukin,DB00041,melanoma,doid:1909,original,Treatment of adults with metastatic melanoma.
Aldesleukin,85898-30-2,Aldesleukin,DB00041,non-Hodgkin lymphoma,doid:0060060,repositioned,For the treatment non-Hodgkin's lymphoma.
Aldesleukin,85898-30-2,Aldesleukin,DB00041,acute myeloid leukemia,doid:9119,repositioned,Treatment of acute myelogenous leukemia.
Aldesleukin,85898-30-2,Aldesleukin,DB00041,primary immunodeficiency disease,doid:612,repositioned,Treatment of primary immunodeficiency disease associated with T-cell defects.
Alefacept,222535-22-0,Alefacept,DB00092,psoriasis,doid:8893,original,Treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy.
Alefacept,222535-22-0,Alefacept,DB00092,Transplant Rejection,,repositioned,For use as prophylaxis of rejection in patients receiving allogenic solid organ transplants.
Alendronate,66376-36-1,Alendronic acid,DB00630,osteoporosis,doid:11476,original,Treatment and prevention of osteoporosis in postmenopausal women; Treatment to increase bone mass in men with osteoporosis. Treatment of glucocorticoid-induced osteoporosis in men and women receiving glucocorticoids in a daily dosage equivalent to 7.5 mg or greater of prednisone and who have low bone mineral density;Treatment of Paget_s disease of bone in men and women.
Alendronate,66376-36-1,Alendronic acid,DB00630,osteogenesis imperfecta,doid:12347,repositioned,Treatment of osteogenesis imperfecta in pediatric patients 4 years of age and older
Alendronate,66376-36-1,Alendronic acid,DB00630,Gaucher's disease,doid:1926,repositioned,Treatment of the bone manifestations of Gaucher disease
Alfentanil,71195-58-9,Alfentanil,DB00802,**Analgesic**,,original,Alfentanil Injection is indicated: as an analgesic adjunct given in incremental doses in the maintenance of anesthesia with barbiturate/nitrous oxide/oxygen; as an analgesic administered by continuous infusion with nitrous oxide/oxygen in the maintenance of general anesthesia; as a primary anesthetic agent for the induction of anesthesia in patients undergoing general surgery in which endotracheal intubation and mechanical ventilation are required; as the analgesic component for monitored anesthesia care.
Alfentanil,71195-58-9,Alfentanil,DB00802,neuropathy,doid:870,repositioned,Treatment of painful HIV-associated neuropathy
Alglucerase injection,37228-64-1,Taliglucerase Alfa,DB08876,Gaucher's disease,doid:1926,original,"Use as a long-term enzyme replacement therapy for children, adolescents and adult patients with a confirmed diagnosis of Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in one or more of the following conditions: a. moderate-to-severe anemia; b. thrombocytopenia with bleeding tendency;  c. bone disease;  d.significant hepatomegaly or splenomegaly."
Alglucerase injection,37228-64-1,Taliglucerase Alfa,DB08876,Gaucher's disease,doid:1926,repositioned,Replacement therapy in patients with Type II and III Gaucher's disease.
Alitretinoin,9009-81-8,Alitretinoin,DB00523,Kaposi's sarcoma,doid:8632,original,Topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.
Alitretinoin,9009-81-8,Alitretinoin,DB00523,acute promyelocytic leukemia,doid:0060318,repositioned,Treatment of acute promyelocytic leukemia
Allopurinol,315-30-0,Allopurinol,DB00437,lymphatic system cancer,doid:0060073,original,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy."
Allopurinol,315-30-0,Allopurinol,DB00437,gout,doid:13189,original,"Management of patients with signs and symptoms of primary or secondary gout (acute attacks, tophi, joint destruction, uric acid lithiasis and/or nephropathy); Management of patients with recurrent calcium oxalate calculi whose daily uric acid excretion exceeds 800  mg/day  in  male patients and 750 mg/day in female patients."
Allopurinol,315-30-0,Allopurinol,DB00437,**organ preservation**,,repositioned,Ex-vivo preservation of cadaveric kidneys for transplantation
Allopurinol,315-30-0,Allopurinol,DB00437,Chagas disease,doid:12140,repositioned,Treatment of Chagas' disease.
Allopurinol,315-30-0,Allopurinol,DB00437,leishmaniasis,doid:9065,repositioned,Treatment of cutaneous and visceral leishmaniasis.
Alpha1-Proteinase Inhibitor (Human),9041-92-3,Alpha-1-proteinase inhibitor,DB00058,pulmonary emphysema,doid:9675,original,For chronic replacement therapy of individuals having congenital deficiency of alpha1- proteinase inhibitor with clinically demonstrable panacinar emphysema.
Alpha1-Proteinase Inhibitor (Human),9041-92-3,Alpha-1-proteinase inhibitor,DB00058,alpha 1-antitrypsin deficiency,doid:13372,repositioned,Inhalation therapy for the the treatment of congential deficiency of alpha1-proteinase inhibitor.
Alpha1-Proteinase Inhibitor (Human),9041-92-3,Alpha-1-proteinase inhibitor,DB00058,lung disease,doid:850,repositioned,Prevention of bronchopulmonary dysplasia
Alpha1-Proteinase Inhibitor (Human),9041-92-3,Alpha-1-proteinase inhibitor,DB00058,chronic obstructive pulmonary disease,doid:3083,repositioned,To delay progression of chronic obstructive pulmonary disease resulting from AAT deficiency-mediated emphysema and bronchiectasis
Alpha1-Proteinase Inhibitor (Human),9041-92-3,Alpha-1-proteinase inhibitor,DB00058,bronchiectasis,doid:9563,repositioned,Treatment of bronchiectasis
Alpha1-Proteinase Inhibitor (Human),9041-92-3,Alpha-1-proteinase inhibitor,DB00058,cystic fibrosis,doid:1485,repositioned,Treatment of cystic fibrosis
Alpha1-Proteinase Inhibitor (Human),9041-92-3,Alpha-1-proteinase inhibitor,DB00058,pulmonary emphysema,doid:9675,repositioned,Treatment of emphysema secondary to congenital alpha1-antitrypsin deficiency.
Alprostadil,745-65-3,Alprostadil,DB00770,impotence,doid:1875,original,"Treatment of erectile dysfunction due to neurogenic, vasculogenic, psychogenic, or mixed etiology."
Alprostadil,745-65-3,Alprostadil,DB00770,postherpetic neuralgia,,repositioned,Management of postherpetic neuralgia
Alprostadil,745-65-3,Alprostadil,DB00770,peripheral vascular disease,doid:341,repositioned,"Treatment of severe peripheral arterial occlusive disease (critical limb ischemia) in patients where other procedures, grafts or angioplasty, are not indicated."
Alteplase,105857-23-6,Alteplase,DB00009,,,original,Restoration of funciton to central venous access devices as assessed by the ability to withdraw blood.
Alteplase,105857-23-6,Alteplase,DB00009,Intraventricular hemmorage,,repositioned,Treatment of intraventricular hemmorage associated with intracerebral hemmorrhage
Ambrisentan,177036-94-1,Ambrisentan,DB06403,pulmonary hypertension,doid:6432,original,Treatment of pulmonary arterial hypertension (WHO group I) in patients with WHO class II or III symptoms to improve exercise capacity and delay clinical worsening
Ambrisentan,177036-94-1,Ambrisentan,DB06403,idiopathic pulmonary fibrosis,doid:0050156,repositioned,Treatment of idiopathic pulmonary fibrosis
Amifostine,20537-88-6,Amifostine,DB01143,xerostomia,,original,"Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer, where the radiation port includes a substantial portion of the parotid glands. "
Amifostine,20537-88-6,Amifostine,DB01143,toxicity,,repositioned,For the reduction of the incidence and severity of toxicities associated with cisplatin administration.  
Amifostine,20537-88-6,Amifostine,DB01143,myelodysplastic syndrome,doid:0050908,repositioned,Treatment of myelodysplastic syndromes.  
Amiloride HCl solution for inhalation,2016-88-8,Amiloride,DB00594,hypokalemia,doid:4500,original,"As adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension to: help restore normal serum potassium levels in patients who develop hypokalemia on the kaliuretic diuretic; prevent development of hypokalemia in patients who would be exposed to particular risk if hypokalemia were to develop, e.g., digitalized patients or patients with significant cardiac arrhythmias."
Amiloride HCl solution for inhalation,2016-88-8,Amiloride,DB00594,cystic fibrosis,doid:1485,repositioned,Treatment of cystic fibrosis.
Aminocaproic acid,60-32-2,Aminocaproic Acid,DB00513,fibrinolysis,,original,Useful in enhancing hemostasis when fibrinolysis contributes to bleeding.
Aminocaproic acid,60-32-2,Aminocaproic Acid,DB00513,hyphema,,repositioned,For the topical treatment of traumatic hyphema of the eye.
Aminolevulinic acid hydrochloride,106-60-5,Aminolevulinic acid,DB00855,actinic keratosis,doid:8866,original,"The LEVULAN KERASTICK for Topical Solution, a porphyrin precursor, plus blue light illumination using the BLU-U Blue Light Photodynamic Therapy Illuminator is indicated for the treatment of minimally to moderately thick actinic keratoses of the face or scalp."
Aminolevulinic acid hydrochloride,106-60-5,Aminolevulinic acid,DB00855,esophagus carcinoma in situ,doid:9095,repositioned,Treatment of esophageal dysplasia
Aminosidine,1263-89-4,Paromomycin,DB01421,amebiasis,doid:9181,original,It is indicated for intestinal amebiasis__acute and chronic.
Aminosidine,1263-89-4,Paromomycin,DB01421,hepatic coma,doid:12550,original,It is indicated for management of hepatic coma__as adjunctive therapy.
Aminosidine,1263-89-4,Paromomycin,DB01421,Mycobacterium avium complex disease,doid:2755,repositioned,Treatment of Mycobacterium avium complex.
Aminosidine,1263-89-4,Paromomycin,DB01421,tuberculosis,doid:399,repositioned,Treatment of tuberculosis.
Aminosidine,1263-89-4,Paromomycin,DB01421,visceral leishmaniasis,doid:9146,repositioned,Treatment of visceral leishmaniasis (kala-azar).
Anagrelide,68475-42-3,Anagrelide,DB00261,hemorrhagic thrombocythemia,doid:2224,original,Treatment of patients with essential thrombocythemia to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms.
Anagrelide,68475-42-3,Anagrelide,DB00261,polycythemia vera,doid:8997,repositioned,Treatment of polycythemia vera.
Anti-tac (human),152923-56-3,Daclizumab,DB00111,Transplant Rejection,,original,"Prophylaxis of acute organ rejection in patients receiving renal transplants, to be used as a part of an immunosuppressive  regimen that includes cyclosporine and corticosteroids."
Anti-tac (human),152923-56-3,Daclizumab,DB00111,graft vs host disease,,repositioned,Prevention of acute graft-vs-host disease following bone marrow transplantation.
Apomorphine,41372-20-7,Apomorphine,DB00714,hypomobility,,original,"For the acute, intermittent treatment of hypomobility, _off_ episodes (_end-of-dose wearing off_ and unpredictable _on/off_ episodes) associated with advanced Parkinson_s disease. "
Apomorphine,41372-20-7,Apomorphine,DB00714,traumatic brain injury,,repositioned,For the treatment of patients in a vegetative state or minimally conscious state for up to 12 months following a severe traumatic brain injury (traumatic or spontaneous).
Arcitumomab,154361-48-5,Arcitumomab,DB00113,**diagnostic agent**,,original,"Useful for the detection of presence, location, and extent of recurrent and metastatic colorectal adenocarcinoma involving the liver, extrahepatic abdomen, and pelvis."
Arcitumomab,154361-48-5,Arcitumomab,DB00113,**diagnostic agent**,,repositioned,"Diagnosis and localization of primary, residual, recurrent and metastatic medullary thyroid carcinoma."
Aripiprazole,129722-12-9,Aripiprazole,DB01238,schizophrenia,doid:5419,original,"A. as oral formulations for the: 1.Treatment of schizophrenia (Adults & Adolescents [ages 13-17]); 2. Acute treatment of manic or mixed episodes associated with bipolar I disorder as monotherapy and as an adjunct to lithium or valproate (Adults & Pediatric Patients [ages 10-17]), Maintenance treatment of bipolar I disorder (Adults); 3. Adjunctive treatment of major depressive disorder (Adults); 4.Treatment of irritability associated with autistic disorder (Pediatric Patients [ages 6-17 years]). B. as an injection for the: Acute treatment of agitation associated with schizophrenia or bipolar I disorder (Adults)."
Aripiprazole,129722-12-9,Aripiprazole,DB01238,bipolar disorder,doid:3312,original,"A. as oral formulations for the: 1.Treatment of schizophrenia (Adults & Adolescents [ages 13-17]); 2. Acute treatment of manic or mixed episodes associated with bipolar I disorder as monotherapy and as an adjunct to lithium or valproate (Adults & Pediatric Patients [ages 10-17]), Maintenance treatment of bipolar I disorder (Adults); 3. Adjunctive treatment of major depressive disorder (Adults); 4.Treatment of irritability associated with autistic disorder (Pediatric Patients [ages 6-17 years]). B. as an injection for the: Acute treatment of agitation associated with schizophrenia or bipolar I disorder (Adults)."
Aripiprazole,129722-12-9,Aripiprazole,DB01238,major depressive disorder,doid:1470,original,"A. as oral formulations for the: 1.Treatment of schizophrenia (Adults & Adolescents [ages 13-17]); 2. Acute treatment of manic or mixed episodes associated with bipolar I disorder as monotherapy and as an adjunct to lithium or valproate (Adults & Pediatric Patients [ages 10-17]), Maintenance treatment of bipolar I disorder (Adults); 3. Adjunctive treatment of major depressive disorder (Adults); 4.Treatment of irritability associated with autistic disorder (Pediatric Patients [ages 6-17 years]). B. as an injection for the: Acute treatment of agitation associated with schizophrenia or bipolar I disorder (Adults)."
Aripiprazole,129722-12-9,Aripiprazole,DB01238,irritability,,original,"A. as oral formulations for the: 1.Treatment of schizophrenia (Adults & Adolescents [ages 13-17]); 2. Acute treatment of manic or mixed episodes associated with bipolar I disorder as monotherapy and as an adjunct to lithium or valproate (Adults & Pediatric Patients [ages 10-17]), Maintenance treatment of bipolar I disorder (Adults); 3. Adjunctive treatment of major depressive disorder (Adults); 4.Treatment of irritability associated with autistic disorder (Pediatric Patients [ages 6-17 years]). B. as an injection for the: Acute treatment of agitation associated with schizophrenia or bipolar I disorder (Adults)."
Aripiprazole,129722-12-9,Aripiprazole,DB01238,Gilles de la Tourette syndrome,doid:11119,repositioned,Treatment of Tourette's syndrome 
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,acute promyelocytic leukemia,doid:0060318,original,"For induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression."
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,acute myeloid leukemia,doid:9119,repositioned,"Treatment of acute myelocytic leukemia subtypes M0, M1, M2, M4, M5, M6 and M7"
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,chronic lymphocytic leukemia,doid:1040,repositioned,Treatment of chronic lymphocytic leukemia
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,myeloid leukemia,doid:8692,repositioned,Treatment of chronic myeloid leukemia
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,liver cancer,doid:3571,repositioned,Treatment of liver cancer
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,malignant glioma,doid:3070,repositioned,Treatment of malignant glioma
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,multiple myeloma,doid:9538,repositioned,Treatment of multiple myeloma.
Arsenic trioxide,1327-53-3,Arsenic trioxide,DB01169,myelodysplastic syndrome,doid:0050908,repositioned,Treatment of myelodysplastic syndrome.
Ascorbic acid,50-81-7,Vitamin C,DB00126,**nutritional additive**,,original,A vitamin. An ingredient of approved multi-vitamins
Ascorbic acid,50-81-7,Vitamin C,DB00126,Charcot-Marie-Tooth disease,doid:10595,repositioned,Treatment of Charcot-Marie-Tooth disease type 1A.
Ascorbic acid,50-81-7,Vitamin C,DB00126,scurvy,doid:13724,repositioned,Treatment of scurvy 
Atomoxetine hydrochloride,82248-59-7,Atomoxetine,DB00289,attention deficit hyperactivity disorder,doid:1094,original,Treatment of Attention Deficit Hyperactivity Disorder.
Atomoxetine hydrochloride,82248-59-7,Atomoxetine,DB00289,Gilles de la Tourette syndrome,doid:11119,repositioned,Treatment of Tourette's Syndrome
Atovaquone,95233-18-4,Atovaquone,DB01117,pneumocystosis,doid:11339,original,For the acute oral treatment of mild to moderate Pneumocystis carinii pneumonia in patients who are intolerant to trimethoprim-sulfamethoxazole.
Atovaquone,95233-18-4,Atovaquone,DB01117,toxoplasmosis,doid:9965,repositioned,Primary prophylaxis of HIV-infected persons at high risk for developing Toxoplasma gondii encephalitis.
Azacitidine,320-67-2,Azacitidine,DB00928,myelodysplastic syndrome,doid:0050908,original,"Treatment of patients with the following myelodysplastic syndrome subtypes: refractory anemia or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia and requiring transfusions), refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia."
Azacitidine,320-67-2,Azacitidine,DB00928,myeloid leukemia,doid:8692,repositioned,Treatment of acute myeloid leukemia
Azathioprine,446-86-6,Azathioprine,DB00993,rheumatoid arthritis,doid:7148,original,Azathioprine is  indicated for the management of active rheumatoid arthritis to reduce signs and symptoms.
Azathioprine,446-86-6,Azathioprine,DB00993,Transplant Rejection,,original,Azathioprine is indicated as an adjunct for the prevention of rejection in renal homotransplantation.
Azathioprine,446-86-6,Azathioprine,DB00993,graft vs host disease,,repositioned,Treatment of oral manifestations of graft-versus-host disease.
Aztreonam,78110-38-0,Aztreonam,DB00355,bacterial infectious disease,doid:104,original,"It is indicated for the treatment of the infections caused by various susceptible gram-negative microorganisms. See http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/050580s040,050632s013lbl.pdf"
Aztreonam,78110-38-0,Aztreonam,DB00355,primary bacterial infectious disease,doid:0050338,original,It is indicated to improve respiratory symptoms in cystic fibrosis patients with Pseudomonas aeruginosa.
Aztreonam,78110-38-0,Aztreonam,DB00355,bacterial infectious disease,doid:104,repositioned,Improvement of respiratory symptoms in patients with bronchiectasis and gram-negative bacteria in the airways.
Bacitracin,1405-87-4,Bacitracin,DB00626,bacterial infectious disease,doid:104,original,For the treatment of superficial ocular infections involving the conjunctiva and/or cornea caused by Bacitracin susceptible organisms.
Bacitracin,1405-87-4,Bacitracin,DB00626,bacterial pneumonia,doid:874,original,The use of intramuscular bacitracin should be limited to the treatment of infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug.
Bacitracin,1405-87-4,Bacitracin,DB00626,perinatal necrotizing enterocolitis,doid:8677,repositioned,Treatment of antibiotic-associated pseudomembranous enterocolitis caused by toxins A and B elaborated by Clostridium difficile.
"Beclomethasone 17,21-diproprionate",5534-09-8,Beclomethasone dipropionate,DB00394,asthma,doid:2841,original,"Maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. It is also indicated for asthma patients who require systemic corticosteroid administration, where adding it may reduce or eliminate the need for the systemic corticosteroids."
"Beclomethasone 17,21-diproprionate",5534-09-8,Beclomethasone dipropionate,DB00394,rhinitis,doid:4483,original,Relief of the symptoms of seasonal or perennial rhinitis in those cases poorly responsive to conventional treatment. It is also indicated for the prevention of recurrence of nasal polyps following surgical removal.
"Beclomethasone 17,21-diproprionate",5534-09-8,Beclomethasone dipropionate,DB00394,graft vs host disease,,repositioned,For oral administration in the treatment of intestinal graft-versus-host disease.  
"Beclomethasone 17,21-diproprionate",5534-09-8,Beclomethasone dipropionate,DB00394,ulcerative colitis,doid:8577,repositioned,Treatment of pediatriac patients with ulcerative colitis
"Beclomethasone 17,21-diproprionate",5534-09-8,Beclomethasone dipropionate,DB00394,Crohn's disease,doid:8778,repositioned,Treatment of pediatric patients with Crohn disease.
Beractant,1088778-82-1,Beractant,DB06761,newborn respiratory distress syndrome,doid:12716,original,Prevention of Respiratory Distress Syndrome (hyaline membrane disease) in premature infants less than 1250 grams birthweight or with evidence of surfactant deficiency.
Beractant,1088778-82-1,Beractant,DB06761,meconium aspiration syndrome,doid:11049,repositioned,"Treatment of full-term newborn infants with respiratory failure caused by meconium aspiration syndrome, persistent pulmonary hypertension of the newborn, or pneumonia and sepsis."
Bethanidine sulfate,55-73-2,Bethanidine,DB00217,hypertension,doid:10763,original,Treatment of hypertension. 
Bethanidine sulfate,55-73-2,Bethanidine,DB00217,cardiac arrest,doid:0060319,repositioned,Prevention of recurrence of primary ventricular fibrillation.
Bevacizumab,216974-75-3,Bevacizumab,DB00112,glioblastoma multiforme,doid:3068,original,"Glioblastoma, as a single agent for patients with progressive disease following prior therapy."
Bevacizumab,216974-75-3,Bevacizumab,DB00112,colorectal cancer,doid:9256,original,"Treatment of: 1. Metastatic colorectal cancer, with intravenous 5-fluorouracil_based chemotherapy for first- or second-line treatment.  2. Non-squamous non-small cell lung cancer, with carboplatin and paclitaxel for first line treatment of unresectable, locally advanced, recurrent or metastatic disease. 3. Metastatic breast cancer, with paclitaxel for treatment of patients who have not received chemotherapy for metastatic HER2-negative breast cancer. 4. Metastatic renal cell carcinoma with interferon alfa"
Bevacizumab,216974-75-3,Bevacizumab,DB00112,non-small cell lung carcinoma,doid:3908,original,"Treatment of: 1. Metastatic colorectal cancer, with intravenous 5-fluorouracil_based chemotherapy for first- or second-line treatment.  2. Non-squamous non-small cell lung cancer, with carboplatin and paclitaxel for first line treatment of unresectable, locally advanced, recurrent or metastatic disease. 3. Metastatic breast cancer, with paclitaxel for treatment of patients who have not received chemotherapy for metastatic HER2-negative breast cancer. 4. Metastatic renal cell carcinoma with interferon alfa"
Bevacizumab,216974-75-3,Bevacizumab,DB00112,breast cancer,doid:1612,original,"Treatment of: 1. Metastatic colorectal cancer, with intravenous 5-fluorouracil_based chemotherapy for first- or second-line treatment.  2. Non-squamous non-small cell lung cancer, with carboplatin and paclitaxel for first line treatment of unresectable, locally advanced, recurrent or metastatic disease. 3. Metastatic breast cancer, with paclitaxel for treatment of patients who have not received chemotherapy for metastatic HER2-negative breast cancer. 4. Metastatic renal cell carcinoma with interferon alfa"
Bevacizumab,216974-75-3,Bevacizumab,DB00112,renal cell carcinoma,doid:4450,original,"Treatment of: 1. Metastatic colorectal cancer, with intravenous 5-fluorouracil_based chemotherapy for first- or second-line treatment.  2. Non-squamous non-small cell lung cancer, with carboplatin and paclitaxel for first line treatment of unresectable, locally advanced, recurrent or metastatic disease. 3. Metastatic breast cancer, with paclitaxel for treatment of patients who have not received chemotherapy for metastatic HER2-negative breast cancer. 4. Metastatic renal cell carcinoma with interferon alfa"
Bevacizumab,216974-75-3,Bevacizumab,DB00112,stomach cancer,doid:10534,repositioned,In combination with a platinum and 5-FU or capecitabine for the treatment of stomach cancer.
Bevacizumab,216974-75-3,Bevacizumab,DB00112,melanoma,doid:1909,repositioned,Treatment of melanoma stages IIb through IV as part of a combination chemotherapy regimen
Bevacizumab,216974-75-3,Bevacizumab,DB00112,ovarian cancer,doid:2394,repositioned,Treatment of ovarian cancer
Bevacizumab,216974-75-3,Bevacizumab,DB00112,pancreatic cancer,doid:1793,repositioned,Treatment of pancreatic cancer
Bivalirudin,128270-60-0,Hirulog,DB02351,intermediate coronary syndrome,doid:8805,original,Use as an anticoagulant in patients with unstable angina undergoing percutaneous transluminal coronary angioplasty.
