doid_id,drugbank_id,disease,drug,drug_qid
DOID:14261,DB08842,fragile x syndrome,acetyl-l-carnitine,Q311992
DOID:399,,tuberculosis,Aconiazide,Q15633956
DOID:676,DB00051,juvenile rheumatoid arthritis,adalimumab,Q348260
DOID:8778,DB00051,pediatric crohn's disease,adalimumab,Q348260
DOID:13241,DB00051,behcet's disease,adalimumab,Q348260
DOID:9119,DB00041,acute myelogenous leukemia,Aldesleukin,Q20801763
DOID:3068,,glioblastoma multiforme,aldoxorubicin,Q27275099
DOID:2394,,ovarian cancer,aldoxorubicin,Q27275099
DOID:1040,DB00087,chronic lymphocytic leukemia,alemtuzumab,Q420164
DOID:0050749,,peripheral t-cell lymphoma,alisertib,Q15633917
DOID:0060318,DB00523,acute promyelocytic leukemia,Alitretinoin,Q3611854
DOID:10584,,retinitis pigmentosa,"all-cis-docosa-4,7,10,13,16,19-hexaenoic acid",Q423345
DOID:1824,,status epilepticus,allopregnanolone,Q18352362
DOID:3068,,glioblastoma multiforme,altiratinib,Q27074416
DOID:9119,DB03496,acute myeloid leukemia,alvocidib,Q4063441
DOID:0050156,DB06403,idiopathic pulmonary fibrosis,ambrisentan,Q410789
DOID:1926,DB06742,gaucher disease,ambroxol,Q221637
DOID:437,,myasthenia gravis,amifampridine phosphate,Q27270515
DOID:0050214,,lambert-eaton myasthenic syndrome,amifampridine phosphate,Q27270515
DOID:8778,,crohn's disease,Aminosalicylate sodium,Q27288525
DOID:2755,DB01421,mycobacterium avium complex,Aminosidine,Q415625
DOID:399,DB01421,tuberculosis,Aminosidine,Q415625
DOID:9146,DB01421,visceral leishmaniasis,aminosidine,Q415625
DOID:9119,,acute myeloid leukemia,Amonafide L-malate,Q27282993
DOID:9146,DB00681,visceral leishmaniasis,amphotericin B,Q412223
DOID:2224,,essential thrombocythemia,Anagrelide,Q27124246
DOID:8997,,polycythemia vera,Anagrelide,Q27124246
DOID:0050908,,myelodysplastic syndrome,Angiotensin 1-7,Q27074464
DOID:1115,,sarcoma,angiotensin 1-7,Q27074464
DOID:0050908,DB00098,myelodysplastic syndrome,anti-thymocyte Globulin (rabbit),Q20801777
DOID:9119,,acute myeloid leukemia,antroquinonol,Q27133859
DOID:1793,,pancreatic cancer,antroquinonol,Q27133859
DOID:684,,hepatocellular carcinoma,antroquinonol,Q27133859
DOID:13241,DB05676,behcet's disease,apremilast,Q2858961
DOID:332,,amyotrophic lateral sclerosis,arimoclomol,Q4790694
DOID:0060318,,acute promyelocytic leukemia,Arsenic trioxide,Q26841209
DOID:1040,,chronic lymphocytic leukemia,Arsenic trioxide,Q26841209
DOID:3571,,liver cancer,arsenic trioxide,Q26841209
DOID:8552,,chronic myeloid leukemia,arsenic trioxide,Q26841209
DOID:3070,,malignant glioma,Arsenic trioxide,Q26841209
DOID:0050908,,myelodysplastic syndrome,arsenic trioxide,Q26841209
DOID:9538,,multiple myeloma,Arsenic trioxide,Q26841209
DOID:12365,DB09274,malaria,Artesunate,Q707939
DOID:0110148,DB00126,charcot-marie-tooth disease type 1a,ascorbic acid,Q199678
DOID:13724,DB00126,scurvy,Ascorbic acid,Q199678
DOID:14213,DB09105,hypophosphatasia,Asfotase alfa,Q22075839
DOID:12377,DB05016,spinal muscular atrophy,ataluren,Q753330
DOID:12271,DB05016,aniridia,ataluren,Q753330
DOID:9181,DB00995,amebiasis,auranofin,Q421230
DOID:9538,,multiple myeloma,avicin d,Q27264310
DOID:1793,DB06626,pancreatic cancer,axitinib,Q4830631
DOID:9119,DB00928,acute myeloid leukemia,Azacitidine,Q416451
DOID:543,DB00181,dystonia,baclofen,Q413717
DOID:3223,DB00181,complex regional pain syndrome,baclofen,Q413717
DOID:1793,,pancreatic cancer,Bardoxolone,Q27074871
DOID:14261,,fragile x syndrome,basimglurant,Q18209947
DOID:11983,,prader-willi syndrome,beloranib,Q4884554
DOID:1040,,chronic lymphocytic leukemia,Bendamustine hydrochloride,Q27272066
DOID:12140,,chagas disease,benznidazole,Q425300
DOID:9263,DB06756,homocystinuria,Betaine,Q10860583
DOID:12704,DB00443,ataxia telangiectasia,betamethasone,Q416132
DOID:3070,DB00112,malignant glioma,bevacizumab,Q413299
DOID:1793,DB00112,pancreatic cancer,bevacizumab,Q413299
DOID:1963,DB00112,fallopian tube carcinoma,bevacizumab,Q413299
DOID:1270,DB00112,hereditary hemorrhagic telangiectasia,bevacizumab,Q413299
DOID:4450,DB00112,renal cell carcinoma,bevacizumab,Q413299
DOID:1791,DB00112,primary peritoneal carcinoma,bevacizumab,Q413299
DOID:0060061,DB00307,cutaneous t-cell lymphoma,Bexarotene,Q418192
DOID:0080162,,lupus nephritis,Bindarit,Q27281631
DOID:2394,,ovarian cancer,binimetinib,Q19903515
DOID:1793,,pancreatic cancer,Bleomycin,Q26998364
DOID:1793,,pancreatic cancer,Bleomycin,Q26998364
DOID:1040,DB09052,chronic lymphocytic leukemia,Blinatumomab,Q410189
DOID:1039,DB09052,prolymphocytic leukemia,blinatumomab,Q410189
DOID:285,DB09052,hairy cell leukemia,blinatumomab,Q410189
DOID:9952,DB09052,acute lymphocytic leukemia,blinatumomab,Q410189
DOID:0050746,DB00188,mantle cell lymphoma,bortezomib,Q419319
DOID:9538,DB00188,multiple myeloma,bortezomib,Q419319
DOID:9952,DB00188,acute lymphoblastic leukemia,bortezomib,Q419319
DOID:0050156,DB00559,idiopathic pulmonary fibrosis,bosentan,Q419769
DOID:8552,DB06616,chronic myelogenous leukemia,bosutinib,Q894611
DOID:0050840,DB00083,cervical dystonia,Botulinum toxin type A,Q4095199
DOID:0050840,DB00042,cervical dystonia,Botulinum toxin type B,Q15709005
DOID:0050744,DB08870,anaplastic large cell lymphoma,brentuximab vedotin,Q422324
DOID:8567,DB08870,hodgkin's lymphoma,brentuximab vedotin,Q422324
DOID:0060061,DB08870,cutaneous t-cell lymphoma,Brentuximab vedotin,Q422324
DOID:8691,DB08870,mycosis fungoides,brentuximab vedotin,Q422324
DOID:0050523,DB08870,adult t-cell leukemia/lymphoma,brentuximab vedotin,Q422324
DOID:12010,DB00484,anterior ischemic optic neuropathy,Brimonidine,Q577377
DOID:684,,hepatocellular carcinoma,brivanib alaninate,Q4971701
DOID:14261,,fragile x syndrome,bryostatin 1,Q27160202
DOID:9266,,cystinuria,Bucillamine,Q4982752
DOID:3070,,malignant glioma,butylidenephthalide,Q27289065
DOID:1558,DB06404,angioedema,C1 esterase inhibitor (human),Q22075742
DOID:2987,DB06168,familial mediterranean fever,canakinumab,Q3655009
DOID:14261,DB09061,fragile x syndrome,cannabidiol,Q422917
DOID:0050561,DB09061,lennox-gastaut syndrome,cannabidiol,Q422917
DOID:0060171,DB09061,dravet syndrome,cannabidiol,Q422917
DOID:3070,DB09061,glioma,cannabidiol,Q422917
DOID:0060171,DB09061,dravet syndrome,cannabidiol,Q422917
DOID:3068,DB09061,glioblastoma multiforme,cannabidiol,Q422917
DOID:1206,,rett syndrome,cannabidivarin,Q1104117
DOID:10772,,thrombotic thrombocytopenic purpura,Caplacizumab,Q5036030
DOID:9240,DB05318,erythromelalgia,capsaicin,Q273169
DOID:12858,DB02329,huntington's disease,carbenoxolone,Q752861
DOID:12098,DB09157,trigeminal neuralgia,carbon dioxide,Q1997
DOID:9538,DB08889,multiple myeloma,carfilzomib,Q15366934
DOID:1793,,pancreatic cancer,carlumab,Q5043094
DOID:0050156,,idiopathic pulmonary fibrosis,carlumab,Q5043094
DOID:2394,,ovarian cancer,Catumaxomab,Q408155
DOID:332,,amyotrophic lateral sclerosis,Ceftriaxone sodium,Q27231488
DOID:13359,DB04846,ehlers-danlos syndrome,celiprolol,Q420586
DOID:1040,,chronic lymphocytic leukemia,cenersen,Q27282015
DOID:9119,,acute myeloid leukemia,cenersen,Q27282015
DOID:3571,,liver cancer,ceramide,Q27147579
DOID:1793,DB00002,pancreatic cancer,cetuximab,Q420296
DOID:4810,DB06777,cerebrotendinous xanthomatosis,chenodeoxycholic acid,Q419028
DOID:4810,DB06777,cerebrotendinous xanthomatosis,Chenodeoxycholic acid,Q419028
DOID:4810,DB06777,cerebrotendinous xanthomatosis,chenodiol,Q419028
DOID:1793,DB08800,pancreatic cancer,chloropyramine,Q729863
DOID:3068,DB00608,glioblastoma multiforme,chloroquine,Q422438
DOID:3070,,malignant glioma,Chlorotoxin,Q3680957
DOID:12377,,spinal muscular atrophy,"cholest-4-en-3-one, oxime",Q7086437
DOID:3070,,malignant glioma,cilengitide,Q1091921
DOID:14110,DB00515,anal cancer,Cisplatin,Q412415
DOID:9119,DB00242,acute myeloid leukemia,Cladribine,Q414030
DOID:285,DB00242,hairy cell leukemia,Cladribine,Q414030
DOID:1040,DB00242,chronic lymphocytic leukemia,cladribine,Q414030
DOID:11335,,sarcoidosis,Clindamycin hydrochloride,Q27289558
DOID:0050561,DB00349,lennox-gastaut syndrome,clobazam,Q412164
DOID:9952,DB00631,acute lymphoblastic leukemia,clofarabine,Q5134875
DOID:9119,DB00631,acute myelogenous leukemia,clofarabine,Q5134875
DOID:12858,DB00257,huntington's disease,Clotrimazole,Q413546
DOID:1485,,cystic fibrosis,cobiprostone,Q27280783
DOID:12858,DB09270,huntington's disease,Coenzyme Q10,Q321285
DOID:13241,,behcet's syndrome,Colchicine,Q26998324
DOID:2987,,familial mediterranean fever,colchicine,Q26998324
DOID:8616,DB00048,peyronie's disease,collagenase clostridium histolyticum,Q5145911
DOID:2394,,ovarian cancer,Combretastatin A4 phosphate,Q5150956
DOID:0050750,,splenic marginal zone lymphoma,copanlisib,Q19903876
DOID:0050873,,follicular lymphoma,copanlisib,Q19903876
DOID:1838,,menkes disease,copper histidine,Q27271298
DOID:9146,,visceral leishmaniasis,corifungin,Q27282614
DOID:4450,DB04665,renal cell carcinoma,Coumarin,Q111812
DOID:12858,DB00148,huntington's disease,Creatine,Q223600
DOID:332,DB00148,amyotrophic lateral sclerosis,creatine,Q223600
DOID:9119,,acute myelogenous leukemia,crenolanib,Q5184160
DOID:3070,,malignant glioma,crenolanib besylate,Q27283841
DOID:769,DB08700,neuroblastoma,crizotinib,Q5186964
DOID:0050744,DB08700,anaplastic large cell lymphoma,crizotinib,Q5186964
DOID:350,,mastocytosis,Cromolyn sodium,Q10261779
DOID:1790,,malignant mesothelioma,CT-2584 mesylate,Q27265739
DOID:0050800,,creatine transporter deficiency,cyclocreatine,Q27076942
DOID:418,,systemic sclerosis,cyclophosphamide,Q27106287
DOID:12858,DB00847,huntington's disease,cysteamine,Q617563
DOID:1793,DB00847,pancreatic cancer,cysteamine,Q617563
DOID:1485,DB00847,cystic fibrosis,Cysteamine,Q617563
DOID:11983,DB04936,prader-willi syndrome,D-tagatose,Q414089
DOID:1040,,chronic lymphocytic leukemia,dacetuzumab,Q953025
DOID:9538,,multiple myeloma,dacetuzumab,Q953025
DOID:10632,,wolfram syndrome,dantrolene sodium,Q27225695
DOID:9538,,multiple myeloma,daratumumab,Q5222113
DOID:0050745,,diffuse large b-cell lymphoma,daratumumab,Q5222113
DOID:0050746,,mantle cell lymphoma,daratumumab,Q5222113
DOID:0050873,,follicular lymphoma,daratumumab,Q5222113
DOID:0050749,,peripheral t-cell lymphoma,Darinaparsin,Q27166111
DOID:8552,,chronic myelogenous leukemia,Dasatinib,Q27139135
DOID:678,,progressive supranuclear palsy,davunetide,Q27279075
DOID:9119,DB01262,acute myeloid leukemia,decitabine,Q1181878
DOID:8552,DB01262,chronic myelogenous leukemia,decitabine,Q1181878
DOID:10923,DB01262,sickle cell anemia,decitabine,Q1181878
DOID:2394,,ovarian cancer,defactinib,Q27077009
DOID:12705,DB08826,friedreich's ataxia,deferiprone,Q749664
DOID:10772,DB04932,thrombotic thrombocytopenic purpura,Defibrotide,Q3704725
DOID:11723,DB11921,duchenne muscular dystrophy,deflazacort,Q779118
DOID:11723,DB11921,duchenne muscular dystrophy,deflazacort,Q779118
DOID:12098,DB00898,trigeminal neuralgia,dehydrated alcohol,Q153
DOID:11984,DB00898,hypertrophic obstructive cardiomyopathy,dehydrated alcohol,Q153
DOID:1793,,pancreatic cancer,demcizumab,Q5255127
DOID:0050749,DB00004,peripheral t-cell lymphoma,denileukin diftitox,Q1187179
DOID:0060061,DB00004,cutaneous t-cell lymphoma,denileukin diftitox,Q1187179
DOID:332,,amyotrophic lateral sclerosis,dexpramipexole,Q5268345
DOID:2730,,epidermolysis bullosa,diacerein,Q413178
DOID:11983,DB01119,prader willi syndrome,diazoxide,Q420009
DOID:11983,,prader-willi syndrome,diazoxide choline,Q27255610
DOID:635,DB00900,acquired immunodeficiency syndrome,Dideoxyinosine,Q422606
DOID:1485,,cystic fibrosis,diferuloylmethane,Q312266
DOID:2394,DB01396,ovarian cancer,digitoxin,Q423890
DOID:1485,DB01396,cystic fibrosis,digitoxin,Q423890
DOID:12705,DB08908,friedreich's ataxia,dimethyl fumarate,Q418123
DOID:1040,,chronic lymphocytic leukemia,dinaciclib,Q15723091
DOID:769,DB09077,neuroblastoma,dinutuximab,Q21011236
DOID:3068,,glioblastoma multiforme,Disufenton sodium,Q5283598
DOID:10605,,short bowel syndrome,docosahexaenoic acid,Q423345
DOID:9538,,multiple myeloma,Dovitinib,Q27077102
DOID:9563,DB09273,bronchiectasis,doxofylline,Q425887
DOID:684,DB00997,hepatocellular carcinoma,doxorubicin,Q18936
DOID:0060061,DB00997,cutaneous t-cell lymphoma,doxorubicin,Q18936
DOID:1558,DB05311,angioedema,ecallantide,Q1280166
DOID:9119,,acute myeloid leukemia,echinomycin,Q27149203
DOID:437,DB01257,myasthenia gravis,eculizumab,Q421617
DOID:0060284,DB01257,paroxysmal nocturnal hemoglobinuria,eculizumab,Q421617
DOID:10223,DB01257,dermatomyositis,Eculizumab,Q421617
DOID:8869,DB01257,neuromyelitis optica,eculizumab,Q421617
DOID:332,,amyotrophic lateral sclerosis,edaravone,Q335099
DOID:332,,amyotrophic lateral sclerosis,edaravone,Q335099
DOID:0050424,DB06243,familial adenomatous polyposis,eflornithine,Q424751
DOID:769,DB06243,neuroblastoma,eflornithine,Q424751
DOID:1793,DB06243,pancreatic cancer,eflornithine,Q424751
DOID:0050424,DB00159,familial adenomatous polyposis,eicosapentaenoic acid,Q409990
DOID:9538,,multiple myeloma,elotuzumab,Q3723645
DOID:12449,DB06210,aplastic anemia,eltrombopag,Q411588
DOID:684,DB03516,hepatocellular carcinoma,eniluracil,Q27094456
DOID:1793,,pancreatic cancer,ensituximab,Q12182591
DOID:0050745,,diffuse large b-cell lymphoma,enzastaurin,Q5381479
DOID:3068,,glioblastoma multiforme,Enzastaurin,Q5381479
DOID:1612,DB00445,breast cancer,Epirubicin,Q425122
DOID:10584,,retinitis pigmentosa,Epitalon,Q27285389
DOID:0050908,DB00016,myelodysplastic syndrome,Epoetin alfa,Q5383794
DOID:9952,,acute lymphoblastic leukemia,epratuzumab,Q3730737
DOID:9563,DB05057,bronchiectasis,erdosteine,Q3731252
DOID:12132,DB00005,wegener's granulomatosis,Etanercept,Q415343
DOID:11723,DB06014,duchenne muscular dystrophy,eteplirsen,Q5402585
DOID:8778,,crohn's disease,"Ethyl 4-(3,4-dimethoxyphenyl)-6,7-dimethoxy-2-(1,2,4-triazol-1-ylmethyl)quinoline-3-carboxylate",Q27292404
DOID:12449,DB07375,aplastic anemia,Etiocholanedione,Q27096595
DOID:11983,DB07375,prader-willi syndrome,Etiocholanedione,Q27096595
DOID:684,DB01590,hepatocellular carcinoma,everolimus,Q421052
DOID:0050745,DB01590,diffuse large b-cell lymphoma,everolimus,Q421052
DOID:0050908,,myelodysplastic syndrome,ezatiostat hydrochloride,Q27276114
DOID:2394,,ovarian cancer,farletuzumab,Q3739631
DOID:0050561,DB00949,lennox-gastaut syndrome,Felbamate,Q421301
DOID:14261,,fragile x syndrome,Fenobam hydrochloride,Q27252038
DOID:0060061,DB05076,cutaneous t-cell lymphoma,fenretinide,Q5443576
DOID:0050749,DB05076,peripheral t-cell lymphoma,fenretinide,Q5443576
DOID:769,DB05076,neuroblastoma,Fenretinide,Q5443576
DOID:9538,,multiple myeloma,filanesib,Q15634095
DOID:0050908,DB00099,myelodysplastic syndrome,Filgrastim,Q3151081
DOID:3068,DB00544,glioblastoma multiforme,Fluorouracil,Q238512
DOID:12849,DB00472,autism,Fluoxetine,Q422244
DOID:13922,DB00588,eosinophilic esophagitis,fluticasone propionate,Q8564098
DOID:3070,,glioma,fosbretabulin tromethamine,Q27279017
DOID:332,DB00996,amyotrophic lateral sclerosis,gabapentin,Q410352
DOID:1824,DB05087,status epilepticus,ganaxolone,Q3758034
DOID:14261,DB05087,fragile x syndrome,ganaxolone,Q3758034
DOID:1793,,pancreatic cancer,ganitumab,Q5521322
DOID:4947,DB00441,cholangiocarcinoma,gemcitabine,Q414143
DOID:9119,DB00056,acute myeloid leukemia,Gemtuzumab ozogamicin,Q412685
DOID:9181,,amoebiasis,Geneticin,Q27104499
DOID:13241,,behcet's disease,gevokizumab,Q5554924
DOID:8553,,pyoderma gangrenosum,gevokizumab,Q5554924
DOID:4450,,renal cell carcinoma,Girentuximab,Q5564223
DOID:2377,DB05259,multiple sclerosis,Glatiramer acetate,Q418274
DOID:11335,DB06674,sarcoidosis,golimumab,Q413879
DOID:9119,,acute myeloid leukemia,guadecitabine,Q27254880
DOID:14261,DB01018,fragile x syndrome,guanfacine,Q5613599
DOID:12132,,wegener's granulomatosis,gusperimus trihydrochloride,Q27287580
DOID:418,,systemic sclerosis,Halofuginone,Q4132745
DOID:11723,,duchenne muscular dystrophy,halofuginone hydrobromide,Q27286744
DOID:1485,DB01109,cystic fibrosis,Heparin,Q190016
DOID:4734,,calciphylaxis,hexasodium phytate,Q27295268
DOID:8552,DB04865,chronic myelogenous leukemia,homoharringtonine,Q7089373
DOID:10588,,x-linked adrenoleukodystrophy,hydroxypioglitazone,Q27156475
DOID:0060061,,cutaneous t-cell lymphoma,Hypericin,Q425409
DOID:3068,,glioblastoma multiforme,Hypericin,Q425409
DOID:0050745,DB09053,diffuse large b-cell lymphoma,ibrutinib,Q5984881
DOID:9538,DB09053,multiple myeloma,ibrutinib,Q5984881
DOID:0050746,DB09053,mantle cell lymphoma,ibrutinib,Q5984881
DOID:0050873,DB09053,follicular lymphoma,ibrutinib,Q5984881
DOID:0050750,DB09053,splenic marginal zone lymphoma,ibrutinib,Q5984881
DOID:332,DB05266,amyotrophic lateral sclerosis,ibudilast,Q261167
DOID:10587,DB05266,krabbe disease,ibudilast,Q261167
DOID:13832,,patent ductus arteriosus,Ibuprofen lysine,Q27284326
DOID:1558,,angioedema,icatibant,Q27137008
DOID:8552,DB01177,chronic myelogenous leukemia,Idarubicin,Q1063862
DOID:11723,DB09081,duchenne muscular dystrophy,idebenone,Q4197874
DOID:12705,DB09081,friedreich's ataxia,idebenone,Q4197874
DOID:705,DB09081,leber's hereditary optic neuropathy,idebenone,Q4197874
DOID:0050873,DB09054,follicular lymphoma,idelalisib,Q5908266
DOID:0050750,DB09054,splenic marginal zone lymphoma,idelalisib,Q5908266
DOID:1040,DB09054,chronic lymphocytic leukemia,idelalisib,Q5908266
DOID:2998,DB01181,testicular cancer,Ifosfamide,Q418560
DOID:2394,,ovarian cancer,ilorasertib,Q27265085
DOID:8552,DB00619,chronic myelogenous leukemia,Imatinib,Q177094
DOID:3507,,dermatofibrosarcoma protuberans,imatinib mesylate,Q27114666
DOID:4074,DB05003,pancreatic adenocarcinoma,Imexon,Q6003924
DOID:9538,DB05003,multiple myeloma,Imexon,Q6003924
DOID:2394,DB05003,ovarian cancer,imexon,Q6003924
DOID:418,,scleroderma,inebilizumab,Q25326696
DOID:1040,DB04796,chronic lymphocytic leukemia,Inecalcitol,Q27078058
DOID:9119,DB04796,acute myeloid leukemia,inecalcitol,Q27078058
DOID:676,DB00065,juvenile rheumatoid arthritis,infliximab,Q415264
DOID:13375,DB00065,giant cell arteritis,infliximab,Q415264
DOID:8778,DB00065,crohn's disease,infliximab,Q415264
DOID:8970,,subacute sclerosing panencephalitis,Inosine pranobex,Q3130053
DOID:8552,DB00034,chronic myelogenous leukemia,Interferon alfa-2a,Q20801761
DOID:676,DB00060,juvenile rheumatoid arthritis,interferon Beta-1a,Q2450337
DOID:2377,DB00060,multiple sclerosis,Interferon beta-1a,Q2450337
DOID:2377,DB00068,multiple sclerosis,Interferon beta-1b,Q1851162
DOID:4450,DB00033,renal cell carcinoma,Interferon gamma-1b,Q582356
DOID:12705,DB00033,friedreich's ataxia,interferon gamma-1b,Q582356
DOID:0050156,DB00033,idiopathic pulmonary fibrosis,interferon gamma-1b,Q582356
DOID:4450,DB05786,renal cell carcinoma,irofulven,Q6072197
DOID:2394,DB05786,ovarian cancer,irofulven,Q6072197
DOID:0050073,,invasive aspergillosis,isavuconazonium sulfate,Q27158829
DOID:9538,,multiple myeloma,ixazomib citrate,Q27162929
DOID:350,DB00920,mastocytosis,ketotifen,Q2458673
DOID:332,DB00156,amyotrophic lateral sclerosis,L-threonine,Q186521
