orphanet_code	orphanet_term
Orphanet:704	Pemphigus vulgaris
Orphanet:1906	Fetal valproate syndrome
Orphanet:2073	Narcolepsy-cataplexy
Orphanet:99825	Nipah virus disease
Orphanet:93351	Spondyloepimetaphyseal dysplasia, Irapa type
Orphanet:1949	Benign familial neonatal epilepsy
Orphanet:53721	Cobb syndrome
Orphanet:610	Bethlem myopathy
Orphanet:226298	Central congenital hypothyroidism
Orphanet:100	Ataxia-telangiectasia
Orphanet:2008	Acro-cardio-facial syndrome
Orphanet:79132	Sparse hair-short stature-skin anomalies syndrome
Orphanet:761	Immunoglobulin A vasculitis
Orphanet:446	Neonatal hemochromatosis
Orphanet:3193	Supravalvular aortic stenosis
Orphanet:2029	Multiple non-ossifying fibromatosis
Orphanet:1005	Alopecia-contractures-dwarfism-intellectual disability syndrome
Orphanet:1319	Camptobrachydactyly
Orphanet:137	Congenital disorder of glycosylation
Orphanet:1308	C syndrome
Orphanet:261102	Distal 7q11.23 microduplication syndrome
Orphanet:1772	45,X/46,XY mixed gonadal dysgenesis
Orphanet:1195	Congenital atransferrinemia
Orphanet:171719	Cutis laxa-Marfanoid syndrome
Orphanet:166016	Multiple epiphyseal dysplasia, Lowry type
Orphanet:284979	Neonatal Marfan syndrome
Orphanet:199251	Ledderhose disease
Orphanet:93388	Brachydactyly type A1
Orphanet:1825	Epiphyseal dysplasia-hearing loss-dysmorphism syndrome
Orphanet:427	Familial hypoaldosteronism
Orphanet:2909	Rothmund-Thomson syndrome
Orphanet:1514	Craniodigital syndrome-intellectual disability syndrome
Orphanet:93284	Spondyloepiphyseal dysplasia tarda
Orphanet:1520	Craniofrontonasal dysplasia
Orphanet:2380	Legg-Calvé-Perthes disease
Orphanet:93271	Short rib-polydactyly syndrome, Verma-Naumoff type
Orphanet:1533	Craniosynostosis-fibular aplasia syndrome
Orphanet:90695	Panhypopituitarism
Orphanet:1064	Aniridia-renal agenesis-psychomotor retardation syndrome
Orphanet:1200	Choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome
Orphanet:99329	48,XYYY syndrome
Orphanet:251937	Gangliocytoma
Orphanet:1802	Ghosal hematodiaphyseal dysplasia
Orphanet:2779	Osteopathia striata-pigmentary dermopathy-white forelock syndrome
Orphanet:1897	EEM syndrome
Orphanet:281127	Acral self-healing collodion baby
Orphanet:1871	Progressive cone dystrophy
Orphanet:567	22q11.2 deletion syndrome
Orphanet:90	Argininemia
Orphanet:3307	Tetrasomy 18p
Orphanet:90308	Klippel-Trénaunay syndrome
Orphanet:35099	Isolated brachycephaly
Orphanet:93405	Syndactyly type 4
Orphanet:505	Graham Little-Piccardi-Lassueur syndrome
Orphanet:833	Encephalopathy due to sulfite oxidase deficiency
Orphanet:276630	Symptomatic form of Coffin-Lowry syndrome in female carriers
Orphanet:2020	Congenital fiber-type disproportion myopathy
Orphanet:231222	Beta-thalassemia intermedia
Orphanet:52901	Isolated follicle stimulating hormone deficiency
Orphanet:33226	Waldenström macroglobulinemia
Orphanet:2903	Familial spontaneous pneumothorax
Orphanet:2928	Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome
Orphanet:2042	Tracheo-esophageal fistula-hypospadias syndrome
Orphanet:1812	Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome
Orphanet:752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency
Orphanet:1399	Richards-Rundle syndrome
Orphanet:813	Silver-Russell syndrome
Orphanet:254509	Iatrogenic botulism
Orphanet:969	Acromicric dysplasia
Orphanet:26	Methylmalonic acidemia with homocystinuria
Orphanet:2412	Dislocation of the hip-dysmorphism syndrome
Orphanet:983	Testicular regression syndrome
Orphanet:220497	Joubert syndrome with renal defect
Orphanet:3347	Mounier-Kühn syndrome
Orphanet:1240	Metaphyseal acroscyphodysplasia
Orphanet:1667	Wolcott-Rallison syndrome
Orphanet:97285	Thyroid lymphoma
Orphanet:706	Patent arterial duct
Orphanet:63259	Iniencephaly
Orphanet:1381	Cataract-intellectual disability-anal atresia-urinary defects syndrome
Orphanet:1664	Embryonary disorganization syndrome
Orphanet:2036	Scalp-ear-nipple syndrome
Orphanet:166011	Multiple epiphyseal dysplasia, Beighton type
Orphanet:1993	Pai syndrome
Orphanet:93357	SPONASTRIME dysplasia
Orphanet:2575	Cystic fibrosis-gastritis-megaloblastic anemia syndrome
Orphanet:429	Hypochondroplasia
Orphanet:2477	Megalencephaly
Orphanet:234	Dubin-Johnson syndrome
Orphanet:2183	Hydrocephalus-obesity-hypogonadism syndrome
Orphanet:79492	Pili gemini
Orphanet:79432	Oculocutaneous albinism type 2
Orphanet:2368	Gastroschisis
Orphanet:85173	IMAGe syndrome
Orphanet:166272	Goldblatt syndrome
Orphanet:510	Lesch-Nyhan syndrome
Orphanet:90000	Erythema elevatum diutinum
Orphanet:46486	Mucous membrane pemphigoid
Orphanet:3456	Wildervanck syndrome
Orphanet:1860	Thanatophoric dysplasia type 1
Orphanet:46489	Bullous systemic lupus erythematosus
Orphanet:3429	Verloove Vanhorick-Brubakk syndrome
Orphanet:671	Primary cutis verticis gyrata
Orphanet:1878	Autosomal recessive limb-girdle muscular dystrophy type 2H
Orphanet:139411	Carney triad
Orphanet:2715	Oculorenocerebellar syndrome
Orphanet:2846	Congenital pericardium anomaly
Orphanet:60	Alpha-1-antitrypsin deficiency
Orphanet:52	Alagille syndrome
Orphanet:1373	Cataract-aberrant oral frenula-growth delay syndrome
Orphanet:3283	His bundle tachycardia
Orphanet:85410	Oligoarticular juvenile arthritis
Orphanet:2322	Kabuki syndrome
Orphanet:2770	Nasu-Hakola disease
Orphanet:137871	Laminopathy type Decaudain-Vigouroux
Orphanet:99824	Lassa fever
Orphanet:946	Acrocephalosyndactyly
Orphanet:1597	Distal monosomy 17q
Orphanet:1551	Familial benign copper deficiency
Orphanet:2338	Isolated punctate palmoplantar keratoderma
Orphanet:2445	Conotruncal heart malformations
Orphanet:873	Desmoid tumor
Orphanet:37748	Schnitzler syndrome
Orphanet:73256	Central neurocytoma
Orphanet:284227	TEMPI syndrome
Orphanet:71493	Familial thrombocytosis
Orphanet:432	Normosmic congenital hypogonadotropic hypogonadism
Orphanet:3109	Mayer-Rokitansky-Küster-Hauser syndrome
Orphanet:79399	Generalized epidermolysis bullosa simplex, non-Dowling-Meara type
Orphanet:79107	Developmental malformations-deafness-dystonia syndrome
Orphanet:79168	Disorder of bile acid synthesis
Orphanet:182090	Pulmonary arterial hypertension
Orphanet:35656	Coenzyme Q10 deficiency
Orphanet:293939	Distal Xq28 microduplication syndrome
Orphanet:98296	Ichthyosis associated with a cornified cell envelope and epidermal lipid metabolism anomaly
Orphanet:79302	Congenital bile acid synthesis defect type 3
Orphanet:31142	Oral erosive lichen
Orphanet:2343	Isolated cloverleaf skull syndrome
Orphanet:652	Multiple endocrine neoplasia type 1
Orphanet:508	Leprechaunism
Orphanet:79403	Junctional epidermolysis bullosa-pyloric atresia syndrome
Orphanet:1824	Lowry-Wood syndrome
Orphanet:881	Turner syndrome
Orphanet:321	Multiple osteochondromas
Orphanet:949	Acrocraniofacial dysostosis
Orphanet:85169	Familial digital arthropathy-brachydactyly
Orphanet:628	Diastrophic dwarfism
Orphanet:261236	16p13.11 microdeletion syndrome
Orphanet:2518	Autosomal recessive chorioretinopathy-microcephaly syndrome
Orphanet:2090	GMS syndrome
Orphanet:2701	Noonan syndrome-like disorder with loose anagen hair
Orphanet:49804	Lichen amyloidosis
Orphanet:77243	Lipedema
Orphanet:1293	Brachyolmia
Orphanet:2535	Microcornea-corectopia-macular hypoplasia syndrome
Orphanet:744	Proteus syndrome
Orphanet:90289	Localized scleroderma
Orphanet:3191	Subaortic stenosis-short stature syndrome
Orphanet:1702	Non-distal trisomy 13q
Orphanet:231178	Usher syndrome type 2
Orphanet:57782	Mazabraud syndrome
Orphanet:895	Waardenburg syndrome type 2
Orphanet:228169	Autosomal dominant striatal neurodegeneration
Orphanet:664	Ornithine transcarbamylase deficiency
Orphanet:3181	Sprengel deformity
Orphanet:2091	Multinodular goiter-cystic kidney-polydactyly syndrome
Orphanet:1478	Interatrial communication
Orphanet:2085	Glaucoma-sleep apnea syndrome
Orphanet:2790	Autosomal dominant osteosclerosis, Worth type
Orphanet:1077	Dental ankylosis
Orphanet:2337	Non-epidermolytic palmoplantar keratoderma
Orphanet:90042	Primary familial polycythemia
Orphanet:85443	AL amyloidosis
Orphanet:1014	Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome
Orphanet:2138	46,XX ovotesticular disorder of sex development
Orphanet:289916	Vitamin B12-unresponsive methylmalonic acidemia type mut0
Orphanet:228371	Foodborne botulism
Orphanet:1548	Cryptorchidism-arachnodactyly-intellectual disability syndrome
Orphanet:1571	Knobloch syndrome
Orphanet:56	Alkaptonuria
Orphanet:1757	Fibular dimelia-diplopodia syndrome
Orphanet:363618	LMNA-related cardiocutaneous progeria syndrome
Orphanet:33111	Granulomatous slack skin
Orphanet:168486	Congenital neuronal ceroid lipofuscinosis
Orphanet:1368	Cataract-ataxia-deafness syndrome
Orphanet:655	Nephronophthisis
Orphanet:1394	Cerebro-facio-thoracic dysplasia
Orphanet:1192	Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome
Orphanet:1931	Frontal encephalocele
Orphanet:405	Familial hypocalciuric hypercalcemia
Orphanet:99976	Adenocarcinoma of esophagus
Orphanet:896	Waardenburg syndrome type 3
Orphanet:631	Non-acquired isolated growth hormone deficiency
Orphanet:2924	Isolated polycystic liver disease
Orphanet:597	Central core disease
Orphanet:1659	Dermatoleukodystrophy
Orphanet:384	Palmoplantar keratoderma-sclerodactyly syndrome
Orphanet:91546	Lyme disease
Orphanet:231720	Non-acquired combined pituitary hormone deficiency with spine abnormalities
Orphanet:2590	Spinal muscular atrophy-progressive myoclonic epilepsy
Orphanet:261295	20p12.3 microdeletion syndrome
Orphanet:2750	Orofaciodigital syndrome type 1
Orphanet:93	Aspartylglucosaminuria
Orphanet:90650	Otopalatodigital syndrome type 1
Orphanet:93296	Achondrogenesis type 2
Orphanet:1184	Ataxia-photosensitivity-short stature syndrome
Orphanet:717	Catecholamine-producing tumor
Orphanet:3400	Aorto-ventricular tunnel
Orphanet:83465	Narcolepsy without cataplexy
Orphanet:31153	Hypoalphalipoproteinemia
Orphanet:1327	Camptodactyly syndrome, Guadalajara type 1
Orphanet:1919	Phenobarbital embryopathy
Orphanet:228302	Carnitine palmitoyl transferase II deficiency, myopathic form
Orphanet:2705	Oculocerebral dysplasia
Orphanet:75374	Bradyopsia
Orphanet:90795	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
Orphanet:50809	Talo-patello-scaphoid osteolysis
Orphanet:96169	Koolen-De Vries syndrome
Orphanet:90023	Primary immunodeficiency syndrome due to p14 deficiency
Orphanet:93304	Autosomal dominant brachyolmia
Orphanet:261483	Xq27.3q28 duplication syndrome
Orphanet:79142	Familial Dupuytren contracture
Orphanet:178045	Transient congenital hypothyroidism
Orphanet:428	Autosomal dominant hypocalcemia
Orphanet:93317	Spondylometaphyseal dysplasia, Sedaghatian type
Orphanet:777	X-linked non-syndromic intellectual disability
Orphanet:293948	1p21.3 microdeletion syndrome
Orphanet:33001	Lymphedema-distichiasis syndrome
Orphanet:75501	Ehlers-Danlos syndrome, fibronectinemic type
Orphanet:230800	Toxin-mediated infectious botulism
Orphanet:79281	Alpha-N-acetylgalactosaminidase deficiency type 3
Orphanet:90654	Stickler syndrome type 2
Orphanet:2003	Cleft lip/palate-deafness-sacral lipoma syndrome
Orphanet:251046	6p22 microdeletion syndrome
Orphanet:1767	Familial progressive vestibulocochlear dysfunction
Orphanet:100025	Alpha-heavy chain disease
Orphanet:2719	Oculocerebral hypopigmentation syndrome, Cross type
Orphanet:69	Amyloidosis
Orphanet:2438	Hand-foot-genital syndrome
Orphanet:3151	Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome
Orphanet:1376	Congenital cataract-ichthyosis syndrome
Orphanet:263455	Hyperinsulinism due to HNF4A deficiency
Orphanet:1325	Camptodactyly-taurinuria syndrome
Orphanet:635	Neuroblastoma
Orphanet:79357	Hereditary palmoplantar keratoderma
Orphanet:1396	Cerebro-reno-digital syndrome
Orphanet:1900	Ehlers-Danlos syndrome, kyphoscoliotic type
Orphanet:1752	Trisomy 8q
Orphanet:166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly
Orphanet:100084	Middle ear endocrine tumor
Orphanet:65	Leber congenital amaurosis
Orphanet:1535	Craniosynostosis-dysmorphism-brachydactyly syndrome
Orphanet:101041	Familial hypofibrinogenemia
Orphanet:904	Williams syndrome
Orphanet:2285	Primary basilar invagination
Orphanet:3265	Humero-radial synostosis
Orphanet:75234	Cholesteryl ester storage disease
Orphanet:98881	Familial dysfibrinogenemia
Orphanet:220402	Limited cutaneous systemic sclerosis
Orphanet:1858	Skeletal dysplasia-epilepsy-short stature syndrome
Orphanet:2077	German syndrome
Orphanet:226307	Hypothyroidism due to deficient transcription factors involved in pituitary development or function
Orphanet:46724	Cerebral arteriovenous malformation
Orphanet:2831	Rhizomelic dysplasia, Patterson-Lowry type
Orphanet:349	Fucosidosis
Orphanet:94063	12q14 microdeletion syndrome
Orphanet:2442	X-linked lymphoproliferative disease
Orphanet:1267	Botulism
Orphanet:2257	Familial primary pulmonary hypoplasia
Orphanet:2095	Gorlin-Chaudhry-Moss syndrome
Orphanet:79094	Grange syndrome
Orphanet:2044	Floating-Harbor syndrome
Orphanet:1059	Blue rubber bleb nevus
Orphanet:79320	ALG6-CDG
Orphanet:157965	Ehlers-Danlos syndrome, spondylocheirodysplastic type
Orphanet:1168	Ataxia-oculomotor apraxia type 1
Orphanet:85320	X-linked intellectual disability-macrocephaly-macroorchidism syndrome
Orphanet:90791	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
Orphanet:36426	Stevens-Johnson syndrome
Orphanet:35737	Morning glory syndrome
Orphanet:29822	Spontaneous periodic hypothermia
Orphanet:49	Penile agenesis
Orphanet:26790	Pseudomyxoma peritonei
Orphanet:3434	MMEP syndrome
Orphanet:93299	Achondrogenesis type 1A
Orphanet:2019	Femur-fibula-ulna complex
Orphanet:163690	Hypotonia-cystinuria syndrome
Orphanet:90045	Hereditary folate malabsorption
Orphanet:261534	49,XXXYY syndrome
Orphanet:1908	Aminopterin/methotrexate embryofetopathy
Orphanet:96253	Cushing disease
Orphanet:171836	Amelogenesis imperfecta-gingival hyperplasia syndrome
Orphanet:381	Griscelli disease
Orphanet:2349	Muscular pseudohypertrophy-hypothyroidism syndrome
Orphanet:88621	Ichthyosis prematurity syndrome
Orphanet:2505	Multiple benign circumferential skin creases on limbs
Orphanet:85287	X-linked intellectual disability, Siderius type
Orphanet:86814	Benign adult familial myoclonic epilepsy
Orphanet:79088	Localized lipodystrophy
Orphanet:1528	Craniotelencephalic dysplasia
Orphanet:440	Familial hypospadias
Orphanet:85112	Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome
Orphanet:868	Triose phosphate-isomerase deficiency
Orphanet:100006	ABeta amyloidosis, Dutch type
Orphanet:638	Neurofibromatosis-Noonan syndrome
Orphanet:345	Dissecting cellulitis of the scalp
Orphanet:3471	Young syndrome
Orphanet:1956	Erythromelalgia
Orphanet:972	Hereditary continuous muscle fiber activity
Orphanet:1252	Blepharonasofacial malformation syndrome
Orphanet:578	Mucolipidosis type IV
Orphanet:1447	Ring chromosome 4
Orphanet:778	Rett syndrome
Orphanet:31112	Dermatofibrosarcoma protuberans
Orphanet:1198	Colonic atresia
Orphanet:722	Hypoplasminogenemia
Orphanet:47	X-linked agammaglobulinemia
Orphanet:816	Sjögren-Larsson syndrome
Orphanet:3353	Trichodermodysplasia-dental alterations syndrome
Orphanet:189439	Primary pigmented nodular adrenocortical disease
Orphanet:1028	Amelo-onycho-hypohidrotic syndrome
Orphanet:2064	Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome
Orphanet:582	Mucopolysaccharidosis type 4
Orphanet:85194	Spondylo-ocular syndrome
Orphanet:251274	Familial hyperaldosteronism type III
Orphanet:137634	Overgrowth-macrocephaly-facial dysmorphism syndrome
Orphanet:1106	Microphthalmia with limb anomalies
Orphanet:97927	Peripheral resistance to thyroid hormones
Orphanet:228308	Carnitine palmitoyl transferase II deficiency, neonatal form
Orphanet:35093	Isolated scaphocephaly
Orphanet:1646	Partial chromosome Y deletion
Orphanet:85203	Acro-pectoral syndrome
Orphanet:2580	Shoulder and girdle defects-familial intellectual disability syndrome
Orphanet:304	Epidermolysis bullosa simplex
Orphanet:96	Ataxia with vitamin E deficiency
Orphanet:158687	Lethal acantholytic epidermolysis bullosa
Orphanet:79312	Vitamin B12-unresponsive methylmalonic acidemia type mut-
Orphanet:1292	Brachymorphism-onychodysplasia-dysphalangism syndrome
Orphanet:79405	Junctional epidermolysis bullosa inversa
Orphanet:2017	Sternal cleft
Orphanet:35687	Erdheim-Chester disease
Orphanet:157846	Neuroferritinopathy
Orphanet:86914	Lymphedema-cerebral arteriovenous anomaly syndrome
Orphanet:1895	Edinburgh malformation syndrome
Orphanet:1552	Currarino triad
Orphanet:2058	Fryns-Smeets-Thiry syndrome
Orphanet:1008	Alopecia-epilepsy-pyorrhea-intellectual disability syndrome
Orphanet:261222	Distal 16p11.2 microdeletion syndrome
Orphanet:523	Hereditary leiomyomatosis and renal cell cancer
Orphanet:588	Muscle-eye-brain disease
Orphanet:75857	6q terminal deletion syndrome
Orphanet:46348	Paroxysmal extreme pain disorder
Orphanet:1682	Arterial dissection-lentiginosis syndrome
Orphanet:1046	Lethal hemolytic anemia-genital anomalies syndrome
Orphanet:314	Erythroderma desquamativum
Orphanet:97286	Carney-Stratakis syndrome
Orphanet:726	Alpers-Huttenlocher syndrome
Orphanet:98797	Isochromosomy Yp
Orphanet:77260	Gaucher disease type 2
Orphanet:2013	Cleft palate-large ears-small head syndrome
Orphanet:606	Proximal myotonic myopathy
Orphanet:168816	Peritoneal cystic mesothelioma
Orphanet:2398	Multiple symmetric lipomatosis
Orphanet:3196	Steroid dehydrogenase deficiency-dental anomalies syndrome
Orphanet:90290	CREST syndrome
Orphanet:1940	Shoulder and thorax deformity-congenital heart disease syndrome
Orphanet:77298	Anophthalmia/microphthalmia-esophageal atresia syndrome
Orphanet:528	Berardinelli-Seip congenital lipodystrophy
Orphanet:95496	Pituitary stalk interruption syndrome
Orphanet:231736	Microcornea-posterior megalolenticonus-persistent fetal vasculature-coloboma syndrome
Orphanet:3241	Deafness-craniofacial syndrome
Orphanet:1883	Ectodermal dysplasia-sensorineural deafness syndrome
Orphanet:1647	Oculocerebrocutaneous syndrome
Orphanet:3286	Catecholaminergic polymorphic ventricular tachycardia
Orphanet:79397	Epidermolysis bullosa simplex with mottled pigmentation
Orphanet:3152	Sclerosteosis
Orphanet:3023	Rasmussen syndrome
Orphanet:1532	Gómez-López-Hernández syndrome
Orphanet:2500	Acrogeria
Orphanet:93267	Cloverleaf skull-multiple congenital anomalies syndrome
Orphanet:1094	Anonychia-microcephaly syndrome
Orphanet:176	Non-rhizomelic chondrodysplasia punctata
Orphanet:758	Pseudoxanthoma elasticum
Orphanet:89838	KRT14-related epidermolysis bullosa simplex
Orphanet:2169	Methylcobalamin deficiency type cblE
Orphanet:3233	Cochleosaccular degeneration-cataract syndrome
Orphanet:2614	Nail-patella syndrome
Orphanet:111	Barth syndrome
Orphanet:1775	Dyskeratosis congenita
Orphanet:284400	Small cell carcinoma of the bladder
Orphanet:637	Neurofibromatosis type 2
Orphanet:129	Pseudopelade of Brocq
Orphanet:171839	Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome
Orphanet:2031	Hepatic fibrosis-renal cysts-intellectual disability syndrome
Orphanet:3130	Satoyoshi syndrome
Orphanet:369950	Intellectual disability-seizures-macrocephaly-obesity syndrome
Orphanet:169095	Alymphoid cystic thymic dysgenesis
Orphanet:99966	Atypical teratoid rhabdoid tumor
Orphanet:228399	8q12 microduplication syndrome
Orphanet:79262	Adult neuronal ceroid lipofuscinosis
Orphanet:93474	Scheie syndrome
Orphanet:2305	Isotretinoin syndrome
Orphanet:2584	Classic mycosis fungoides
Orphanet:2582	Myalgia-eosinophilia syndrome associated with tryptophan
Orphanet:1513	Craniodiaphyseal dysplasia
Orphanet:280651	Acrodysostosis with multiple hormone resistance
Orphanet:99798	Oligodontia
Orphanet:3057	Monoamine oxidase A deficiency
Orphanet:1114	Aplasia cutis congenita
Orphanet:42642	PFAPA syndrome
Orphanet:3143	Autoimmune polyendocrinopathy type 2
Orphanet:2679	Infantile axonal neuropathy
Orphanet:112	Bartter syndrome
Orphanet:63446	Acrocapitofemoral dysplasia
Orphanet:1786	Acrofacial dysostosis, Catania type
Orphanet:86918	Diffuse palmoplantar keratoderma-acrocyanosis syndrome
Orphanet:2374	Congenital laryngeal web
Orphanet:1834	Axial mesodermal dysplasia spectrum
Orphanet:1917	Fetal methylmercury syndrome
Orphanet:137608	Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome
Orphanet:2570	Holoprosencephaly-hypokinesia-congenital contractures syndrome
Orphanet:1695	Non-distal trisomy 10q
Orphanet:3085	Retinitis pigmentosa-intellectual disability-deafness-hypogenitalism syndrome
Orphanet:981	Internal carotid agenesis
Orphanet:2045	FLOTCH syndrome
Orphanet:300385	Pituitary carcinoma
Orphanet:178509	Perry syndrome
Orphanet:2024	Hereditary gingival fibromatosis
Orphanet:96092	8p inverted duplication/deletion syndrome
Orphanet:2732	Olivopontocerebellar atrophy-deafness syndrome
Orphanet:250984	Autosomal recessive Stickler syndrome
Orphanet:33355	Reticular dysgenesis
Orphanet:2528	Microcephaly-microcornea syndrome, Seemanova type
Orphanet:75496	Ehlers-Danlos syndrome, progeroid type
Orphanet:95717	Idiopathic congenital hypothyroidism
Orphanet:978	ADULT syndrome
Orphanet:279882	Spasmus nutans
Orphanet:710	Pfeiffer syndrome
Orphanet:33314	Jessner's lymphocytic infiltration of the skin
Orphanet:408	Isolated glycerol kinase deficiency
Orphanet:93403	Syndactyly type 2
Orphanet:1986	Gollop-Wolfgang complex
Orphanet:79314	L-2-hydroxyglutaric aciduria
Orphanet:154	Familial isolated dilated cardiomyopathy
Orphanet:991	PAGOD syndrome
Orphanet:1715	Trisomy 18p
Orphanet:2184	Hydrocephaly-low insertion umbilicus syndrome
Orphanet:99874	Adult pulmonary Langerhans cell histiocytosis
Orphanet:1067	Aniridia-ptosis-intellectual disability-familial obesity syndrome
Orphanet:79327	ALG1-CDG
Orphanet:2969	Proteus-like syndrome
Orphanet:1225	Baller-Gerold syndrome
Orphanet:3440	Waardenburg syndrome
Orphanet:2549	Oculoauriculovertebral spectrum with radial defects
Orphanet:7	3C syndrome
Orphanet:2850	Alopecia-intellectual disability syndrome
Orphanet:139450	Microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome
Orphanet:636	Neurofibromatosis type 1
Orphanet:156	Carnitine palmitoyl transferase 1A deficiency
Orphanet:2163	Holoprosencephaly-craniosynostosis syndrome
Orphanet:95713	Athyreosis
Orphanet:131	Budd-Chiari syndrome
Orphanet:2060	Fukuda-Miyanomae-Nakata syndrome
Orphanet:437	Hypophosphatemic rickets
Orphanet:2321	Jung-Wolff-Back-Stahl syndrome
Orphanet:99971	Well-differentiated liposarcoma
Orphanet:168	Loose anagen syndrome
Orphanet:251076	8p23.1 duplication syndrome
Orphanet:79477	Griscelli disease type 2
Orphanet:1027	Autosomal recessive amelia
Orphanet:1435	Choroideremia-deafness-obesity syndrome
Orphanet:3314	Thiemann disease, familial form
Orphanet:276608	Adult-onset non-insulinoma persistent hyperinsulinemic hypoglycemia
Orphanet:1104	Anophthalmia plus syndrome
Orphanet:1780	Thakker-Donnai syndrome
Orphanet:375	Anti-glomerular basement membrane disease
Orphanet:3164	Omphalocele syndrome, Shprintzen-Goldberg type
Orphanet:85321	Deafness-intellectual disability, Martin-Probst type syndrome
Orphanet:886	Usher syndrome
Orphanet:284160	8q21.11 microdeletion syndrome
Orphanet:642	Hereditary sensory and autonomic neuropathy type 4
Orphanet:436174	Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome
Orphanet:85275	Microphthalmia-ankyloblepharon-intellectual disability syndrome
Orphanet:2348	Familial partial lipodystrophy, Dunnigan type
Orphanet:1154	Arthrogryposis with oculomotor limitation and electroretinal anomalies
Orphanet:1062	Hereditary neurocutaneous angioma
Orphanet:79332	B4GALT1-CDG
Orphanet:209893	Congenital isolated thyroxine-binding globulin deficiency
Orphanet:99867	Thymoma
Orphanet:1581	Non-distal monosomy 10q
Orphanet:2287	Fused mandibular incisors
Orphanet:85201	Genitopatellar syndrome
Orphanet:98848	Indolent systemic mastocytosis
Orphanet:1248	Maxillonasal dysplasia
Orphanet:169105	Good syndrome
Orphanet:192	Coffin-Lowry syndrome
Orphanet:1053	Vein of Galen aneurysm
Orphanet:1276	Brachydactyly-arterial hypertension syndrome
Orphanet:1852	X-linked retinal dysplasia
Orphanet:85317	X-linked intellectual disability-hypogammaglobulinemia-progressive neurological deterioration syndrome
Orphanet:91131	DK1-CDG
Orphanet:195	Cat-eye syndrome
Orphanet:156177	Retinal ciliopathy due to mutation in Usher gene
Orphanet:2149	Nodular neuronal heterotopia
Orphanet:171829	6q16 deletion syndrome
Orphanet:91133	Osteopenia-myopia-hearing loss-intellectual disability-facial dysmorphism syndrome
Orphanet:79396	Epidermolysis bullosa simplex, Dowling-Meara type
