CUI	SAB	CODE	STR
C4020870	HPO	HP:0001384	Abnormality of the hip joints
C4020865	HPO	HP:0001830	Fibular polydactyly
C0920299	HPO	HP:0001845	Crossover toe
C0040015	HPO	HP:0001872	Thrombasthenia
C0162119	HPO	HP:0001903	Decreased hemoglobin
C0021390	HPO	HP:0002037	Inflammatory bowel disease
C0006261	HPO	HP:0002109	Bronchial disease
C4020849	HPO	HP:0002553	Bowed and upward slanting eyebrows
C0232461	HPO	HP:0002591	Increased appetite
C4020848	HPO	HP:0002617	Aneurysmal disease
C4020846	HPO	HP:0002718	Prone to bacterial infection
C0242339	HPO	HP:0003119	Dyslipidemia
C4020845	HPO	HP:0003267	Orotidine-5-prime-phosphate decarboxylase defect
C1849953	HPO	HP:0003278	Squared off pelvis
C1970883	HPO	HP:0003390	Peripheral sensory axonal neuropathy
C2752013	HPO	HP:0003577	Prenatal onset
C0242979	HPO	HP:0003750	Muscle fatigue
C0152240	HPO	HP:0003762	Double uterus
C1404521	HPO	HP:0003797	Limb-girdle myopathy
C4020831	HPO	HP:0004278	Fused hand bones
C0398648	HPO	HP:0004813	Post-transfusion purpura
C4020822	HPO	HP:0005432	Newborn gammaglobulin deficiency
C4020815	HPO	HP:0006485	Missing incisors
C4020812	HPO	HP:0006802	Abnormality of the anterior horn cell
C1854570	HPO	HP:0007002	Distal motor neuropathy
C1408781	HPO	HP:0007886	Absent ocular muscles
C0020757	HPO	HP:0008064	Hypertrophic ichthyosis
C4020803	HPO	HP:0008271	Abnormal type II collagen
C1860069	HPO	HP:0008305	Exercise-induced myoglobinuria in adults
C0015519	HPO	HP:0008321	Factor X deficiency
C0235927	HPO	HP:0008568	Vestibular ataxia
C4020791	HPO	HP:0008655	Absent or rudimentary fallopian tubes
C0687120	HPO	HP:0008659	Medullary cystic disease
C4020789	HPO	HP:0008669	Abnormal sperm development
C1866863	HPO	HP:0008944	Lower limb atrophy
C0030196	HPO	HP:0009763	Pain in extremities
C4020778	HPO	HP:0009800	maternal hyperglycemia
C0702139	HPO	HP:0009892	Congenital absence of external ear
C4020776	HPO	HP:0009904	Large helix
C4020773	HPO	HP:0010185	Hypoplasia/agenesis of distal phalanges of toes
C0037930	HPO	HP:0010302	Spinal tumor
C0037205	HPO	HP:0010497	Sympodia
C1853383	HPO	HP:0010804	Tented mouth
C1836508	HPO	HP:0010818	Hypertonic seizures
C0029454	HPO	HP:0011002	Marble bone disease
C4020760	HPO	HP:0011028	Blood circulation disorder
C0040457	HPO	HP:0011067	Extra tooth
C1856121	HPO	HP:0011229	Flared eyebrows
C3532020	HPO	HP:0011589	Bovine arch
C4020743	HPO	HP:0011739	Glucocorticoid-remediable familial primary aldosteronism
C0035258	HPO	HP:0012452	Restless legs syndrome
C4020723	HPO	HP:0012453	Bilateral wrist contracture
C4020719	HPO	HP:0012520	Dilated cerebral perivascular spaces
C4020716	HPO	HP:0012874	Abnormal male genital system physiology
C4020714	HPO	HP:0030012	Abnormal female genital system physiology
C0266609	HPO	HP:0030024	Pretragal Duplication
C0015414	HPO	HP:0100012	Neoplasia of the eye
C0019521	HPO	HP:0100247	Hiccup
C4020710	HPO	HP:0100323	Aseptic epiphyseal necrosis
C3887489	HPO	HP:0100760	Clubbed toes
C1859980	HPO	HP:0000061	Ambiguous genitalia due to virilization
C3549779	HPO	HP:0000140	Menstrual abnormalities
C0040427	HPO	HP:0000164	Tooth abnormalities
C4020893	HPO	HP:0000204	Cleft of upper lip
C1849121	HPO	HP:0000275	Thin face
C2748653	HPO	HP:0000293	Chubby cheeks
C1839323	HPO	HP:0000331	Small chin
C1848570	HPO	HP:0000400	Large, floppy ears
C4020884	HPO	HP:0000739	Anxiety disease
C0233715	HPO	HP:0000750	Speech difficulties
C0162678	HPO	HP:0001067	multiple neurofibromas
C1867616	HPO	HP:0001140	Epibulbar dermoids
C2112130	HPO	HP:0001162	Postaxial polydactyly (hands)
C1843367	HPO	HP:0001249	Poor school performance
C0151811	HPO	HP:0001482	Subcutaneous nodules
C0007222	HPO	HP:0001626	Cardiovascular disease
C1842231	HPO	HP:0001783	Broad metatarsals
C1833225	HPO	HP:0001810	Dystrophic toenails
C0040015	HPO	HP:0001975	Glanzmann thrombasthenia
C0007682	HPO	HP:0002011	Central nervous system disease
C0003466	HPO	HP:0002023	Imperforate anus
C0014867	HPO	HP:0002040	Esophageal varices
C0234376	HPO	HP:0002080	Cerebellar tremor
C0524851	HPO	HP:0002180	Neurodegenerative disease
C4020853	HPO	HP:0002345	Ataxic tremor
C4020852	HPO	HP:0002492	Involvement of the corticospinal pathways
C0040580	HPO	HP:0002778	Tracheal disease
C0162275	HPO	HP:0002919	Acetonuria
C1840087	HPO	HP:0002984	Radial ray hypoplasia
C4020690	HPO	HP:0003134	Abnormal peripheral nerve transmission
C4020842	HPO	HP:0003398	Abnormality of neuromuscular transmission
C4020838	HPO	HP:0003502	Relative short stature
C1854916	HPO	HP:0003538	Increased serum iduronate sulfatase (10-20x)
C1837899	HPO	HP:0003642	Abnormal isoelectric focusing of serum transferrin (type 1 pattern)
C1838869	HPO	HP:0003701	Proximal neurogenic muscle weakness
C0027960	HPO	HP:0003764	Nevi
C0015927	HPO	HP:0003826	Fetal death
C0398349	HPO	HP:0004401	Distal intestinal obstruction syndrome
C0013902	HPO	HP:0004445	Hereditary elliptocytosis
C4020828	HPO	HP:0004563	increased spinal bone density Z
C1408806	HPO	HP:0005103	Ear cartilage calcification
C0021846	HPO	HP:0005266	Intestinal polyps
C1845805	HPO	HP:0005464	Cranial sclerosis
C4020817	HPO	HP:0006350	Crescent/chevron-shaped pulp chambers
C4020816	HPO	HP:0006485	Absence of incisors
C1610609	HPO	HP:0008383	Abnormal nail growth
C4020793	HPO	HP:0008569	Shell ear
C4020787	HPO	HP:0008743	Subcoronal hypospadias
C4020783	HPO	HP:0009155	Cone-shaped epiphysis of the proximal phalanx of the little finger
C0005695	HPO	HP:0009725	Bladder tumor
C1378703	HPO	HP:0009726	Kidney cancer
C0006131	HPO	HP:0009796	Branchial cleft cyst
C0442874	HPO	HP:0009830	Neuropathy
C4020775	HPO	HP:0009942	Duplicated thumb
C4020691	HPO	HP:0010066	Partial/complete duplication of the phalanges of the hallux
C4020768	HPO	HP:0010675	Abnormal ossification involving bones of the feet
C3553754	HPO	HP:0010760	Aplasia of the toes
C0042076	HPO	HP:0010786	Urinary tract neoplasia
C0028882	HPO	HP:0011068	Odontomas
C3875321	HPO	HP:0011123	Inflammatory skin disease
C4020753	HPO	HP:0011353	Intimal fibrosis
C4020746	HPO	HP:0011589	Ovine arch
C0265812	HPO	HP:0011621	Left ventricular - right atrial communication
C0038534	HPO	HP:0011896	Subconjunctival haemorrhage
C0016952	HPO	HP:0012024	Galactosemia
C4020733	HPO	HP:0012071	Abnormal acetylcarnitine profile
C1859336	HPO	HP:0012301	Abnormal isoelectric focusing of serum transferrin (type 2 pattern)
C4020728	HPO	HP:0012422	Diffuse villous hypertrophy of choroid plexus
C4020727	HPO	HP:0012430	Paucity of cerebral white matter
C0035258	HPO	HP:0012452	Willis-Ekbom disease
C4020722	HPO	HP:0012454	Unilateral wrist contracture
C0748318	HPO	HP:0012622	Progressive renal insufficiency
C0748318	HPO	HP:0012622	Renal insufficiency, progressive
C4020718	HPO	HP:0012811	Broad nasal ridge
C4020715	HPO	HP:0012887	Serous ovarian cyst
C0033948	HPO	HP:0030015	Female orgasmic disorder
C4020713	HPO	HP:0030258	Penile melanosis
C0018809	HPO	HP:0100544	Cardiac neoplasia
C4020706	HPO	HP:0100604	Neoplasia of the lip
C4020705	HPO	HP:0100611	Glomerulocystic kidney disease
C4020704	HPO	HP:0100619	Sertoli cell neoplasia
C0024228	HPO	HP:0100763	Lymphatic disease
C0019270	HPO	HP:0100790	Hernias
C0332563	HPO	HP:0200034	Skin papules
C4020898	HPO	HP:0000012	Overactive bladder syndrome
C0080276	HPO	HP:0000119	Genitourinary disease
C1839739	HPO	HP:0000179	Thick lower lip
C0030044	HPO	HP:0000263	Acrocephaly
C1856468	HPO	HP:0000311	Round, full face
C1855751	HPO	HP:0000414	Bulbous nasal tip
C0266037	HPO	HP:0000698	Conical teeth
C1510586	HPO	HP:0000729	Autism spectrum disorder
C0031117	HPO	HP:0000759	Peripheral nervous system disease
C0017661	HPO	HP:0000794	IgA nephropathy
C4020883	HPO	HP:0000879	Hypoplastic sternum
C1839248	HPO	HP:0000914	Broad chest
C0014714	HPO	HP:0001055	St. Anthony's Fire
C0033999	HPO	HP:0001059	Pterygia
C1865332	HPO	HP:0001125	Hemianopic blurring
C1844577	HPO	HP:0001187	Hyperextensible fingers
C4020876	HPO	HP:0001249	Dull intelligence
C1864897	HPO	HP:0001263	Cognitive delay
C4020872	HPO	HP:0001291	Cranial nerve abnormality
C1844947	HPO	HP:0001522	Death in early childhood
C0027339	HPO	HP:0001597	Nail disease
C0030286	HPO	HP:0001732	Pancreatic disease
C0041349	HPO	HP:0001969	Tubulointerstitial nephropathy
C4020860	HPO	HP:0002059	Supratentorial atrophy
C3714497	HPO	HP:0002099	Reactive airway disease
C0266011	HPO	HP:0002558	accessory mamillas
C0262527	HPO	HP:0002574	Intermittent abdominal pain
C0008312	HPO	HP:0002613	Primary biliary cirrhosis
C0006826	HPO	HP:0002664	Cancer
C1851971	HPO	HP:0002863	Hypoplastic myelodysplasia
C3494187	HPO	HP:0003125	Factor VIII deficiency
C1142132	HPO	HP:0003234	Carnitine deficiency
C0001118	HPO	HP:0004360	Acid base imbalance
C1859458	HPO	HP:0004616	Cleft vertebral arches
C0729555	HPO	HP:0004798	Gastrointestinal infections
C0023234	HPO	HP:0005743	Coxa plana
C1859735	HPO	HP:0005961	Arginine deficiency
C0011860	HPO	HP:0005978	Noninsulin-dependent diabetes mellitus
C1855000	HPO	HP:0006289	Absent central incisors
C4020818	HPO	HP:0006339	Pointed mandibular incisors
C0426806	HPO	HP:0006585	Bipartite clavicle
C1864114	HPO	HP:0006999	Cell loss and gliosis in the basal ganglia
C1969675	HPO	HP:0007648	Punctate lenticular opacities
C1837087	HPO	HP:0008002	Macular pigmentary changes
C0015503	HPO	HP:0008169	Factor VII deficiency
C4020796	HPO	HP:0008569	Ear, grade II dysplasia
C1835452	HPO	HP:0008724	Hypoplastic ovary
C1861528	HPO	HP:0008788	Delayed mineralization of pubic bone
C0011981	HPO	HP:0009110	Eventration of the diaphragm
C4020781	HPO	HP:0009244	Fusion of the terminal and middle phalanges of the 5th finger
C4020774	HPO	HP:0010038	Hypoplastic 2nd metacarpal
C0036093	HPO	HP:0010286	Salivary gland disease
C1398301	HPO	HP:0010290	Short palate
C4020771	HPO	HP:0010622	Neoplasia of the skeletal system
C1836509	HPO	HP:0010819	Hypotonic seizures
C4020764	HPO	HP:0010876	Blood protein disease
C4020762	HPO	HP:0010932	Abnormal nucleoside levels
C4020759	HPO	HP:0011065	Pointed incisor
C4020758	HPO	HP:0011082	Pointed primary incisor
C0038363	HPO	HP:0011107	Aphthous stomatitis
C2937365	HPO	HP:0011107	Buccal aphthous ulcers
C4020757	HPO	HP:0011224	Aplasia of the eyelids
C4020755	HPO	HP:0011328	Anomaly of the fontanelles
C4020754	HPO	HP:0011336	Temporal skin defect
C4020751	HPO	HP:0011393	Aplasia of cranial nerve VIII
C4020750	HPO	HP:0011394	Hypoplasia of cranial nerve VIII
C0270742	HPO	HP:0011445	Dyskinetic cerebral palsy
C4020748	HPO	HP:0011471	PEG-fed in infancy
C0232301	HPO	HP:0011540	Ventricular inversion
C4020744	HPO	HP:0011739	Familial primary hyperaldosteronism type 1
C4020736	HPO	HP:0011977	Increased urinary homovanillic acid
C4020735	HPO	HP:0011978	Increased urinary vanillylmandelic acid
C4020731	HPO	HP:0012113	Creatine metabolism abnormal
C0278996	HPO	HP:0012288	Head and neck cancer
C0152098	HPO	HP:0012327	Median arcuate ligament syndrome
C1860972	HPO	HP:0012462	Chin spasms
C3671880	HPO	HP:0012580	Calcium phosphate urolithiasis
C4020717	HPO	HP:0012859	Esophageal epidermoid metaplasia
C0007869	HPO	HP:0030158	Cervical erosion
C4020712	HPO	HP:0100276	Skin pits
C4020702	HPO	HP:0100668	Gut duplication
C0558242	HPO	HP:0100679	Tight skin
C1835157	HPO	HP:0200102	Partial to total absence of eyelashes
C4020899	HPO	HP:0000007	Autosomal recessive predisposition
C3544092	HPO	HP:0000012	Urgency frequency syndrome
C1515283	HPO	HP:0000030	Gonadoblastoma, male
C1857078	HPO	HP:0000376	Mondini malformation
C4020891	HPO	HP:0000446	Pinched nasal bridge
C0026010	HPO	HP:0000568	Nanophthalmos
C0008521	HPO	HP:0000610	Choroid disease
C0497247	HPO	HP:0000822	Increased blood pressure
C0001621	HPO	HP:0000834	Adrenal gland disease
C0030232	HPO	HP:0000980	Paleness
C0013238	HPO	HP:0001097	Dry eye syndrome
C0039231	HPO	HP:0001649	Increased heart rate
C0039231	HPO	HP:0001649	Rapid heart beat
C0151517	HPO	HP:0001709	Third-degree heart block
C0030293	HPO	HP:0001738	Pancreatic insufficiency
C0264133	HPO	HP:0001763	Fallen arches
C1850161	HPO	HP:0001783	Widened metatarsal shaft
C0003635	HPO	HP:0002186	Apraxias
C0520679	HPO	HP:0002870	Obstructive sleep apnoea
C0015499	HPO	HP:0003225	Factor V deficiency
C4020844	HPO	HP:0003300	Bullet vertebral body
C1859828	HPO	HP:0003463	Lipopigment in extraneuronal cells
C0853085	HPO	HP:0003563	Decreased LDL
C1834002	HPO	HP:0003744	Paternal anticipation bias
C0027962	HPO	HP:0003764	Naevi
C4020835	HPO	HP:0003911	Flared humerus
C1328440	HPO	HP:0004337	Amino acid levels abnormal
C0005904	HPO	HP:0004370	Body temperature changes
C1849537	HPO	HP:0004474	Anterior fontanelle open in adults
C0694539	HPO	HP:0004754	Chronic atrial fibrillation
C4020826	HPO	HP:0004921	Abnormal magnesium metabolism
C1841994	HPO	HP:0005563	Decreased numbers of glomeruli
C4020821	HPO	HP:0006109	Aplasia of the interphalangeal creases
C4020819	HPO	HP:0006289	Missing central incisors
C1861621	HPO	HP:0006571	Intrahepatic duct deficiency
C0038356	HPO	HP:0006753	Neoplasia of the stomach
C0032131	HPO	HP:0006775	Plasmocytoma
C1832339	HPO	HP:0006916	Intraaxonal accumulation of curvilinear profiles
C1836174	HPO	HP:0007166	Involuntary dystonic or choreiform movements
C1865351	HPO	HP:0007183	Hyperintense lesions in the basal ganglia on MRI
C4020799	HPO	HP:0008467	Midthoracic hemivertebrae
C4020792	HPO	HP:0008569	Snail ear
C1968706	HPO	HP:0008697	Rudimentary fallopian tubes
C3806644	HPO	HP:0008944	Lower limb muscle hypotrophy
C0221360	HPO	HP:0008986	Agenesis of diaphragm
C4020785	HPO	HP:0009121	Abnormality of the axial skeleton
C4020784	HPO	HP:0009155	Angel-shaped epiphysis of the proximal phalanx of the 5th finger
C1527388	HPO	HP:0009775	Amniotic constriction band
C1858719	HPO	HP:0010628	Facial muscle weakness of muscles innervated by CN VII
C1392099	HPO	HP:0010697	Pyramidal cataract
C4020763	HPO	HP:0010876	Serum protein abnormality
C4020761	HPO	HP:0010967	Carnitine levels abnormal
C0012242	HPO	HP:0011024	Digestive system disease
C0038363	HPO	HP:0011107	aphthous ulcers
C0742906	HPO	HP:0011227	Elevated CRP
C0344616	HPO	HP:0011540	L-transposition
C4020740	HPO	HP:0011918	4th toe clinodactyly
C4020737	HPO	HP:0011925	Respiratory complex deficiency, ATPase deficiency
C1841816	HPO	HP:0012147	Decreased von Willebrand factor
C0028866	HPO	HP:0012246	Oculomotor neuropathy
C4020720	HPO	HP:0012519	Hypoplastic posterior communicating arteries
C0748318	HPO	HP:0012622	Progressive renal failure
C0751674	HPO	HP:0012798	Lymphangioleiomyomatosis
C0343084	HPO	HP:0030005	Systemic capillary leak syndrome
C4020711	HPO	HP:0100315	Lewy body diesase
C4020709	HPO	HP:0100574	Neoplasia of the biliary tract
C4020708	HPO	HP:0100575	Neoplasia of the gallbladder
C0281966	HPO	HP:0000078	Abnormality of the reproductive system
C2053437	HPO	HP:0000179	Full lower lip
C0158646	HPO	HP:0000202	Cleft lip/palate
C0031090	HPO	HP:0000704	Periodontal disease
C0424323	HPO	HP:0000718	physical aggression
C0014130	HPO	HP:0000818	Endocrine system disease
C0037268	HPO	HP:0000951	Skin abnormality
C0018916	HPO	HP:0001028	Hemangiomata
C0242422	HPO	HP:0001300	Parkinsonian disease
C3714552	HPO	HP:0001324	Weakness
C0023895	HPO	HP:0001392	Liver disease
C0231246	HPO	HP:0001508	Poor weight gain
C0521007	HPO	HP:0001621	Hypophonia
C1841659	HPO	HP:0001678	Atrioventricular nodal disease
C0005779	HPO	HP:0001928	Blood coagulation disorder
C4020861	HPO	HP:0002002	Depressed philtrum
C4020857	HPO	HP:0002074	Neuronal lipopigments
C4020855	HPO	HP:0002093	Respiratory function loss
C0751778	HPO	HP:0002123	Myoclonic epilepsy, progressive
C0014550	HPO	HP:0002123	Myoclonic seizures
C0037928	HPO	HP:0002143	Spinal cord disease
C1846868	HPO	HP:0002548	Favorable response to levodopa
C4020850	HPO	HP:0002552	Generalized trichodysplasia
C4020847	HPO	HP:0002644	Abnormality of the pelvic girdle
C1842408	HPO	HP:0002894	increased risk of pancreatic cancer
C1833144	HPO	HP:0003100	Thin gracile long bones
C4020840	HPO	HP:0003468	Abnormal vertebral bodies
C1959620	HPO	HP:0003654	Dihydropyrimidine dehydrogenase deficiency
C4020833	HPO	HP:0004052	Delayed maturation of the hand bones
C0878621	HPO	HP:0004323	Abnormality of habitus
C0342276	HPO	HP:0004904	MODY
C4020825	HPO	HP:0005041	Irregular capital femoral epiphyses
C1832327	HPO	HP:0005379	Absent peripheral blood T cells
C4020820	HPO	HP:0006159	Central polydactyly (hands)
C0011351	HPO	HP:0006297	Enamel dysplasia
C0240116	HPO	HP:0007083	Brisk knee jerk
C0042909	HPO	HP:0007902	Vitreous haemorrhage
C4020798	HPO	HP:0008504	Moderate neural deafness
C4020795	HPO	HP:0008569	Mini ear
C4020786	HPO	HP:0009113	Diminished diaphragmatic motion
C0022665	HPO	HP:0009726	Renal neoplasia
C0152415	HPO	HP:0010296	Tongue tie
C0266368	HPO	HP:0010463	Aplasia of the ovaries
C0427055	HPO	HP:0010628	Facial weakness
C0029454	HPO	HP:0011002	Albers-Schonberg disease
C0151489	HPO	HP:0011004	Arterial abnormalities
C4020756	HPO	HP:0011315	Unilateral coronal craniosynostosis
C4020752	HPO	HP:0011368	Abnormality of keratinization
C0345122	HPO	HP:0011686	Anomalous coronary artery course
C4020745	HPO	HP:0011738	Corticotropin-releasing hormone receptor (CRHR) resistance
C0015402	HPO	HP:0011885	Haemorrhage of the eye
C0859996	HPO	HP:0012155	Decreased corneal sensitivity
C0333302	HPO	HP:0012425	Recto-sigmoid colon stercoral ulcer
C0878588	HPO	HP:0012441	Sphincter of Oddi dysfunction
C0016196	HPO	HP:0030207	Flail chest
C0085136	HPO	HP:0100006	Neoplasia of the central nervous system
C0040136	HPO	HP:0100031	Neoplasia of the thyroid gland
C0153619	HPO	HP:0100516	ureter, cancer of
C0008924	HPO	HP:0000204	Cleft lip
C3806443	HPO	HP:0000293	Puffy cheeks
C4020892	HPO	HP:0000378	Capuchin ears
C1855285	HPO	HP:0000411	Protruding ears
C4020888	HPO	HP:0000495	Epithelial corneal erosions
C0023308	HPO	HP:0000517	Lens disease
C0271215	HPO	HP:0000618	Legal blindness
C4020885	HPO	HP:0000662	Difficulties with night vision
C0426826	HPO	HP:0000887	Rib flaring
C0241178	HPO	HP:0000977	Velvety skin
C4020880	HPO	HP:0001041	Ruddy face
C4020879	HPO	HP:0001070	Stippled pigmentation
C1845110	HPO	HP:0001566	Central incisor gap
C0085611	HPO	HP:0001692	Atrial arrhythmia
C1844555	HPO	HP:0001802	Absent toenails
C4020864	HPO	HP:0001871	Abnormality of the haematopoietic system
C4020863	HPO	HP:0001872	Blood platelet disease
C0836924	HPO	HP:0001894	Thrombocythaemia
C0836924	HPO	HP:0001894	Thrombocythemia
C4020859	HPO	HP:0002062	Pyramidal tract disease
C0024115	HPO	HP:0002088	Lung disease
C0012833	HPO	HP:0002321	Dizziness
C4020851	HPO	HP:0002500	Cortical white matter abnormalities seen on MRI
C0266011	HPO	HP:0002558	Supernumerary nipples
C1865377	HPO	HP:0002732	Small lymph nodes
C4020841	HPO	HP:0003403	EMG: decrement at repetitive stimulation
C0043094	HPO	HP:0004324	Weight gain
C0027766	HPO	HP:0004375	Neoplasia of the nervous system
C4020829	HPO	HP:0004379	Alkaline phosphytase abnormal
C0749398	HPO	HP:0004831	Recurrent thromboembolic disease
C4020824	HPO	HP:0005365	Absence of B cells
C0476489	HPO	HP:0006254	Alpha fetoprotein abnormal
C1969284	HPO	HP:0006353	Hypoplastic tooth buds
C4020808	HPO	HP:0007651	Everted lower eyelids
C0037286	HPO	HP:0008069	Neoplasia of the skin
C0007114	HPO	HP:0008069	Skin cancer
C1833054	HPO	HP:0008220	Hypocortisolism
C4020801	HPO	HP:0008314	Respiratory complex II deficiency
C1833683	HPO	HP:0008672	Calcium oxalate urolithiasis
C0345309	HPO	HP:0008726	Hypoplastic vagina
C4020782	HPO	HP:0009157	Ivory epiphysis of the proximal phalanx of the little finger
C4020772	HPO	HP:0010290	Hypoplastic palate
C0948740	HPO	HP:0010627	Hypoplasia of the pituitary gland
C4020769	HPO	HP:0010664	Fusion of thamali
C0042138	HPO	HP:0010784	Uterine neoplasia
C0039590	HPO	HP:0010788	Testicular neoplasia
C4020765	HPO	HP:0010849	EEG with 3-4-Hz spike waves
C1867446	HPO	HP:0011220	Bulging forehead
C4020739	HPO	HP:0011923	Respiratory complex I deficiency
C4020730	HPO	HP:0012240	Increased muscle lipid droplets
C4020726	HPO	HP:0012433	Abnormal social interactions
C1458155	HPO	HP:0100013	Tumours of the breast
C0041971	HPO	HP:0100517	Neoplasia of the urethra
C0023761	HPO	HP:0100604	Tumor of the lip
C0919267	HPO	HP:0100615	Ovarian neoplasia
C4020703	HPO	HP:0100632	Cystic lung lesion
C4020699	HPO	HP:0100814	Congenital dermal melanocytosis
C0234861	HPO	HP:0200046	cri de chat-associated cry
C4020897	HPO	HP:0000072	Uroureter
C4020896	HPO	HP:0000080	Abnormality of genital physiology
C0542518	HPO	HP:0000105	Large kidney
C0029928	HPO	HP:0000137	Ovarian disease
C1384666	HPO	HP:0000365	Hearing loss
C0018772	HPO	HP:0000365	Hypoacusis
C0743359	HPO	HP:0000389	Chronic ear infection
C0035309	HPO	HP:0000479	Retinal disease
C4020887	HPO	HP:0000613	Photodysphoria
C0011334	HPO	HP:0000670	Dental decay
C0011581	HPO	HP:0000716	Depressive disorder
C0030517	HPO	HP:0000828	Parathyroid disease
C4020882	HPO	HP:0000925	Abnormality of the backbone
C0038986	HPO	HP:0000971	Sweat gland disease
C3806554	HPO	HP:0001051	Dysseborrheic dermatitis
C0005424	HPO	HP:0001080	Biliary tract disease
C0339268	HPO	HP:0001084	Arcus juvenilis
C0026106	HPO	HP:0001256	Mental retardation, mild
C0010278	HPO	HP:0001363	Craniostenosis
C1867955	HPO	HP:0001402	Increased incidence of hepatocellular carcinoma
C4020869	HPO	HP:0001438	Abdomen abnormality
