orphanet_code	orphanet_term
Orphanet:90650	Otopalatodigital syndrome type 1
Orphanet:1034	Amniotic bands
Orphanet:94066	Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia
Orphanet:1028	Amelo-onycho-hypohidrotic syndrome
Orphanet:95714	Primary congenital hypothyroidism without thyroid developmental anomaly
Orphanet:90045	Hereditary folate malabsorption
Orphanet:1307	Distal limb deficiencies-micrognathia syndrome
Orphanet:99819	Familial gestational hyperthyroidism
Orphanet:1231	Barber-Say syndrome
Orphanet:2348	Familial partial lipodystrophy, Dunnigan type
Orphanet:79230	Hemochromatosis type 2
Orphanet:6	3-methylcrotonyl-CoA carboxylase deficiency
Orphanet:85199	Craniosynostosis-anal anomalies-porokeratosis syndrome
Orphanet:1681	Diprosopus
Orphanet:1646	Partial chromosome Y deletion
Orphanet:142	Anaplastic thyroid carcinoma
Orphanet:819	Smith-Magenis syndrome
Orphanet:90036	Mixed-type autoimmune hemolytic anemia
Orphanet:1420	Lethal chondrodysplasia, Moerman type
Orphanet:1553	Curry-Jones syndrome
Orphanet:2152	Mowat-Wilson syndrome
Orphanet:79333	COG7-CDG
Orphanet:1910	Fetal iodine syndrome
Orphanet:3169	Sirenomelia
Orphanet:85283	X-linked intellectual disability, Miles-Carpenter type
Orphanet:90	Argininemia
Orphanet:86909	Myoclonic epilepsy of infancy
Orphanet:739	Prader-Willi syndrome
Orphanet:1917	Fetal methylmercury syndrome
Orphanet:91387	Familial thoracic aortic aneurysm and aortic dissection
Orphanet:3173	Infantile spasms-broad thumbs syndrome
Orphanet:69028	Syndrome with brachydactyly
Orphanet:506	Leigh syndrome
Orphanet:238329	Severe X-linked mitochondrial encephalomyopathy
Orphanet:2584	Classic mycosis fungoides
Orphanet:2456	Familial supernumerary nipples
Orphanet:796	Sandhoff disease
Orphanet:3465	Worster-Drought syndrome
Orphanet:218	Darier disease
Orphanet:178377	Osteosclerosis-developmental delay-craniosynostosis syndrome
Orphanet:3079	Intellectual disability, Buenos-Aires type
Orphanet:2867	Short stature, Brussels type
Orphanet:900	Granulomatosis with polyangiitis
Orphanet:221016	Rothmund-Thomson syndrome type 2
Orphanet:2380	Legg-Calvé-Perthes disease
Orphanet:193	Cohen syndrome
Orphanet:1877	Muscular dystrophy-white matter spongiosis syndrome
Orphanet:85322	X-linked intellectual disability, Pai type
Orphanet:99874	Adult pulmonary Langerhans cell histiocytosis
Orphanet:3196	Steroid dehydrogenase deficiency-dental anomalies syndrome
Orphanet:2808	Laryngeal abductor paralysis
Orphanet:95501	Congenital central diabetes insipidus
Orphanet:303	Dystrophic epidermolysis bullosa
Orphanet:1535	Craniosynostosis-dysmorphism-brachydactyly syndrome
Orphanet:1054	Aneurysm of sinus of Valsalva
Orphanet:226310	Peripheral hypothyroidism
Orphanet:63442	Angel-shaped phalango-epiphyseal dysplasia
Orphanet:79476	Griscelli disease type 1
Orphanet:99880	Hyperparathyroidism-jaw tumor syndrome
Orphanet:191	Cockayne syndrome
Orphanet:754	Androgen insensitivity syndrome
Orphanet:428	Autosomal dominant hypocalcemia
Orphanet:2668	Nephropathy-deafness-hyperparathyroidism syndrome
Orphanet:2370	Larsen-like osseous dysplasia-short stature syndrome
Orphanet:1243	Best vitelliform macular dystrophy
Orphanet:673	Malaria
Orphanet:79273	Hereditary coproporphyria
Orphanet:581	Mucopolysaccharidosis type 3
Orphanet:2199	Epidermolytic palmoplantar keratoderma
Orphanet:873	Desmoid tumor
Orphanet:85174	Pseudodiastrophic dysplasia
Orphanet:550	MELAS
Orphanet:231720	Non-acquired combined pituitary hormone deficiency with spine abnormalities
Orphanet:231226	Dominant beta-thalassemia
Orphanet:261211	16p11.2p12.2 microdeletion syndrome
Orphanet:3042	Intellectual disability-cataracts-calcified pinnae-myopathy syndrome
Orphanet:247604	Juvenile primary lateral sclerosis
Orphanet:2386	Leukoencephalopathy-palmoplantar keratoderma syndrome
Orphanet:70567	Cholangiocarcinoma
Orphanet:578	Mucolipidosis type IV
Orphanet:435387	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to VCP mutation
Orphanet:3198	Stiff person syndrome and related disorders
Orphanet:31824	Colchicine poisoning
Orphanet:64754	Nevus comedonicus syndrome
Orphanet:99725	Pituitary gigantism
Orphanet:440727	Combined hamartoma of the retina and retinal pigment epithelium
Orphanet:252164	Benign schwannoma
Orphanet:171851	MEDNIK syndrome
Orphanet:158003	Xanthoma disseminatum
Orphanet:276413	10q22.3q23.3 microdeletion syndrome
Orphanet:243	46,XX gonadal dysgenesis
Orphanet:2246	Cerebellar hypoplasia-tapetoretinal degeneration syndrome
Orphanet:685	Hereditary spastic paraplegia
Orphanet:2518	Autosomal recessive chorioretinopathy-microcephaly syndrome
Orphanet:215	Congenital stationary night blindness
Orphanet:228410	Polyvalvular heart disease syndrome
Orphanet:90042	Primary familial polycythemia
Orphanet:1872	Cone rod dystrophy
Orphanet:55881	Adamantinoma
Orphanet:1053	Vein of Galen aneurysm
Orphanet:658	Non-histaminic angioedema
Orphanet:96169	Koolen-De Vries syndrome
Orphanet:988	Absent tibia-polydactyly syndrome
Orphanet:2863	Short stature-wormian bones-dextrocardia syndrome
Orphanet:1894	Ectrodactyly-spina bifida-cardiopathy syndrome
Orphanet:1892	Ectrodactyly-polydactyly syndrome
Orphanet:94068	Spondyloepiphyseal dysplasia congenita
Orphanet:35173	X-linked dominant chondrodysplasia punctata
Orphanet:46059	Lathosterolosis
Orphanet:2040	Congenital bronchobiliary fistula
Orphanet:217377	Microduplication Xp11.22-p11.23 syndrome
Orphanet:168549	Axial spondylometaphyseal dysplasia
Orphanet:44890	Gastrointestinal stromal tumor
Orphanet:93384	Brachydactyly type C
Orphanet:2907	Hereditary acrokeratotic poikiloderma, Weary type
Orphanet:662	Yellow nail syndrome
Orphanet:916	Aase-Smith syndrome
Orphanet:1914	Embryofetopathy due to oral anticoagulant therapy
Orphanet:217340	17q21.31 microduplication  syndrome
Orphanet:2510	Micro syndrome
Orphanet:33314	Jessner's lymphocytic infiltration of the skin
Orphanet:791	Retinitis pigmentosa
Orphanet:1778	Facial dysmorphism-shawl scrotum-joint laxity syndrome
Orphanet:54028	Plummer-Vinson syndrome
Orphanet:3095	Atypical Rett syndrome
Orphanet:1393	Cerebro-costo-mandibular syndrome
Orphanet:420794	Cono-spondylar dysplasia
Orphanet:2835	Pectus excavatum-macrocephaly-dysplastic nails syndrome
Orphanet:226307	Hypothyroidism due to deficient transcription factors involved in pituitary development or function
Orphanet:1253	Ascher syndrome
Orphanet:494	Keratoderma hereditarium mutilans
Orphanet:99889	Cushing syndrome due to ectopic ACTH secretion
Orphanet:457	Harlequin ichthyosis
Orphanet:444490	Familial chylomicronemia syndrome
Orphanet:2368	Gastroschisis
Orphanet:98292	Mastocytosis
Orphanet:42642	PFAPA syndrome
Orphanet:2378	Laurin-Sandrow syndrome
Orphanet:2590	Spinal muscular atrophy-progressive myoclonic epilepsy syndrome
Orphanet:35688	Madelung deformity
Orphanet:75234	Cholesteryl ester storage disease
Orphanet:1240	Metaphyseal acroscyphodysplasia
Orphanet:3181	Sprengel deformity
Orphanet:677	Pancreatoblastoma
Orphanet:35701	3-hydroxy-3-methylglutaryl-CoA synthase deficiency
Orphanet:1396	Cerebro-reno-digital syndrome
Orphanet:431329	Autosomal recessive spastic paraplegia type 57
Orphanet:65250	Perineural cyst
Orphanet:1067	Aniridia-ptosis-intellectual disability-familial obesity syndrome
Orphanet:2257	Familial primary pulmonary hypoplasia
Orphanet:816	Sjögren-Larsson syndrome
Orphanet:727	Microscopic polyangiitis
Orphanet:1772	45,X/46,XY mixed gonadal dysgenesis
Orphanet:79443	Pseudohypoparathyroidism type 1A
Orphanet:1738	Trisomy 4p
Orphanet:228415	5q35 microduplication syndrome
Orphanet:1797	Autosomal dominant spondylocostal dysostosis
Orphanet:100070	Progressive non-fluent aphasia
Orphanet:314911	Severe Canavan disease
Orphanet:2373	Congenital laryngomalacia
Orphanet:160148	Cap polyposis
Orphanet:1473	Uveal coloboma-cleft lip and palate-intellectual disability
Orphanet:1879	Melorheostosis with osteopoikilosis
Orphanet:2398	Multiple symmetric lipomatosis
Orphanet:91131	DK1-CDG
Orphanet:525	Lichen planopilaris
Orphanet:368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency
Orphanet:79325	ALG8-CDG
Orphanet:904	Williams syndrome
Orphanet:79303	Congenital bile acid synthesis defect type 2
Orphanet:994	Fetal akinesia deformation sequence
Orphanet:52503	X-linked creatine transporter deficiency
Orphanet:163703	Febrile infection-related epilepsy syndrome
Orphanet:169105	Good syndrome
Orphanet:1135	Arrhinia-choanal atresia-microphthalmia syndrome
Orphanet:236	Trisomy 9p
Orphanet:195	Cat-eye syndrome
Orphanet:46	Adenylosuccinate lyase deficiency
Orphanet:63275	Pemphigoid gestationis
Orphanet:2300	Multiple intestinal atresia
Orphanet:79107	Developmental malformations-deafness-dystonia syndrome
Orphanet:96176	Ring chromosome 13
Orphanet:77297	Majeed syndrome
Orphanet:2878	Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome
Orphanet:324575	Hyperinsulinism due to HNF1A deficiency
Orphanet:478	Kallmann syndrome
Orphanet:1180	Ataxia-hypogonadism-choroidal dystrophy syndrome
Orphanet:1145	Infantile-onset X-linked spinal muscular atrophy
Orphanet:90646	Deafness-hypogonadism syndrome
Orphanet:1293	Brachyolmia
Orphanet:1194	TMEM70-related mitochondrial encephalo-cardio-myopathy
Orphanet:1434	Choroideremia-hypopituitarism syndrome
Orphanet:3447	Weaver syndrome
Orphanet:2924	Isolated polycystic liver disease
Orphanet:653	Multiple endocrine neoplasia type 2
Orphanet:678	Papillon-Lefèvre syndrome
Orphanet:1078	Thumb stiffness-brachydactyly-intellectual disability syndrome
Orphanet:3080	Intellectual disability, Wolff type
Orphanet:66625	Cerebro-oculo-nasal syndrome
Orphanet:363705	Craniofaciofrontodigital syndrome
Orphanet:1837	Ulna metaphyseal dysplasia syndrome
Orphanet:91351	Pituitary dermoid and epidermoid cysts
Orphanet:101330	Porphyria cutanea tarda
Orphanet:1757	Fibular dimelia-diplopodia syndrome
Orphanet:117	Behçet disease
Orphanet:50810	Microlissencephaly-micromelia syndrome
Orphanet:109	Bannayan-Riley-Ruvalcaba syndrome
Orphanet:2836	PEHO syndrome
Orphanet:86893	Nodular lymphocyte predominant Hodgkin lymphoma
Orphanet:115	Congenital contractural arachnodactyly
Orphanet:833	Encephalopathy due to sulfite oxidase deficiency
Orphanet:179494	Obesity due to leptin receptor gene deficiency
Orphanet:1911	Cocaine embryofetopathy
Orphanet:3416	Hyperostosis corticalis generalisata
Orphanet:85332	X-linked intellectual disability-retinitis pigmentosa syndrome
Orphanet:251038	3q29 microduplication
Orphanet:116	Beckwith-Wiedemann syndrome
Orphanet:94095	Spondylocostal dysostosis-anal and genitourinary malformations syndrome
Orphanet:1695	Non-distal trisomy 10q
Orphanet:314585	15q overgrowth syndrome
Orphanet:51	Aicardi-Goutières syndrome
Orphanet:1834	Axial mesodermal dysplasia spectrum
Orphanet:324703	ABetaL34V amyloidosis
Orphanet:79152	Disseminated superficial actinic porokeratosis
Orphanet:168569	H syndrome
Orphanet:66633	Sensorineural hearing loss-early graying-essential tremor syndrome
Orphanet:740	Hutchinson-Gilford progeria syndrome
Orphanet:319251	Rift valley fever
Orphanet:990	Agnathia-holoprosencephaly-situs inversus syndrome
Orphanet:49827	Thiamine-responsive megaloblastic anemia syndrome
Orphanet:769	Rabson-Mendenhall syndrome
Orphanet:50943	Keratolytic winter erythema
Orphanet:602	GNE myopathy
Orphanet:2604	Familial visceral myopathy
Orphanet:977	Adrenomyodystrophy
Orphanet:281127	Acral self-healing collodion baby
Orphanet:1394	Cerebro-facio-thoracic dysplasia
Orphanet:178475	Wound botulism
Orphanet:811	Shwachman-Diamond syndrome
Orphanet:31	Oxoglutaricaciduria
Orphanet:79323	MPDU1-CDG
Orphanet:375	Anti-glomerular basement membrane disease
Orphanet:36258	Buerger disease
Orphanet:228116	Hughes-Stovin syndrome
Orphanet:85173	IMAGe syndrome
Orphanet:3225	Hearing loss-familial salivary gland insensitivity to aldosterone syndrome
Orphanet:199267	Infantile digital fibromatosis
Orphanet:71	Chylomicron retention disease
Orphanet:83628	PELVIS syndrome
Orphanet:79141	Hereditary painful callosities
Orphanet:64739	Ovarian hyperstimulation syndrome
Orphanet:1900	Ehlers-Danlos syndrome, kyphoscoliotic type
Orphanet:1248	Maxillonasal dysplasia
Orphanet:83453	Vulvovaginal gingival syndrome
Orphanet:251056	6q25 microdeletion syndrome
Orphanet:99928	Placental site trophoblastic tumor
Orphanet:189427	Cushing syndrome due to macronodular adrenal hyperplasia
Orphanet:1947	Progressive epilepsy-intellectual disability syndrome, Finnish type
Orphanet:276575	Autosomal dominant hyperinsulinism due to SUR1 deficiency
Orphanet:1241	Bencze syndrome
Orphanet:2058	Fryns-Smeets-Thiry syndrome
Orphanet:90791	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
Orphanet:90970	Primary lipodystrophy
Orphanet:983	Testicular regression syndrome
Orphanet:179	Birdshot chorioretinopathy
Orphanet:2098	Acromesomelic dysplasia, Grebe type
Orphanet:220497	Joubert syndrome with renal defect
Orphanet:577	Mucolipidosis type III
Orphanet:1182	Spastic ataxia with congenital miosis
Orphanet:1478	Interatrial communication
Orphanet:1466	COFS syndrome
Orphanet:48652	Monosomy 22q13
Orphanet:2824	Paraplegia-intellectual disability-hyperkeratosis syndrome
Orphanet:93109	Congenital megacalycosis
Orphanet:972	Hereditary continuous muscle fiber activity
Orphanet:2130	Hemimelia
Orphanet:393	46,XX testicular disorder of sex development
Orphanet:139474	17q11.2 microduplication syndrome
Orphanet:2315	Johanson-Blizzard syndrome
Orphanet:88637	Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome
Orphanet:2200	Focal palmoplantar and gingival keratoderma
Orphanet:112	Bartter syndrome
Orphanet:70476	Vernal keratoconjunctivitis
Orphanet:3233	Cochleosaccular degeneration-cataract syndrome
Orphanet:2686	Cyclic neutropenia
Orphanet:300385	Pituitary carcinoma
Orphanet:313	Lamellar ichthyosis
Orphanet:845	Tay-Sachs disease
Orphanet:1426	Greenberg dysplasia
Orphanet:75392	Ehlers-Danlos syndrome, periodontitis type
Orphanet:321	Multiple osteochondromas
Orphanet:75374	Bradyopsia
Orphanet:2579	Muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome
Orphanet:289548	Inherited isolated adrenal insufficiency due to CYP11A1 deficiency
Orphanet:125	Bloom syndrome
Orphanet:1779	Dysmorphism-cleft palate-loose skin syndrome
Orphanet:93111	Renal cysts and diabetes syndrome
Orphanet:223	Nephrogenic diabetes insipidus
Orphanet:704	Pemphigus vulgaris
Orphanet:284160	8q21.11 microdeletion syndrome
Orphanet:250	Frontonasal dysplasia
Orphanet:56425	Cold agglutinin disease
Orphanet:946	Acrocephalosyndactyly
