orphanet_code	orphanet_term	orphanet_gene_id	gene_orphanumber	gene_name	gene_type	gene_symbol	dga_type	dga_status
DOID:11727	Facioscapulohumeral dystrophy	25108	476816	double homeobox 4	gene with protein product	DUX4	Candidate gene tested in	Not yet assessed
DOID:12934	Kearns-Sayre syndrome	16841	138895	mitochondrially encoded tRNA leucine 1 (UUA/G)	Non-coding RNA	MT-TL1	Candidate gene tested in	Not yet assessed
DOID:12934	Kearns-Sayre syndrome	17396	159773	mitochondrially encoded ATP synthase 8	gene with protein product	MT-ATP8	Candidate gene tested in	Not yet assessed
DOID:12934	Kearns-Sayre syndrome	17734	168101	ribonucleotide reductase regulatory TP53 inducible subunit M2B	gene with protein product	RRM2B	Disease-causing germline mutation(s) in	Assessed
DOID:310	MERRF	16483	123562	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	gene with protein product	MT-ND5	Disease-causing germline mutation(s) in	Assessed
DOID:310	MERRF	16841	138895	mitochondrially encoded tRNA leucine 1 (UUA/G)	Non-coding RNA	MT-TL1	Disease-causing germline mutation(s) in	Assessed
DOID:310	MERRF	16842	138900	mitochondrially encoded tRNA lysine	Non-coding RNA	MT-TK	Disease-causing germline mutation(s) in	Assessed
DOID:310	MERRF	16843	138902	mitochondrially encoded 12S RNA	Non-coding RNA	MT-RNR1	Candidate gene tested in	Not yet assessed
DOID:310	MERRF	16844	138906	mitochondrially encoded tRNA glutamine	Non-coding RNA	MT-TQ	Candidate gene tested in	Not yet assessed
DOID:310	MERRF	17671	166766	mitochondrially encoded tRNA histidine	Non-coding RNA	MT-TH	Disease-causing germline mutation(s) in	Assessed
DOID:310	MERRF	17722	167901	mitochondrially encoded tRNA serine 1 (UCN)	Non-coding RNA	MT-TS1	Disease-causing germline mutation(s) in	Assessed
DOID:310	MERRF	17723	167905	mitochondrially encoded tRNA serine 2 (AGU/C)	Non-coding RNA	MT-TS2	Candidate gene tested in	Not yet assessed
DOID:310	MERRF	17724	167909	mitochondrially encoded tRNA phenylalanine	Non-coding RNA	MT-TF	Disease-causing germline mutation(s) in	Assessed
DOID:310	MERRF	18493	205934	mitochondrially encoded tRNA proline	Non-coding RNA	MT-TP	Disease-causing germline mutation(s) in	Assessed
DOID:3529	Central core disease	15237	118437	ryanodine receptor 1	gene with protein product	RYR1	Disease-causing germline mutation(s) in	Assessed
DOID:4398	Pustulosis palmaris et plantaris	20543	281457	interleukin 36 receptor antagonist	gene with protein product	IL36RN	Disease-causing germline mutation(s) in	Assessed
DOID:4398	Pustulosis palmaris et plantaris	22886	402648	adaptor related protein complex 1 sigma 3 subunit	gene with protein product	AP1S3	Disease-causing germline mutation(s) in	Assessed
DOID:11722	Steinert myotonic dystrophy	15878	121131	dystrophia myotonica protein kinase	gene with protein product	DMPK	Disease-causing germline mutation(s) in	Assessed
DOID:0060807	X-linked intellectual disability, Najm type	17592	165976	calcium/calmodulin dependent serine protein kinase	gene with protein product	CASK	Disease-causing germline mutation(s) in	Assessed
DOID:2106	Thomsen and Becker disease	15457	119447	chloride voltage-gated channel 1	gene with protein product	CLCN1	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:0060820	X-linked intellectual disability, Nascimento type	17261	159080	ubiquitin conjugating enzyme E2 A	gene with protein product	UBE2A	Disease-causing germline mutation(s) in	Assessed
DOID:14499	Fabry disease	16135	122153	galactosidase alpha	gene with protein product	GLA	Disease-causing germline mutation(s) in	Assessed
DOID:1206	Rett syndrome	16388	123186	methyl-CpG binding protein 2	gene with protein product	MECP2	Disease-causing germline mutation(s) in	Assessed
DOID:4890	Juvenile myoclonic epilepsy	15396	119168	calcium voltage-gated channel auxiliary subunit beta 4	gene with protein product	CACNB4	Disease-causing germline mutation(s) in	Assessed
DOID:4890	Juvenile myoclonic epilepsy	15915	121303	EF-hand domain containing 1	gene with protein product	EFHC1	Major susceptibility factor in	Assessed
DOID:4890	Juvenile myoclonic epilepsy	16089	121989	gamma-aminobutyric acid type A receptor alpha1 subunit	gene with protein product	GABRA1	Disease-causing germline mutation(s) in	Assessed
DOID:4890	Juvenile myoclonic epilepsy	16090	121991	gamma-aminobutyric acid type A receptor delta subunit	gene with protein product	GABRD	Major susceptibility factor in	Assessed
DOID:4890	Juvenile myoclonic epilepsy	16297	122817	potassium voltage-gated channel subfamily Q member 3	gene with protein product	KCNQ3	Major susceptibility factor in	Assessed
DOID:4890	Juvenile myoclonic epilepsy	17745	168319	Jrk helix-turn-helix protein	gene with protein product	JRK	Candidate gene tested in	Not yet assessed
DOID:4890	Juvenile myoclonic epilepsy	19025	226047	chloride voltage-gated channel 2	gene with protein product	CLCN2	Major susceptibility factor in	Assessed
DOID:0060172	Juvenile absence epilepsy	15915	121303	EF-hand domain containing 1	gene with protein product	EFHC1	Major susceptibility factor in	Assessed
DOID:14175	Von Hippel-Lindau disease	15708	120467	von Hippel-Lindau tumor suppressor	gene with protein product	VHL	Disease-causing germline mutation(s) in	Assessed
DOID:0050628	Familial advanced sleep-phase syndrome	17580	165845	casein kinase 1 delta	gene with protein product	CSNK1D	Disease-causing germline mutation(s) in	Assessed
DOID:0050628	Familial advanced sleep-phase syndrome	17718	167886	period circadian clock 2	gene with protein product	PER2	Disease-causing germline mutation(s) in	Assessed
DOID:0050628	Familial advanced sleep-phase syndrome	23682	456799	period circadian clock 3	gene with protein product	PER3	Disease-causing germline mutation(s) in	Assessed
DOID:0110861	Autosomal recessive polycystic kidney disease	15100	117853	polycystic kidney and hepatic disease 1 (autosomal recessive)	gene with protein product	PKHD1	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:0050834	CHARGE syndrome	15269	118590	semaphorin 3E	gene with protein product	SEMA3E	Candidate gene tested in	Not yet assessed
DOID:0050834	CHARGE syndrome	15443	119389	chromodomain helicase DNA binding protein 7	gene with protein product	CHD7	Disease-causing germline mutation(s) in	Assessed
DOID:12704	Ataxia-telangiectasia	15962	121474	ATM serine/threonine kinase	gene with protein product	ATM	Disease-causing germline mutation(s) in	Assessed
DOID:12858	Huntington disease	16190	122387	huntingtin	gene with protein product	HTT	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:12858	Huntington disease	22960	406394	solute carrier family 2 member 3	gene with protein product	SLC2A3	Modifying germline mutation in	Assessed
DOID:3534	Lafora disease	15986	121577	EPM2A, laforin glucan phosphatase	gene with protein product	EPM2A	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:3534	Lafora disease	16545	123779	NHL repeat containing E3 ubiquitin protein ligase 1	gene with protein product	NHLRC1	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:10923	Sickle cell anemia	16186	122376	hemoglobin subunit beta	gene with protein product	HBB	Disease-causing germline mutation(s) in	Assessed
DOID:1056	Oculocerebrorenal syndrome of Lowe	16585	123978	OCRL, inositol polyphosphate-5-phosphatase	gene with protein product	OCRL	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:10017	Multiple endocrine neoplasia type 1	16390	123196	menin 1	gene with protein product	MEN1	Disease-causing germline mutation(s) in	Assessed
DOID:10017	Multiple endocrine neoplasia type 1	18426	200995	cyclin dependent kinase inhibitor 1B	gene with protein product	CDKN1B	Candidate gene tested in	Not yet assessed
DOID:10017	Multiple endocrine neoplasia type 1	20849	293293	cyclin dependent kinase inhibitor 1A	gene with protein product	CDKN1A	Candidate gene tested in	Not yet assessed
DOID:10017	Multiple endocrine neoplasia type 1	20850	293303	cyclin dependent kinase inhibitor 2B	gene with protein product	CDKN2B	Candidate gene tested in	Not yet assessed
DOID:10017	Multiple endocrine neoplasia type 1	20851	293311	cyclin dependent kinase inhibitor 2C	gene with protein product	CDKN2C	Candidate gene tested in	Not yet assessed
DOID:14261	Fragile X syndrome	16063	121878	fragile X mental retardation 1	gene with protein product	FMR1	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:14179	X-linked agammaglobulinemia	15383	119094	Bruton tyrosine kinase	gene with protein product	BTK	Disease-causing germline mutation(s) in	Assessed
DOID:893	Wilson disease	15330	118882	ATPase copper transporting beta	gene with protein product	ATP7B	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:0060763	X-linked retinoschisis	15232	118411	retinoschisin 1	gene with protein product	RS1	Disease-causing germline mutation(s) in	Assessed
DOID:0050817	Stargardt disease	15050	117623	ATP binding cassette subfamily A member 4	gene with protein product	ABCA4	Disease-causing germline mutation(s) in	Assessed
DOID:0050817	Stargardt disease	15152	118070	peripherin 2	gene with protein product	PRPH2	Candidate gene tested in	Not yet assessed
DOID:0050817	Stargardt disease	15759	120678	cyclic nucleotide gated channel beta 3	gene with protein product	CNGB3	Candidate gene tested in	Not yet assessed
DOID:0050817	Stargardt disease	15972	121522	ELOVL fatty acid elongase 4	gene with protein product	ELOVL4	Disease-causing germline mutation(s) in	Assessed
DOID:0050817	Stargardt disease	17406	159821	prominin 1	gene with protein product	PROM1	Disease-causing germline mutation(s) in	Assessed
DOID:9169	Wiskott-Aldrich syndrome	15715	120490	Wiskott-Aldrich syndrome (Gen)	gene with protein product	WAS	Disease-causing germline mutation(s) in	Assessed
DOID:9169	Wiskott-Aldrich syndrome	20821	292448	WAS/WASL interacting protein family member 1	gene with protein product	WIPF1	Disease-causing germline mutation(s) in	Assessed
DOID:1928	Williams syndrome	15201	118283	replication factor C subunit 2	gene with protein product	RFC2	Role in the phenotype of	Assessed
DOID:1928	Williams syndrome	15351	118970	bromodomain adjacent to zinc finger domain 1B	gene with protein product	BAZ1B	Role in the phenotype of	Assessed
DOID:1928	Williams syndrome	15582	119944	transducin beta like 2	gene with protein product	TBL2	Candidate gene tested in	Not yet assessed
DOID:1928	Williams syndrome	15750	120630	CAP-Gly domain containing linker protein 2	gene with protein product	CLIP2	Role in the phenotype of	Assessed
DOID:1928	Williams syndrome	15971	121517	elastin	gene with protein product	ELN	Role in the phenotype of	Assessed
DOID:1928	Williams syndrome	16174	122310	general transcription factor IIi	gene with protein product	GTF2I	Role in the phenotype of	Assessed
DOID:1928	Williams syndrome	16175	122319	GTF2I repeat domain containing 1	gene with protein product	GTF2IRD1	Role in the phenotype of	Assessed
DOID:1928	Williams syndrome	16358	123060	LIM domain kinase 1	gene with protein product	LIMK1	Role in the phenotype of	Assessed
DOID:0050460	Wolf-Hirschhorn syndrome	15722	120521	nuclear receptor binding SET domain protein 2	gene with protein product	NSD2	Role in the phenotype of	Assessed
DOID:0050460	Wolf-Hirschhorn syndrome	15723	120525	negative elongation factor complex member A	gene with protein product	NELFA	Candidate gene tested in	Not yet assessed
DOID:0050460	Wolf-Hirschhorn syndrome	20853	293326	leucine zipper and EF-hand containing transmembrane protein 1	gene with protein product	LETM1	Role in the phenotype of	Assessed
DOID:4480	Achondroplasia	16047	121815	fibroblast growth factor receptor 3	gene with protein product	FGFR3	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:0090028	Ataxia with vitamin E deficiency	15673	120334	alpha tocopherol transfer protein	gene with protein product	TTPA	Disease-causing germline mutation(s) in	Assessed
DOID:0060162	Dentatorubral pallidoluysian atrophy	15963	121482	atrophin 1	gene with protein product	ATN1	Disease-causing germline mutation(s) in	Assessed
DOID:0060013	T-B+ severe combined immunodeficiency due to gamma chain deficiency	16257	122641	interleukin 2 receptor subunit gamma	gene with protein product	IL2RG	Disease-causing germline mutation(s) in	Assessed
DOID:0060161	Kennedy disease	16667	132285	androgen receptor	gene with protein product	AR	Disease-causing germline mutation(s) in	Assessed
DOID:9271	Ornithine transcarbamylase deficiency	16597	124033	ornithine carbamoyltransferase	gene with protein product	OTC	Disease-causing germline mutation(s) in	Assessed
DOID:0050470	Leprechaunism	16263	122664	insulin receptor	gene with protein product	INSR	Disease-causing germline mutation(s) in	Assessed
DOID:0080041	Hypochondroplasia	16047	121815	fibroblast growth factor receptor 3	gene with protein product	FGFR3	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16470	123508	mitochondrially encoded ATP synthase 6	gene with protein product	MT-ATP6	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16471	123512	mitochondrially encoded cytochrome c oxidase I	gene with protein product	MT-CO1	Candidate gene tested in	Not yet assessed
DOID:705	Leber hereditary optic neuropathy	16473	123520	mitochondrially encoded cytochrome c oxidase III	gene with protein product	MT-CO3	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16474	123524	mitochondrially encoded cytochrome b	gene with protein product	MT-CYB	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16478	123537	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	gene with protein product	MT-ND1	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16479	123542	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	gene with protein product	MT-ND2	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16481	123552	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	gene with protein product	MT-ND4	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16482	123557	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	gene with protein product	MT-ND4L	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16483	123562	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	gene with protein product	MT-ND5	Disease-causing germline mutation(s) in	Assessed
DOID:705	Leber hereditary optic neuropathy	16484	123567	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	gene with protein product	MT-ND6	Disease-causing germline mutation(s) in	Assessed
DOID:0060221	Maffucci syndrome	19506	247145	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	gene with protein product	IDH2	Disease-causing somatic mutation(s) in	Assessed
DOID:0060221	Maffucci syndrome	21083	299152	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	gene with protein product	IDH1	Disease-causing somatic mutation(s) in	Assessed
DOID:0060844	Norrie disease	16523	123713	NDP, norrin cystine knot growth factor	gene with protein product	NDP	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:3265	Chronic granulomatous disease	15831	120935	cytochrome b-245 beta chain	gene with protein product	CYBB	Disease-causing germline mutation(s) in	Assessed
DOID:3265	Chronic granulomatous disease	16519	123695	neutrophil cytosolic factor 1	gene with protein product	NCF1	Disease-causing germline mutation(s) in	Assessed
DOID:3265	Chronic granulomatous disease	16520	123701	neutrophil cytosolic factor 2	gene with protein product	NCF2	Disease-causing germline mutation(s) in	Assessed
DOID:3265	Chronic granulomatous disease	16827	138719	cytochrome b-245 alpha chain	gene with protein product	CYBA	Disease-causing germline mutation(s) in	Assessed
DOID:3265	Chronic granulomatous disease	18486	204415	neutrophil cytosolic factor 4	gene with protein product	NCF4	Disease-causing germline mutation(s) in	Assessed
DOID:4239	Alveolar soft-tissue sarcoma	15603	120036	transcription factor binding to IGHM enhancer 3	gene with protein product	TFE3	Part of a fusion gene in	Assessed
DOID:4239	Alveolar soft-tissue sarcoma	17758	168413	ASPSCR1, UBX domain containing tether for SLC2A4	gene with protein product	ASPSCR1	Part of a fusion gene in	Assessed
DOID:0060858	Hypotonia-cystinuria syndrome	16449	123426	solute carrier family 3 member 1	gene with protein product	SLC3A1	Role in the phenotype of	Assessed
DOID:0060858	Hypotonia-cystinuria syndrome	17586	165929	prolyl endopeptidase-like	gene with protein product	PREPL	Role in the phenotype of	Assessed
DOID:13374	Fibrodysplasia ossificans progressiva	15078	117759	activin A receptor type 1	gene with protein product	ACVR1	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:2512	Gorlin syndrome	15164	118121	patched 1	gene with protein product	PTCH1	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:2512	Gorlin syndrome	15165	118126	patched 2	gene with protein product	PTCH2	Candidate gene tested in	Not yet assessed
DOID:2512	Gorlin syndrome	15569	119896	SUFU negative regulator of hedgehog signaling	gene with protein product	SUFU	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:3490	Noonan syndrome	15170	118143	protein tyrosine phosphatase, non-receptor type 11	gene with protein product	PTPN11	Disease-causing germline mutation(s) in	Assessed
DOID:3490	Noonan syndrome	15376	119066	B-Raf proto-oncogene, serine/threonine kinase	gene with protein product	BRAF	Disease-causing germline mutation(s) in	Assessed
DOID:3490	Noonan syndrome	15537	119781	SOS Ras/Rac guanine nucleotide exchange factor 1	gene with protein product	SOS1	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:3490	Noonan syndrome	16312	122879	KRAS proto-oncogene, GTPase	gene with protein product	KRAS	Disease-causing germline mutation(s) in	Assessed
DOID:3490	Noonan syndrome	16828	138722	Raf-1 proto-oncogene, serine/threonine kinase	gene with protein product	RAF1	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:3490	Noonan syndrome	18962	221346	neuroblastoma RAS viral oncogene homolog	gene with protein product	NRAS	Disease-causing germline mutation(s) in	Assessed
DOID:3490	Noonan syndrome	20645	285156	lysine acetyltransferase 6B	gene with protein product	KAT6B	Disease-causing germline mutation(s) in	Assessed
DOID:3490	Noonan syndrome	22243	358630	Ras like without CAAX 1	gene with protein product	RIT1	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:3490	Noonan syndrome	22431	369810	leucine zipper like transcription regulator 1	gene with protein product	LZTR1	Disease-causing germline mutation(s) in	Assessed
DOID:3490	Noonan syndrome	22997	410627	alpha-2-macroglobulin like 1	gene with protein product	A2ML1	Disease-causing germline mutation(s) in	Assessed
DOID:3490	Noonan syndrome	23010	411370	RAS p21 protein activator 2	gene with protein product	RASA2	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:3490	Noonan syndrome	23280	434401	SOS Ras/Rho guanine nucleotide exchange factor 2	gene with protein product	SOS2	Disease-causing germline mutation(s) in	Assessed
DOID:12580	Monosomy 5p	17200	158394	semaphorin 5A	gene with protein product	SEMA5A	Candidate gene tested in	Not yet assessed
DOID:12580	Monosomy 5p	17342	159484	catenin delta 2	gene with protein product	CTNND2	Role in the phenotype of	Assessed
DOID:1919	Lesch-Nyhan syndrome	16214	122476	hypoxanthine phosphoribosyltransferase 1	gene with protein product	HPRT1	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:3012	Li-Fraumeni syndrome	15444	119394	checkpoint kinase 2	gene with protein product	CHEK2	Candidate gene tested in	Not yet assessed
DOID:3012	Li-Fraumeni syndrome	15644	120204	tumor protein p53	gene with protein product	TP53	Disease-causing germline mutation(s) in	Assessed
DOID:3012	Li-Fraumeni syndrome	21735	321350	MDM2 proto-oncogene	gene with protein product	MDM2	Modifying germline mutation in	Assessed
DOID:0060843	Hereditary neuropathy with liability to pressure palsies	15114	117908	peripheral myelin protein 22	gene with protein product	PMP22	Disease-causing germline mutation(s) in	Assessed
DOID:0060843	Hereditary neuropathy with liability to pressure palsies	15114	117908	peripheral myelin protein 22	gene with protein product	PMP22	Role in the phenotype of	Assessed
DOID:13372	Alpha-1-antitrypsin deficiency	15271	118602	serpin family A member 1	gene with protein product	SERPINA1	Disease-causing germline mutation(s) in	Assessed
DOID:0050887	Townes-Brocks syndrome	15241	118451	spalt like transcription factor 1	gene with protein product	SALL1	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:14451	Hyperkalemic periodic paralysis	15253	118507	sodium voltage-gated channel alpha subunit 4	gene with protein product	SCN4A	Disease-causing germline mutation(s) (gain of function) in	Assessed
DOID:0090005	Schwartz-Jampel syndrome	16234	122547	heparan sulfate proteoglycan 2	gene with protein product	HSPG2	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:14687	Diastrophic dwarfism	15315	118813	solute carrier family 26 member 2	gene with protein product	SLC26A2	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:14452	Hypokalemic periodic paralysis	15253	118507	sodium voltage-gated channel alpha subunit 4	gene with protein product	SCN4A	Disease-causing germline mutation(s) in	Assessed
DOID:14452	Hypokalemic periodic paralysis	15394	119157	calcium voltage-gated channel subunit alpha1 S	gene with protein product	CACNA1S	Disease-causing germline mutation(s) in	Assessed
DOID:14452	Hypokalemic periodic paralysis	16289	122773	potassium voltage-gated channel subfamily E regulatory subunit 3	gene with protein product	KCNE3	Candidate gene tested in	Not yet assessed
DOID:14702	BOR syndrome	15295	118723	SIX homeobox 1	gene with protein product	SIX1	Disease-causing germline mutation(s) in	Assessed
DOID:14702	BOR syndrome	16006	121651	EYA transcriptional coactivator and phosphatase 1	gene with protein product	EYA1	Disease-causing germline mutation(s) in	Assessed
DOID:14702	BOR syndrome	16793	138472	SIX homeobox 5	gene with protein product	SIX5	Disease-causing germline mutation(s) in	Assessed
DOID:1270	Hereditary hemorrhagic telangiectasia	15079	117764	activin A receptor like type 1	gene with protein product	ACVRL1	Disease-causing germline mutation(s) in	Assessed
DOID:1270	Hereditary hemorrhagic telangiectasia	15524	119727	SMAD family member 4	gene with protein product	SMAD4	Disease-causing germline mutation(s) in	Assessed
DOID:1270	Hereditary hemorrhagic telangiectasia	15977	121536	endoglin	gene with protein product	ENG	Disease-causing germline mutation(s) in	Assessed
DOID:1270	Hereditary hemorrhagic telangiectasia	22383	364602	growth differentiation factor 2	gene with protein product	GDF2	Disease-causing germline mutation(s) in	Assessed
DOID:14768	Saethre-Chotzen syndrome	15676	120345	twist family bHLH transcription factor 1	gene with protein product	TWIST1	Disease-causing germline mutation(s) (loss of function) in	Assessed
