hp_code	hp_term	mesh_code
HP:0006970	Periventricular leukomalacia	MESH:D007969
HP:0009926	Increased lacrimation	MESH:D007766
HP:0002040	Esophageal varix	MESH:D004932
HP:0012246	Oculomotor nerve palsy	MESH:D015840
HP:0004789	Lactose intolerance	MESH:D007787
HP:0007868	Age-related macular degeneration	MESH:D008268
HP:0002896	Neoplasm of the liver	MESH:D008113
HP:0004496	Posterior choanal atresia	MESH:C562435
HP:0003474	Sensory impairment	MESH:D006987
HP:0003118	Increased circulating cortisol level	MESH:D000308
HP:0010543	Opsoclonus	MESH:D015835
HP:0000131	Uterine leiomyoma	MESH:D007889
HP:0001634	Mitral valve prolapse	MESH:D008945
HP:0003419	Low back pain	MESH:D017116
HP:0001397	Hepatic steatosis	MESH:D005234
HP:0200008	Intestinal polyposis	MESH:D044483
HP:0001047	Atopic dermatitis	MESH:D003876
HP:0002444	Hypothalamic hamartoma	MESH:C537158
HP:0004953	Abdominal aortic aneurysm	MESH:D017544
HP:0100829	Galactorrhea	MESH:D005687
HP:0002186	Apraxia	MESH:D001072
HP:0002383	Encephalitis	MESH:D004660
HP:0000647	Sclerocornea	MESH:C565209
HP:0008751	Laryngeal cleft	MESH:C537875
HP:0000789	Infertility	MESH:D007246
HP:0001790	Nonimmune hydrops fetalis	MESH:D015160
HP:0002612	Congenital hepatic fibrosis	MESH:C562378
HP:0100528	Pleuropulmonary blastoma	MESH:C537516
HP:0006530	Interstitial pulmonary abnormality	MESH:D017563
HP:0100757	Pancreatoblastoma	MESH:C537162
HP:0001841	Preaxial foot polydactyly	MESH:C566632
HP:0100546	Carotid artery stenosis	MESH:D016893
HP:0002582	Chronic atrophic gastritis	MESH:D005757
HP:0001883	Talipes	MESH:D000070558
HP:0001677	Coronary artery disease	MESH:D003324
HP:0000552	Tritanomaly	MESH:D003117
HP:0003535	3-Methylglutaconic aciduria	MESH:C579867
HP:0003159	Hyperoxaluria	MESH:D006959
HP:0002804	Arthrogryposis multiplex congenita	MESH:D001176
HP:0001045	Vitiligo	MESH:D014820
HP:0004380	Aortic valve calcification	MESH:C562942
HP:0002078	Truncal ataxia	MESH:D001259
HP:0004810	Congenital hypoplastic anemia	MESH:D029503
HP:0004810	Congenital hypoplastic anemia	MESH:D000742
HP:0005549	Congenital neutropenia	MESH:C537592
HP:0007435	Diffuse palmoplantar keratoderma	MESH:D015776
HP:0007902	Vitreous hemorrhage	MESH:D014823
HP:0012114	Endometrial carcinoma	MESH:D016889
HP:0010797	Hemangioblastoma	MESH:D018325
HP:0100248	Hemiballismus	MESH:D020820
HP:0000121	Nephrocalcinosis	MESH:D009397
HP:0007410	Palmoplantar hyperhidrosis	MESH:C563185
HP:0006515	Interstitial pneumonitis	MESH:D017563
HP:0011172	Complex febrile seizures	MESH:D003294
HP:0002861	Melanoma	MESH:D008545
HP:0002092	Pulmonary arterial hypertension	MESH:D006976
HP:0002092	Pulmonary arterial hypertension	MESH:D065627
HP:0006770	Clear cell renal cell carcinoma	MESH:D002292
HP:0005521	Disseminated intravascular coagulation	MESH:D004211
HP:0003077	Hyperlipidemia	MESH:D006949
HP:0030666	Retinal neovascularization	MESH:D015861
HP:0030169	Gastric varix	MESH:D004932
HP:0030153	Cholangiocarcinoma	MESH:D018281
HP:0008843	Hip osteoarthritis	MESH:D015207
HP:0010280	Stomatitis	MESH:D013280
HP:0001310	Dysmetria	MESH:D002524
HP:0012570	Synovial sarcoma	MESH:D013584
HP:0200022	Choroid plexus papilloma	MESH:D020288
HP:0000243	Trigonocephaly	MESH:D003398
HP:0002144	Tethered cord	MESH:D009436
HP:0003250	Aplasia of the vagina	MESH:C536523
HP:0001128	Trichiasis	MESH:D058457
HP:0100822	Rectocele	MESH:D020047
HP:0001450	Y-linked inheritance	MESH:D050173
HP:0012798	Pulmonary lymphangiomyomatosis	MESH:D018192
HP:0005627	Type D brachydactyly	MESH:C562420
HP:0100603	Toxemia of pregnancy	MESH:D011225
HP:0005186	Synovial hypertrophy	MESH:D013585
HP:0004904	Maturity-onset diabetes of the young	MESH:C562772
HP:0002098	Respiratory distress	MESH:D004417
HP:0000966	Hypohidrosis	MESH:D007007
HP:0030066	Ependymoblastoma	MESH:D018242
HP:0011123	Inflammatory abnormality of the skin	MESH:D003872
HP:0000678	Dental crowding	MESH:D008310
HP:0010920	Zonular cataract	MESH:C535342
HP:0002865	Medullary thyroid carcinoma	MESH:C536914
HP:0000479	Abnormality of the retina	MESH:D012164
HP:0002524	Cataplexy	MESH:D002385
HP:0100513	Vitamin E deficiency	MESH:D014811
HP:0012050	Anasarca	MESH:D004487
HP:0100516	Neoplasm of the ureter	MESH:D014516
HP:0002143	Abnormality of the spinal cord	MESH:D013118
HP:0002411	Myokymia	MESH:D020385
HP:0002445	Tetraplegia	MESH:D011782
HP:0007018	Attention deficit hyperactivity disorder	MESH:D001289
HP:0006818	Type I lissencephaly	MESH:D054221
HP:0006297	Hypoplasia of dental enamel	MESH:D003744
HP:0012328	Cementoma	MESH:D002485
HP:0012531	Pain	MESH:D010146
HP:0009775	Amniotic constriction ring	MESH:C535821
HP:0009775	Amniotic constriction ring	MESH:D000652
HP:0003777	Pili torti	MESH:C562485
HP:0001252	Muscular hypotonia	MESH:D009123
HP:0010459	True hermaphroditism	MESH:D050090
HP:0001671	Abnormality of the cardiac septa	MESH:D006343
HP:0003256	Abnormality of the coagulation cascade	MESH:D001778
HP:0003401	Paresthesia	MESH:D010292
HP:0001166	Arachnodactyly	MESH:D054119
HP:0001513	Obesity	MESH:D009765
HP:0002860	Squamous cell carcinoma	MESH:D018307
HP:0002860	Squamous cell carcinoma	MESH:D002294
HP:0011854	Hemoperitoneum	MESH:D006465
HP:0008480	Cervical spondylosis	MESH:D055009
HP:0002123	Generalized myoclonic seizures	MESH:D004831
HP:0002123	Generalized myoclonic seizures	MESH:D020191
HP:0005575	Hemolytic-uremic syndrome	MESH:D006463
HP:0010525	Finger agnosia	MESH:D000377
HP:0011099	Spastic hemiparesis	MESH:D006429
HP:0000034	Hydrocele testis	MESH:D006848
HP:0012777	Retinal neoplasm	MESH:D019572
HP:0004919	Galactose intolerance	MESH:D005693
HP:0005152	Oncocytic cardiomyopathy	MESH:C535584
HP:0004820	Acute myelomonocytic leukemia	MESH:D015479
HP:0012281	Chylous ascites	MESH:D002915
HP:0011504	Bull&apos;s eye maculopathy	MESH:C537833
HP:0002930	Thyroid hormone receptor defect	MESH:D018382
HP:0007559	Localized epidermolytic hyperkeratosis	MESH:D053546
HP:0000365	Hearing impairment	MESH:D034381
HP:0000365	Hearing impairment	MESH:D003638
HP:0011945	Bronchiolitis obliterans organizing pneumonia	MESH:D018549
HP:0000793	Membranoproliferative glomerulonephritis	MESH:D015432
HP:0001701	Pericarditis	MESH:D010493
HP:0012539	Non-Hodgkin lymphoma	MESH:D008228
HP:0000852	Pseudohypoparathyroidism	MESH:D011547
HP:0000097	Focal segmental glomerulosclerosis	MESH:D005923
HP:0005988	Congenital muscular torticollis	MESH:C535425
HP:0000580	Pigmentary retinopathy	MESH:D012174
HP:0000951	Abnormality of the skin	MESH:D012871
HP:0000951	Abnormality of the skin	MESH:D012868
HP:0001947	Renal tubular acidosis	MESH:D000141
HP:0009064	Generalized lipodystrophy	MESH:D052497
HP:0012044	Seesaw nystagmus	MESH:D009759
HP:0003570	Molybdenum cofactor deficiency	MESH:C535811
HP:0002170	Intracranial hemorrhage	MESH:D020300
HP:0001304	Torsion dystonia	MESH:D004422
HP:0011704	Sick sinus syndrome	MESH:D012804
HP:0100695	Lipedema	MESH:D065134
HP:0010821	Gelastic seizures	MESH:D004828
HP:0011094	Overbite	MESH:D057887
HP:0001660	Truncus arteriosus	MESH:D014338
HP:0009118	Aplasia/Hypoplasia of the mandible	MESH:D063173
HP:0200040	Epidermal cyst	MESH:D004814
HP:0100716	Self-injurious behavior	MESH:D016728
HP:0012085	Pyuria	MESH:D011776
HP:0001705	Right ventricular outlet obstruction	MESH:D014694
HP:0011157	Auras	MESH:D004827
HP:0001873	Thrombocytopenia	MESH:D013921
HP:0030065	Primitive neuroectodermal tumor	MESH:D018242
HP:0004423	Cranium bifidum occultum	MESH:C566826
HP:0001788	Premature rupture of membranes	MESH:D005322
HP:0002578	Gastroparesis	MESH:D018589
HP:0030869	Anorchism	MESH:C537770
HP:0006516	Hypersensitivity pneumonitis	MESH:D000542
HP:0030079	Cervix cancer	MESH:D002583
HP:0002633	Vasculitis	MESH:D014657
HP:0002410	Aqueductal stenosis	MESH:D006849
HP:0012051	Reactive hypoglycemia	MESH:D007003
HP:0000037	Male pseudohermaphroditism	MESH:D058490
HP:0004324	Increased body weight	MESH:D015430
HP:0001651	Dextrocardia	MESH:D003914
HP:0002516	Increased intracranial pressure	MESH:D019586
HP:0100963	Hyperesthesia	MESH:D006941
HP:0000204	Cleft upper lip	MESH:D002971
HP:0000023	Inguinal hernia	MESH:D006552
HP:0002121	Absence seizures	MESH:D004832
HP:0001302	Pachygyria	MESH:D054082
HP:0011079	Impacted tooth	MESH:D014095
HP:0005701	Multiple enchondromatosis	MESH:D004687
HP:0001071	Angiokeratoma corporis diffusum	MESH:D000795
HP:0001649	Tachycardia	MESH:D013610
HP:0003376	Steppage gait	MESH:D020233
HP:0100022	Abnormality of movement	MESH:D009069
HP:0012309	Cutaneous amyloidosis	MESH:C562642
HP:0004839	Pyropoikilocytosis	MESH:C563004
HP:0200042	Skin ulcer	MESH:D012883
HP:0004375	Neoplasm of the nervous system	MESH:D009423
HP:0030410	Sebaceous gland carcinoma	MESH:D018266
HP:0008765	Auditory hallucinations	MESH:D006212
HP:0030072	Paranasal sinus neoplasm	MESH:D010255
HP:0100280	Crohn&apos;s disease	MESH:D003424
HP:0000225	Gingival bleeding	MESH:D005884
HP:0000741	Apathy	MESH:D057565
HP:0003040	Arthropathy	MESH:D007592
HP:0010882	Pulmonary valve atresia	MESH:D018633
HP:0005850	Congenital talipes calcaneovalgus	MESH:D005413
HP:0100246	Osteoma	MESH:D010016
HP:0100495	Mastocytosis	MESH:D008415
HP:0001635	Congestive heart failure	MESH:D006333
HP:0000486	Strabismus	MESH:D013285
HP:0001928	Abnormality of coagulation	MESH:D001778
HP:0001928	Abnormality of coagulation	MESH:D006474
HP:0001410	Decreased liver function	MESH:D008107
HP:0001425	Heterogeneous	MESH:D018740
HP:0010527	Astereognosia	MESH:D000377
HP:0002185	Neurofibrillary tangles	MESH:D016874
HP:0002608	Celiac disease	MESH:D002446
HP:0000491	Keratitis	MESH:D007634
HP:0006785	Limb-girdle muscular dystrophy	MESH:D049288
HP:0001155	Abnormality of the hand	MESH:D006226
HP:0000217	Xerostomia	MESH:D014987
HP:0000738	Hallucinations	MESH:D006212
HP:0000689	Dental malocclusion	MESH:D008310
HP:0001334	Communicating hydrocephalus	MESH:D006849
HP:0000823	Delayed puberty	MESH:D011628
HP:0002910	Elevated hepatic transaminases	MESH:D008107
HP:0008213	Gonadotropin deficiency	MESH:D007006
HP:0000835	Adrenal hypoplasia	MESH:C538429
HP:0001878	Hemolytic anemia	MESH:D000743
HP:0002204	Pulmonary embolism	MESH:D011655
HP:0002013	Vomiting	MESH:D014839
HP:0005978	Type II diabetes mellitus	MESH:D003924
HP:0001355	Megalencephaly	MESH:D058627
HP:0001036	Parakeratosis	MESH:D010241
HP:0004855	Reduced protein S activity	MESH:D018455
HP:0012124	Intermediate uveitis	MESH:D015867
HP:0012390	Anal fissure	MESH:D005401
HP:0011499	Mydriasis	MESH:D015878
HP:0009920	Nevus of Ota	MESH:D009507
HP:0004433	Secretory IgA deficiency	MESH:C562869
HP:0011665	Takotsubo cardiomyopathy	MESH:D054549
HP:0025004	Hallux rigidus	MESH:D020859
HP:0100034	Motor tics	MESH:D020323
HP:0002451	Limb dystonia	MESH:D004421
HP:0001321	Cerebellar hypoplasia	MESH:C562568
HP:0000509	Conjunctivitis	MESH:D003231
HP:0005086	Knee osteoarthritis	MESH:D020370
HP:0011887	Choroid hemorrhage	MESH:D002832
HP:0001733	Pancreatitis	MESH:D010195
HP:0006780	Parathyroid carcinoma	MESH:D010282
HP:0004443	Lambdoidal craniosynostosis	MESH:D003398
HP:0002757	Recurrent fractures	MESH:D000069076
HP:0000407	Sensorineural hearing impairment	MESH:D006319
HP:0030707	Unilateral lung agenesis	MESH:C562992
HP:0002669	Osteosarcoma	MESH:D012516
HP:0012768	Neonatal asphyxia	MESH:D001238
HP:0002243	Protein-losing enteropathy	MESH:D011504
HP:0012410	Pure red cell aplasia	MESH:D012010
HP:0001519	Disproportionate tall stature	MESH:D054119
HP:0000976	Eczematoid dermatitis	MESH:D004485
HP:0030424	Epididymal cyst	MESH:D013088
HP:0000062	Ambiguous genitalia	MESH:D012734
HP:0011369	Mongolian blue spot	MESH:D049328
HP:0005696	Postaxial polydactyly type A	MESH:C562429
HP:0006733	Acute megakaryocytic leukemia	MESH:D015470
HP:0000076	Vesicoureteral reflux	MESH:D014718
HP:0003789	Minicore myopathy	MESH:C564969
HP:0000164	Abnormality of the teeth	MESH:D014071
HP:0000619	Impaired convergence	MESH:D015835
HP:0001426	Multifactorial inheritance	MESH:D020412
HP:0001597	Abnormality of the nail	MESH:D009260
HP:0001597	Abnormality of the nail	MESH:D009264
HP:0100604	Neoplasm of the lip	MESH:D008048
HP:0011920	Transudative pleural effusion	MESH:D006876
HP:0001324	Muscle weakness	MESH:D018908
HP:0010689	Mirror image polydactyly	MESH:C535689
HP:0007401	Macular atrophy	MESH:D057088
HP:0100242	Sarcoma	MESH:D012509
HP:0003563	Hypobetalipoproteinemia	MESH:D006995
HP:0012219	Erythema nodosum	MESH:D004893
HP:0005508	Waldenstrom macroglobulinemia	MESH:D008258
HP:0010859	Frank breech presentation	MESH:D001946
HP:0007404	Nonepidermolytic palmoplantar keratoderma	MESH:C563422
HP:0008459	Cervical vertebral agenesis	MESH:C562952
HP:0000659	Peters anomaly	MESH:C537884
HP:0003006	Neuroblastoma	MESH:D009447
HP:0004320	Vaginal fistula	MESH:D014624
HP:0000575	Scotoma	MESH:D009898
HP:0000575	Scotoma	MESH:D012607
HP:0002064	Spastic gait	MESH:D020233
HP:0012027	Laryngeal edema	MESH:D007819
HP:0100704	Cortical visual impairment	MESH:D019575
HP:0007215	Periodic hyperkalemic paralysis	MESH:D020513
HP:0100777	Exostoses	MESH:D005096
HP:0003978	Fractured radius	MESH:D011885
HP:0002180	Neurodegeneration	MESH:D009410
HP:0002180	Neurodegeneration	MESH:D019636
HP:0040234	Factor XIII subunit B deficiency	MESH:C567688
HP:0030774	Mitochondrial swelling	MESH:D008933
HP:0011675	Arrhythmia	MESH:C562490
HP:0011675	Arrhythmia	MESH:D001145
HP:0012170	Nail-biting	MESH:D009259
HP:0100606	Neoplasm of the respiratory system	MESH:D012142
HP:0001956	Truncal obesity	MESH:D056128
HP:0001373	Joint dislocation	MESH:D004204
HP:0002728	Chronic mucocutaneous candidiasis	MESH:D002178
HP:0000221	Furrowed tongue	MESH:D014063
HP:0011106	Hypovolemia	MESH:D020896
HP:0011950	Bronchiolitis	MESH:D001988
HP:0005506	Chronic myelogenous leukemia	MESH:D015464
HP:0000846	Adrenal insufficiency	MESH:D000309
HP:0100650	Vaginal neoplasm	MESH:D014625
HP:0004313	Decreased antibody level in blood	MESH:D000361
HP:0000821	Hypothyroidism	MESH:D007037
HP:0003651	Foam cells	MESH:D005487
HP:0004757	Paroxysmal atrial fibrillation	MESH:D001281
HP:0000544	External ophthalmoplegia	MESH:D009886
HP:0000544	External ophthalmoplegia	MESH:D017246
HP:0030725	Neurenteric cyst	MESH:D009436
HP:0012031	Lipomatous tumor	MESH:D018205
HP:0004389	Intestinal pseudo-obstruction	MESH:D007418
HP:0006597	Diaphragmatic paralysis	MESH:D012133
HP:0100582	Nasal polyposis	MESH:D009298
HP:0002021	Pyloric stenosis	MESH:D011707
HP:0011537	Left atrial isomerism	MESH:D059446
HP:0002035	Rectal prolapse	MESH:D012005
HP:0005831	Type B brachydactyly	MESH:C566196
HP:0100309	Subdural hemorrhage	MESH:D006408
HP:0000872	Hashimoto thyroiditis	MESH:D050031
HP:0004373	Focal dystonia	MESH:D020821
HP:0000551	Abnormality of color vision	MESH:D003117
HP:0002829	Arthralgia	MESH:D018771
HP:0011847	Giant cell tumor of bone	MESH:D018212
HP:0100673	Vaginal hydrocele	MESH:D006848
HP:0007029	Cerebral berry aneurysm	MESH:D000783
HP:0000829	Hypoparathyroidism	MESH:D007011
HP:0000938	Osteopenia	MESH:D001851
HP:0001681	Angina pectoris	MESH:D000787
HP:0100813	Testicular torsion	MESH:D013086
HP:0007166	Paroxysmal dyskinesia	MESH:D002819
HP:0100825	Cheilitis	MESH:D002613
HP:0006747	Ganglioneuroblastoma	MESH:D018305
HP:0000585	Band keratopathy	MESH:C562399
HP:0002779	Tracheomalacia	MESH:D055090
HP:0100577	Urinary bladder inflammation	MESH:D003556
HP:0002305	Athetosis	MESH:D001264
HP:0003394	Muscle cramps	MESH:D009120
HP:0001257	Spasticity	MESH:D009128
HP:0000992	Cutaneous photosensitivity	MESH:D010787
HP:0000989	Pruritus	MESH:D011537
HP:0004315	IgG deficiency	MESH:D017099
HP:0011170	Myoclonic atonic seizures	MESH:D004831
HP:0001083	Ectopia lentis	MESH:D007906
HP:0001083	Ectopia lentis	MESH:D004479
HP:0011724	Uhl&apos;s anomaly	MESH:C536932
HP:0002153	Hyperkalemia	MESH:D006947
HP:0011142	Age-related nuclear cataract	MESH:C563333
HP:0012323	Sleep myoclonus	MESH:D009207
HP:0006510	Chronic obstructive pulmonary disease	MESH:D029424
HP:0100510	Vitamin C deficiency	MESH:D001206
HP:0000589	Coloboma	MESH:D003103
HP:0002015	Dysphagia	MESH:D003680
HP:0010956	Fetal megacystis	MESH:C536139
HP:0000211	Trismus	MESH:D014313
HP:0000790	Hematuria	MESH:D006417
HP:0001872	Abnormality of thrombocytes	MESH:D013915
HP:0002665	Lymphoma	MESH:D008223
HP:0005235	Jejunal atresia	MESH:D007409
HP:0005203	Spontaneous esophageal perforation	MESH:C536571
HP:0012189	Hodgkin lymphoma	MESH:D006689
HP:0002619	Varicose veins	MESH:D014648
HP:0000103	Polyuria	MESH:D011141
HP:0000657	Oculomotor apraxia	MESH:C537423
HP:0008222	Female infertility	MESH:D007247
HP:0001010	Hypopigmentation of the skin	MESH:D017496
HP:0010605	Chalazion	MESH:D017043
HP:0012393	Allergy	MESH:D006967
HP:0006557	Polycystic liver disease	MESH:C536330
HP:0100009	Intracranial meningioma	MESH:D008579
HP:0002859	Rhabdomyosarcoma	MESH:D012208
HP:0012302	Herpes simplex encephalitis	MESH:D020803
HP:0011743	Adrenal gland agenesis	MESH:C538429
HP:0003269	Sudanophilic leukodystrophy	MESH:D020371
HP:0030394	Fallopian tube carcinoma	MESH:D005185
HP:0002083	Migraine without aura	MESH:D020326
HP:0007709	Band-shaped corneal dystrophy	MESH:C562399
HP:0002104	Apnea	MESH:D001049
HP:0002635	Atheromatosis	MESH:D050197
HP:0002666	Pheochromocytoma	MESH:D010673
HP:0030416	Vulvar neoplasm	MESH:D014846
HP:0012743	Abdominal obesity	MESH:D056128
HP:0002027	Abdominal pain	MESH:D015746
HP:0002292	Frontal balding	MESH:D000505
HP:0010636	Schizencephaly	MESH:D065707
HP:0001698	Pericardial effusion	MESH:D010490
HP:0100543	Cognitive impairment	MESH:D060825
HP:0005313	Arterial fibromuscular dysplasia	MESH:D005352
HP:0030754	Allantoic cyst	MESH:D014496
HP:0000016	Urinary retention	MESH:D016055
HP:0004445	Elliptocytosis	MESH:D004612
HP:0004808	Acute myeloid leukemia	MESH:D015470
HP:0011774	Thyroid follicular adenoma	MESH:D013964
HP:0001139	Choroideremia	MESH:D015794
HP:0001399	Hepatic failure	MESH:D017093
HP:0003073	Hypoalbuminemia	MESH:D034141
HP:0001156	Brachydactyly syndrome	MESH:D059327
HP:0011891	Post-partum hemorrhage	MESH:D006473
HP:0010983	Oligogenic inheritance	MESH:D020412
HP:0008757	Unilateral vocal cord paralysis	MESH:D014826
HP:0000859	Hyperaldosteronism	MESH:D006929
HP:0003001	Glomus jugular tumor	MESH:D005925
HP:0004540	Congenital, generalized hypertrichosis	MESH:C538388
HP:0001019	Erythroderma	MESH:D003873
HP:0100244	Fibrosarcoma	MESH:D005354
HP:0100805	Precocious menopause	MESH:D008594
HP:0001840	Metatarsus adductus	MESH:D000070592
HP:0002446	Astrocytosis	MESH:D005911
HP:0002414	Spina bifida	MESH:D016135
HP:0005206	Pancreatic pseudocyst	MESH:D010192
HP:0001975	Decreased platelet glycoprotein IIb-IIIa	MESH:D013915
HP:0030799	Scaphocephaly	MESH:D003398
HP:0001177	Preaxial hand polydactyly	MESH:C536332
HP:0030062	Craniopharyngioma	MESH:D003397
HP:0001012	Multiple lipomas	MESH:D008067
HP:0030017	Vaginismus	MESH:D052065
HP:0012822	Bilateral vocal cord paresis	MESH:D014826
HP:0100726	Kaposi&apos;s sarcoma	MESH:D012514
HP:0011097	Epileptic spasms	MESH:D013036
