hp_code	hp_term	mesh_code	mesh_term
HP:0001182	Tapered finger	NA	NA
HP:0002357	Dysphasia	NA	NA
HP:0004502	Bilateral choanal atresia	NA	NA
HP:0001040	Multiple pterygia	NA	NA
HP:0003946	Abnormality of the epiphyses of the elbow	NA	NA
HP:0008065	Aplasia/Hypoplasia of the skin	NA	NA
HP:0000496	Abnormality of eye movement	NA	NA
HP:0100621	Dysgerminoma	D004407	Dysgerminomas
HP:0010837	Decreased serum ceruloplasmin	NA	NA
HP:0010603	Keratocystic odontogenic tumor	NA	NA
HP:0001951	Episodic ammonia intoxication	NA	NA
HP:0001933	Subcutaneous hemorrhage	NA	NA
HP:0030078	Lung adenocarcinoma	C538231	Adenocarcinoma of lung
HP:0007256	Abnormal pyramidal signs	NA	NA
HP:0012856	Abnormal scrotal rugation	NA	NA
HP:0000488	Retinopathy	D012164	Retinal Disease
HP:0003217	Hyperglutaminemia	NA	NA
HP:0004637	Decreased cervical spine mobility	NA	NA
HP:0030046	Hypoglycosylation of alpha-dystroglycan	NA	NA
HP:0001056	Milia	NA	NA
HP:0000112	Nephropathy	D007674	Kidney Disease
HP:0007587	Numerous pigmented freckles	NA	NA
HP:0003782	Eunuchoid habitus	NA	NA
HP:0003161	4-Hydroxyphenylpyruvic aciduria	NA	NA
HP:0005725	Nonopposable triphalangeal thumb	C536562	Triphalangeal thumb non opposable
HP:0005613	Aplasia/hypoplasia of the femur	NA	NA
HP:0001197	Abnormality of prenatal development or birth	NA	NA
HP:0001920	Renal artery stenosis	NA	NA
HP:0002033	Poor suck	NA	NA
HP:0002999	Patellar dislocation	D031222	Patellar Dislocations
HP:0009759	Neck pterygia	NA	NA
HP:0002090	Pneumonia	NA	NA
HP:0012157	Subcortical cerebral atrophy	NA	NA
HP:0007739	Mildly reduced visual acuity	NA	NA
HP:0003265	Neonatal hyperbilirubinemia	NA	NA
HP:0003777	Pili torti	C562485	Pili Torti
HP:0002917	Hypomagnesemia	NA	NA
HP:0007758	Congenital visual impairment	NA	NA
HP:0003006	Neuroblastoma	D009447	Neuroblastomas
HP:0030055	Hyperconvex toenail	NA	NA
HP:0100540	Palpebral edema	NA	NA
HP:0010455	Steep acetabular roof	NA	NA
HP:0012768	Neonatal asphyxia	D001238	Asphyxia Neonatorum
HP:0007994	Peripheral visual field loss	NA	NA
HP:0012757	Abnormal neuron morphology	NA	NA
HP:0008031	Posterior Y-sutural cataract	NA	NA
HP:0001073	Cigarette-paper scars	NA	NA
HP:0012051	Reactive hypoglycemia	NA	NA
HP:0012463	Elevated transferrin saturation	NA	NA
HP:0005103	Calcification of the auricular cartilage	NA	NA
HP:0010665	Bilateral coxa valga	NA	NA
HP:0006480	Premature loss of teeth	NA	NA
HP:0004331	Decreased skull ossification	NA	NA
HP:0010027	Broad 1st metacarpal	NA	NA
HP:0000683	Grayish enamel	NA	NA
HP:0030144	Hypoactive bowel sounds	NA	NA
HP:0007521	Irregular hyperpigmentation of back	NA	NA
HP:0001482	Subcutaneous nodule	NA	NA
HP:0000215	Thick upper lip vermilion	NA	NA
HP:0001965	Abnormality of the scalp	NA	NA
HP:0007360	Aplasia/Hypoplasia of the cerebellum	NA	NA
HP:0001633	Abnormality of the mitral valve	NA	NA
HP:0000403	Recurrent otitis media	NA	NA
HP:0001361	Nystagmus-induced head nodding	NA	NA
HP:0005764	Polyarticular arthritis	NA	NA
HP:0001270	Motor delay	NA	NA
HP:0030242	Portal vein thrombosis	NA	NA
HP:0011970	Cerebral amyloid angiopathy	NA	NA
HP:0004904	Maturity-onset diabetes of the young	C562772	Mason-Type Diabetes
HP:0100550	Tendon rupture	NA	NA
HP:0003492	High urinary gonadotropins (primary hypogonadism)	NA	NA
HP:0001435	Abnormality of the shoulder girdle musculature	NA	NA
HP:0200046	Cat cry	NA	NA
HP:0000853	Goiter	D006042	Goiters
HP:0010541	Cutis gyrata of scalp	NA	NA
HP:0010903	Abnormality of glutamine metabolism	NA	NA
HP:0011106	Hypovolemia	NA	NA
HP:0030431	Osteochondroma	D015831	Osteocartilaginous Exostosis
HP:0002839	Urinary bladder sphincter dysfunction	NA	NA
HP:0000975	Hyperhidrosis	NA	NA
HP:0003130	Abnormal peripheral myelination	NA	NA
HP:0010650	Premaxillary underdevelopment	NA	NA
HP:0008402	Ridged fingernail	NA	NA
HP:0002719	Recurrent infections	NA	NA
HP:0009088	Speech articulation difficulties	NA	NA
HP:0000033	Ambiguous genitalia, male	NA	NA
HP:0000499	Abnormality of the eyelashes	NA	NA
HP:0001034	Hypermelanotic macule	NA	NA
HP:0010285	Oral synechia	NA	NA
HP:0010743	Short metatarsal	NA	NA
HP:0012430	Cerebral white matter hypoplasia	NA	NA
HP:0000185	Cleft soft palate	C562950	Cleft Soft Palate
HP:0007267	Chronic axonal neuropathy	NA	NA
HP:0004646	Hypoplasia of the nasal bone	NA	NA
HP:0008214	Decreased serum estradiol	NA	NA
HP:0100679	Lack of skin elasticity	NA	NA
HP:0030083	Salt craving	NA	NA
HP:0001057	Aplasia cutis congenita	NA	NA
HP:0006689	Bacterial endocarditis	D004697	Endocarditis, Bacterial
HP:0010464	Streak ovary	NA	NA
HP:0001792	Small nail	NA	NA
HP:0007366	Atrophy/Degeneration affecting the brainstem	NA	NA
HP:0040090	Abnormality of the tympanic membrane	NA	NA
HP:0006378	Osteolysis of patellae	NA	NA
HP:0005230	Biliary tract obstruction	NA	NA
HP:0002057	Prominent glabella	NA	NA
HP:0009601	Aplasia/Hypoplasia of the thumb	NA	NA
HP:0012735	Cough	D003371	Coughs
HP:0002217	Slow-growing hair	NA	NA
HP:0000826	Precocious puberty	D011629	Puberty, Precocious
HP:0030192	Fatigable weakness of bulbar muscles	NA	NA
HP:0002353	EEG abnormality	NA	NA
HP:0003547	Shoulder girdle muscle weakness	NA	NA
HP:0007519	Lack of subcutaneous fatty tissue	NA	NA
HP:0009595	Occasional neurofibromas	NA	NA
HP:0012113	Abnormality of creatine metabolism	NA	NA
HP:0001611	Nasal speech	NA	NA
HP:0002018	Nausea	D009325	Nausea
HP:0002557	Hypoplastic nipples	NA	NA
HP:0001495	Carpal osteolysis	NA	NA
HP:0030016	Dyspareunia	D004414	Dyspareunia
HP:0000207	Triangular mouth	NA	NA
HP:0002446	Astrocytosis	NA	NA
HP:0002949	Fused cervical vertebrae	NA	NA
HP:0011833	Overhanging nasal tip	NA	NA
HP:0003011	Abnormality of the musculature	NA	NA
HP:0004333	Bone-marrow foam cells	NA	NA
HP:0001522	Death in infancy	NA	NA
HP:0001600	Abnormality of the larynx	NA	NA
HP:0009465	Ulnar deviation of finger	NA	NA
HP:0030591	Abnormal kinetic perimetry test	NA	NA
HP:0003172	Abnormality of the pubic bone	NA	NA
HP:0010964	Abnormality of long-chain fatty-acid metabolism	NA	NA
HP:0000383	Abnormality of periauricular region	NA	NA
HP:0007033	Cerebellar dysplasia	NA	NA
HP:0007899	Retinal nonattachment	NA	NA
HP:0000512	Abnormal electroretinogram	NA	NA
HP:0002335	Agenesis of cerebellar vermis	C536293	Joubert syndrome 1
HP:0000651	Diplopia	NA	NA
HP:0010561	Undulate ribs	NA	NA
HP:0011886	Hyphema	D006988	Hyphemas
HP:0003988	Long ulna	NA	NA
HP:0011380	Morphological abnormality of the semicircular canal	NA	NA
HP:0003336	Abnormal enchondral ossification	NA	NA
HP:0000161	Median cleft lip	NA	NA
HP:0001338	Partial agenesis of the corpus callosum	NA	NA
HP:0002362	Shuffling gait	NA	NA
HP:0008420	Punctate vertebral calcifications	NA	NA
HP:0001433	Hepatosplenomegaly	NA	NA
HP:0011363	Abnormality of hair growth rate	NA	NA
HP:0001518	Small for gestational age	NA	NA
HP:0008110	Equinovarus deformity	NA	NA
HP:0100008	Schwannoma	NA	NA
HP:0000782	Abnormality of the scapula	NA	NA
HP:0005469	Flat occiput	NA	NA
HP:0004944	Cerebral aneurysm	NA	NA
HP:0000336	Prominent supraorbital ridges	NA	NA
HP:0010230	Cone-shaped epiphyses of the phalanges of the hand	NA	NA
HP:0008981	Calf muscle hypertrophy	NA	NA
HP:0002718	Recurrent bacterial infections	NA	NA
HP:0011358	Generalized hypopigmentation of hair	NA	NA
HP:0001581	Recurrent skin infections	NA	NA
HP:0012325	Chronic myelomonocytic leukemia	D015477	Chronic Myelomonocytic Leukemia
HP:0001772	Talipes equinovalgus	NA	NA
HP:0011328	Abnormality of fontanelles	NA	NA
HP:0002936	Distal sensory impairment	NA	NA
HP:0007479	Congenital nonbullous ichthyosiform erythroderma	NA	NA
HP:0100586	Aseptic leukocyturia	NA	NA
HP:0003013	Bulging epiphyses	NA	NA
HP:0002211	White forelock	NA	NA
HP:0008226	Androgen insufficiency	NA	NA
HP:0008628	Abnormality of the stapes	NA	NA
HP:0003645	Prolonged partial thromboplastin time	NA	NA
HP:0100758	Gangrene	D005734	Gangrenes
HP:0000772	Abnormality of the ribs	NA	NA
HP:0007412	Macular hyperpigmented dermopathy	NA	NA
HP:0045026	Abnormality of the mediastinum	NA	NA
HP:0002783	Recurrent lower respiratory tract infections	NA	NA
HP:0011819	Submucous cleft soft palate	NA	NA
HP:0006511	Laryngeal stridor	D007826	Spasm, Laryngeal
HP:0010904	Abnormality of histidine metabolism	NA	NA
HP:0012345	Abnormal glycosylation	NA	NA
HP:0006265	Aplasia/Hypoplasia of fingers	NA	NA
HP:0001531	Failure to thrive in infancy	NA	NA
HP:0002730	Chronic noninfectious lymphadenopathy	NA	NA
HP:0001304	Torsion dystonia	D004422	Torsion Disease, Childhood
HP:0004112	Midline nasal groove	NA	NA
HP:0009813	Upper limb phocomelia	NA	NA
HP:0010935	Abnormality of the upper urinary tract	NA	NA
HP:0007981	Concentric narrowing of visual fields	NA	NA
HP:0001899	Increased hematocrit	NA	NA
HP:0001162	Postaxial hand polydactyly	NA	NA
HP:0003043	Abnormality of the shoulder	NA	NA
HP:0007988	Macular hypopigmentation	NA	NA
HP:0006224	Tapering pointed ends of distal finger phalanges	NA	NA
HP:0005227	Adenomatous colonic polyposis	NA	NA
HP:0010502	Fibular bowing	NA	NA
HP:0003366	Abnormality of the femoral neck or head region	NA	NA
HP:0000522	Alacrima	C562827	Alacrima
HP:0001254	Lethargy	D053609	Lethargy
HP:0011324	Multiple suture craniosynostosis	NA	NA
HP:0008873	Disproportionate short-limb short stature	NA	NA
HP:0010790	Hyoplasia of the Leydig cells	NA	NA
HP:0000965	Cutis marmorata	NA	NA
HP:0001682	Subaortic stenosis	D001020	Subvalvular Aortic Stenoses
HP:0003687	Centrally nucleated skeletal muscle fibers	NA	NA
HP:0002527	Falls	NA	NA
HP:0008972	Decreased activity of mitochondrial respiratory chain	NA	NA
HP:0007021	Pain insensitivity	NA	NA
HP:0001704	Tricuspid valve prolapse	D014263	Valve Prolapses, Tricuspid
HP:0002221	Absent axillary hair	NA	NA
HP:0100739	Bulimia	D002032	Eating, Binge
HP:0012434	Delayed social development	NA	NA
HP:0100699	Scarring	NA	NA
HP:0010035	Aplasia of the 1st metacarpal	NA	NA
HP:0011372	Aplasia of the inner ear	NA	NA
HP:0010883	Aortic valve atresia	NA	NA
HP:0100522	Thymoma	NA	NA
HP:0011368	Epidermal thickening	NA	NA
HP:0007754	Macular dystrophy	NA	NA
HP:0005574	Non-acidotic proximal tubulopathy	NA	NA
HP:0002164	Nail dysplasia	NA	NA
HP:0010497	Sirenomelia	NA	NA
HP:0001555	Asymmetry of the thorax	NA	NA
HP:0007942	Internal ophthalmoplegia	NA	NA
HP:0001283	Bulbar palsy	NA	NA
HP:0100774	Hyperostosis	D015576	Hypertrophy, Bone
HP:0009901	Crumpled ear	NA	NA
HP:0005944	Bilateral lung agenesis	NA	NA
HP:0002286	Fair hair	NA	NA
HP:0007146	Bilateral basal ganglia lesions	NA	NA
HP:0003155	Elevated alkaline phosphatase	NA	NA
HP:0002025	Anal stenosis	NA	NA
HP:0002200	Pseudobulbar signs	NA	NA
HP:0006191	Deep palmar crease	NA	NA
HP:0009894	Thickened ears	NA	NA
HP:0009727	Achromatic retinal patches	NA	NA
HP:0002585	Abnormality of the peritoneum	NA	NA
HP:0003445	EMG: neuropathic changes	NA	NA
HP:0011151	Obtundation status	NA	NA
HP:0000798	Oligospermia	D009845	Sperm Counts, Low
HP:0012745	Short palpebral fissure	NA	NA
HP:0011204	EEG with continuous slow activity	NA	NA
HP:0000805	Enuresis	D004775	Enuresis
HP:0011100	Intestinal atresia	NA	NA
HP:0000505	Visual impairment	NA	NA
HP:0004395	Malnutrition	D044342	Nutritional Deficiencies
HP:0011488	Abnormality of corneal endothelium	NA	NA
HP:0012762	Cerebral white matter atrophy	NA	NA
HP:0003044	Shoulder flexion contracture	NA	NA
HP:0000588	Optic nerve coloboma	C535970	Coloboma of optic nerve
HP:0004878	Intercostal muscle weakness	NA	NA
HP:0005216	Chewing difficulties	NA	NA
HP:0003826	Stillbirth	NA	NA
HP:0006897	Cranial nerve VI palsy	NA	NA
HP:0002960	Autoimmunity	D001327	Diseases, Autoimmune
HP:0001257	Spasticity	NA	NA
HP:0001409	Portal hypertension	NA	NA
HP:0100256	Senile plaques	NA	NA
HP:0004968	Recurrent cerebral hemorrhage	NA	NA
HP:0012758	Neurodevelopmental delay	NA	NA
HP:0002266	Focal clonic seizures	NA	NA
HP:0006143	Abnormal finger flexion creases	NA	NA
HP:0006721	Acute lymphatic leukemia	NA	NA
HP:0012205	Globozoospermia	NA	NA
HP:0003110	Abnormality of urine homeostasis	NA	NA
HP:0000326	Abnormality of the maxilla	NA	NA
HP:0002755	Osteomyelitis due to immunodeficiency	NA	NA
HP:0003799	Marked delay in bone age	NA	NA
HP:0040086	Abnormal prolactin level	NA	NA
HP:0007392	Excessive wrinkled skin	NA	NA
HP:0008672	Calcium oxalate nephrolithiasis	C563477	Nephrolithiasis, Calcium Oxalate
HP:0100508	Abnormality of vitamin metabolism	NA	NA
HP:0200032	Kayser-Fleischer ring	NA	NA
HP:0030196	Fatigable weakness of respiratory muscles	NA	NA
HP:0011140	Gastrointestinal duplication	NA	NA
HP:0002292	Frontal balding	NA	NA
HP:0012704	Widened subarachnoid space	NA	NA
HP:0010880	Increased nuchal translucency	NA	NA
HP:0011961	Non-obstructive azoospermia	NA	NA
HP:0006763	Anal canal squamous carcinoma	NA	NA
HP:0001931	Hypochromic anemia	NA	NA
HP:0002448	Progressive encephalopathy	NA	NA
HP:0011850	Parotitis	D010309	Parotiditides
HP:0008239	Adrenal medullary hypoplasia	NA	NA
HP:0007229	Intracerebral periventricular calcifications	NA	NA
HP:0004058	Monodactyly (hands)	NA	NA
HP:0003067	Madelung deformity	C562398	Madelung Deformity
HP:0003764	Nevus	NA	NA
HP:0001891	Iron deficiency anemia	D018798	Iron Deficiency Anemia
HP:0012324	Myeloid leukemia	NA	NA
HP:0001696	Situs inversus totalis	NA	NA
HP:0100807	Long fingers	NA	NA
HP:0008959	Distal upper limb muscle weakness	NA	NA
HP:0030166	Night sweats	NA	NA
HP:0100544	Neoplasm of the heart	NA	NA
HP:0007372	Atrophy/Degeneration involving the corticospinal tracts	NA	NA
HP:0001362	Skull defect	NA	NA
HP:0003778	Short mandibular rami	NA	NA
HP:0000384	Preauricular skin tag	NA	NA
HP:0100594	Esophageal web	NA	NA
HP:0003116	Abnormal echocardiogram	NA	NA
HP:0012560	Decreased T3/T4 ratio	NA	NA
HP:0011976	Elevated urinary catecholamines	NA	NA
HP:0011338	Abnormality of mouth shape	NA	NA
HP:0003715	Myofibrillar myopathy	C580316	Myofibrillar Myopathy
HP:0000629	Periorbital fullness	NA	NA
HP:0001012	Multiple lipomas	NA	NA
HP:0010302	Spinal cord tumor	NA	NA
HP:0001974	Leukocytosis	NA	NA
HP:0004059	Radial club hand	NA	NA
HP:0008444	Posterior wedging of vertebral bodies	NA	NA
HP:0000897	Rachitic rosary	NA	NA
HP:0002721	Immunodeficiency	NA	NA
HP:0000643	Blepharospasm	D001764	Blepharospasms
HP:0011710	Bundle branch block	NA	NA
HP:0001790	Nonimmune hydrops fetalis	NA	NA
HP:0004305	Involuntary movements	NA	NA
HP:0030500	Yellow/white lesions of the macula	NA	NA
HP:0012534	Dysesthesia	NA	NA
HP:0004309	Ventricular preexcitation	NA	NA
HP:0000178	Abnormality of lower lip	NA	NA
HP:0000868	Decreased fertility in females	NA	NA
HP:0012060	Acral lentiginous melanoma	NA	NA
HP:0006801	Hyperactive deep tendon reflexes	NA	NA
HP:0001436	Abnormality of the foot musculature	NA	NA
HP:0008821	Hypoplastic inferior ilia	NA	NA
HP:0003113	Hypochloremia	NA	NA
HP:0000070	Ureterocele	D014518	Ureteroceles
HP:0011351	Moderate receptive language delay	NA	NA
HP:0005257	Thoracic hypoplasia	NA	NA
HP:0012290	Mouth neoplasm	NA	NA
HP:0040019	Finger clinodactyly	NA	NA
HP:0000769	Abnormality of the breast	NA	NA
HP:0002655	Spondyloepiphyseal dysplasia	NA	NA
HP:0000431	Wide nasal bridge	NA	NA
HP:0000863	Central diabetes insipidus	D020790	Diabetes Insipidus, Neurogenic
HP:0005026	Mesomelic/rhizomelic limb shortening	NA	NA
HP:0000083	Renal insufficiency	NA	NA
HP:0001601	Laryngomalacia	D055092	Laryngomalacias
HP:0001159	Syndactyly	NA	NA
HP:0012225	Oligodontia of primary teeth	NA	NA
HP:0002680	J-shaped sella turcica	NA	NA
HP:0000926	Platyspondyly	NA	NA
HP:0009051	Increased muscle glycogen content	NA	NA
HP:0000276	Long face	NA	NA
HP:0003097	Short femur	NA	NA
HP:0003020	Enlargement of the wrists	NA	NA
HP:0001169	Broad palm	NA	NA
HP:0000869	Secondary amenorrhea	NA	NA
HP:0012211	Abnormal renal physiology	NA	NA
HP:0000218	High palate	NA	NA
HP:0007598	Bilateral single transverse palmar creases	NA	NA
HP:0000052	Urethral atresia, male	NA	NA
HP:0002777	Tracheal stenosis	D014135	Tracheal Stenoses
HP:0005148	Pulmonary valve defects	NA	NA
HP:0030882	Coronary artery dilation	NA	NA
HP:0003085	Long fibula	NA	NA
HP:0001605	Vocal cord paralysis	NA	NA
HP:0100798	Fingernail dysplasia	NA	NA
HP:0001027	Soft, doughy skin	NA	NA
HP:0000127	Renal salt wasting	NA	NA
HP:0009789	Perianal abscess	NA	NA
HP:0004381	Supravalvular aortic stenosis	D021921	Supravalvular Stenoses, Aortic
HP:0100022	Abnormality of movement	NA	NA
HP:0000243	Trigonocephaly	NA	NA
HP:0005625	Osteoporosis of vertebrae	NA	NA
HP:0011453	Abnormality of the incus	NA	NA
HP:0000270	Delayed cranial suture closure	NA	NA
HP:0008222	Female infertility	NA	NA
HP:0001706	Endocardial fibroelastosis	D004695	Fibroelastosis, Endocardial
HP:0005108	Abnormality of the intervertebral disk	NA	NA
HP:0006210	Postaxial oligodactyly	NA	NA
HP:0012030	Increased urinary cortisol level	NA	NA
HP:0003560	Muscular dystrophy	NA	NA
HP:0001817	Absent fingernail	NA	NA
HP:0004416	Precocious atherosclerosis	NA	NA
HP:0004495	Thin anteverted nares	NA	NA
HP:0001751	Vestibular dysfunction	NA	NA
HP:0012368	Flat face	NA	NA
HP:0002223	Absent eyebrow	NA	NA
HP:0100619	Sertoli cell neoplasm	NA	NA
HP:0002908	Conjugated hyperbilirubinemia	NA	NA
HP:0001673	Tachycardia (with pheochromocytoma)	NA	NA
HP:0005235	Jejunal atresia	NA	NA
HP:0001582	Redundant skin	NA	NA
HP:0000010	Recurrent urinary tract infections	NA	NA
HP:0001650	Aortic valve stenosis	D001024	Stenosis, Aortic Valve
HP:0010038	Short 2nd metacarpal	NA	NA
HP:0003330	Abnormal bone structure	NA	NA
HP:0000494	Downslanted palpebral fissures	NA	NA
HP:0000338	Hypomimic face	NA	NA
HP:0003348	Hyperalaninemia	NA	NA
HP:0002265	Large fleshy ears	NA	NA
HP:0001387	Joint stiffness	NA	NA
HP:0000883	Thin ribs	NA	NA
HP:0002093	Respiratory insufficiency	NA	NA
HP:0008213	Gonadotropin deficiency	NA	NA
HP:0012872	Abnormal vas deferens morphology	NA	NA
HP:0004322	Short stature	NA	NA
HP:0004471	Aplasia cutis congenita over the scalp vertex	NA	NA
HP:0003002	Breast carcinoma	NA	NA
HP:0011903	Hemoglobin H	NA	NA
HP:0004414	Abnormality of the pulmonary artery	NA	NA
HP:0200020	Corneal erosion	NA	NA
HP:0000148	Vaginal atresia	NA	NA
HP:0003811	Neonatal death	NA	NA
HP:0000924	Abnormality of the skeletal system	NA	NA
HP:0010489	Absent palmar crease	NA	NA
HP:0008763	No social interaction	NA	NA
HP:0009745	Spinalarachnoid cyst	NA	NA
HP:0100584	Endocarditis	NA	NA
HP:0001901	Polycythemia	D011086	Erythrocytoses
HP:0011986	Ectopic ossification	D009999	Pathological Ossification
HP:0004308	Ventricular arrhythmia	NA	NA
HP:0011999	Paranoia	D010259	Paranoid Disorder
HP:0030269	Increased serum Insulin-like growth factor 1	NA	NA
HP:0000274	Small face	NA	NA
HP:0002983	Micromelia	NA	NA
HP:0011458	Abdominal symptom	NA	NA
HP:0006491	Abnormality of the tibial metaphysis	NA	NA
HP:0000272	Malar flattening	NA	NA
HP:0010628	Facial palsy	NA	NA
HP:0009071	Inflammatory myopathy	NA	NA
HP:0002396	Cogwheel rigidity	NA	NA
HP:0006337	Premature eruption of permanent teeth	NA	NA
HP:0011223	Metopic depression	NA	NA
HP:0001697	Abnormality of the pericardium	NA	NA
HP:0030402	Abnormal platelet aggregation	NA	NA
HP:0011027	Abnormality of the fallopian tube	NA	NA
HP:0007939	Blue cone monochromacy	C536238	Blue cone monochromatism
HP:0009778	Short thumb	NA	NA
HP:0003429	CNS hypomyelination	NA	NA
HP:0001980	Megaloblastic bone marrow	NA	NA
HP:0004467	Preauricular pit	NA	NA
HP:0002666	Pheochromocytoma	NA	NA
HP:0100517	Neoplasm of the urethra	NA	NA
HP:0010041	Short 3rd metacarpal	NA	NA
HP:0002140	Ischemic stroke	NA	NA
HP:0005645	Intervertebral disk calcification	NA	NA
HP:0011318	Bicoronal synostosis	NA	NA
HP:0012620	Cloacal abnormality	NA	NA
HP:0002927	Histidinuria	C538321	Histidinuria renal tubular defect
HP:0001943	Hypoglycemia	NA	NA
HP:0010286	Abnormality of the salivary glands	NA	NA
