symptom_id	symptom_name
MESH:D004411	Dyslexia, Acquired
HP:0100607	Dysmenorrhea
MESH:D004415	Dyspepsia
HP:0002098	Dyspnea
HP:0002094	Dyspnea
HP:0012763	Dyspnea, Paroxysmal
HP:0001332	Dystonia
HP:0002451	Dystonia
HP:0002268	Dystonia
HP:0030766	Earache
HP:0000978	Ecchymosis
HP:0010529	Echolalia
HP:0012050	Edema
HP:0000969	Edema
MESH:D004489	Edema, Cardiac
MESH:D004614	Emaciation
MESH:D004688	Encopresis
MESH:D004884	Eructation
HP:0011885	Eye Hemorrhage
MESH:D005132	Eye Manifestations
MESH:D005157	Facial Pain
HP:0007209	Facial Paralysis
HP:0010628	Facial Paralysis
MESH:D005183	Failure to Thrive
HP:0002380	Fasciculation
HP:0001308	Fasciculation
HP:0012378	Fatigue
MESH:D005222	Mental Fatigue
MESH:D005262	Feminization
MESH:D005311	Fetal Hypoxia
MESH:D005316	Fetal Distress
MESH:D005320	Fetal Macrosomia
HP:0001945	Fever
MESH:D005335	Fever of Unknown Origin
MESH:D005414	Flatulence
HP:0010783	Flushing
MESH:D005600	Fragile X Syndrome
MESH:D005683	Gagging
MESH:D005862	Gerstmann Syndrome
HP:0000225	Gingival Hemorrhage
HP:0030811	Glossalgia
HP:0100812	Halitosis
HP:0008765	Hallucinations
HP:0000738	Hallucinations
HP:0011160	Hallucinations
HP:0002519	Hallucinations
HP:0002367	Hallucinations
HP:0006896	Hallucinations
HP:0002315	Headache
MESH:D006311	Hearing Disorders
MESH:D006312	Hearing Loss, Bilateral
MESH:D006313	Hearing Loss, Central
HP:0000405	Hearing Loss, Conductive
MESH:D006315	Hearing Loss, Functional
HP:0005101	Hearing Loss, High-Frequency
MESH:D006317	Hearing Loss, Noise-Induced
HP:0000407	Hearing Loss, Sensorineural
HP:0030148	Heart Murmurs
HP:0002020	Heartburn
HP:0002248	Hematemesis
HP:0030521	Hemianopsia
HP:0030520	Hemianopsia
HP:0030516	Hemianopsia
HP:0012377	Hemianopsia
HP:0011099	Hemiplegia
HP:0002301	Hemiplegia
HP:0003641	Hemoglobinuria
HP:0002105	Hemoptysis
HP:0040184	Oral Hemorrhage
HP:0100247	Hiccup
HP:0001007	Hirsutism
HP:0001609	Hoarseness
HP:0002277	Horner Syndrome
MESH:D006816	Huntington Disease
HP:0012533	Hyperalgesia
HP:0012416	Hypercapnia
HP:0012188	Hyperemesis Gravidarum
HP:0100963	Hyperesthesia
HP:0010702	Hypergammaglobulinemia
HP:0000752	Hyperkinesis
HP:0002487	Hyperkinesis
HP:0002591	Hyperphagia
HP:0100786	Disorders of Excessive Somnolence
HP:0002883	Hyperventilation
HP:0003474	Hypesthesia
HP:0011886	Hyphema
HP:0001278	Hypotension, Orthostatic
HP:0002045	Hypothermia
HP:0002791	Hypoventilation
MESH:D007088	Illusions
HP:0100785	Sleep Initiation and Maintenance Disorders
MESH:D007331	Insulin Coma
HP:0004417	Intermittent Claudication
HP:0000952	Jaundice
MESH:D007625	Kearns-Sayre Syndrome
MESH:D007706	Menkes Kinky Hair Syndrome
HP:0000750	Language Development Disorders
HP:0002463	Language Disorders
MESH:D007859	Learning Disorders
MESH:D007926	Lesch-Nyhan Syndrome
MESH:D008065	Lipoid Proteinosis of Urbach and Wiethe
HP:0002354	Memory Disorders
MESH:D008580	Meningism
HP:0001249	Intellectual Disability
HP:0002187	Intellectual Disability
MESH:D008998	Monoclonal Gammopathy of Undetermined Significance
MESH:D009041	Motion Sickness
MESH:D009058	Mouth Breathing
HP:0003394	Muscle Cramp
HP:0001276	Muscle Hypertonia
HP:0010547	Muscle Hypotonia
HP:0001252	Muscle Hypotonia
HP:0001319	Muscle Hypotonia
HP:0005986	Muscle Rigidity
HP:0002063	Muscle Rigidity
HP:0002396	Muscle Rigidity
HP:0001257	Muscle Spasticity
HP:0003202	Muscular Atrophy
HP:0002300	Mutism
HP:0012323	Myoclonus
HP:0010530	Myoclonus
HP:0001336	Myoclonus
HP:0010548	Myotonia
HP:0002486	Myotonia
HP:0030050	Narcolepsy
HP:0002018	Nausea
MESH:D009437	Neuralgia
MESH:D009461	Neurologic Manifestations
HP:0000662	Night Blindness
HP:0001513	Obesity
MESH:D009767	Obesity, Morbid
HP:0100520	Oliguria
HP:0000544	Ophthalmoplegia
HP:0000597	Ophthalmoplegia
HP:0007942	Ophthalmoplegia
HP:0000602	Ophthalmoplegia
MESH:D009903	Optical Illusions
MESH:D009912	Oral Manifestations
HP:0012531	Pain
MESH:D010148	Pain, Intractable
MESH:D010149	Pain, Postoperative
HP:0000980	Pallor
HP:0003470	Paralysis
HP:0010550	Paraplegia
HP:0001258	Paraplegia
HP:0001269	Paresis
HP:0003401	Paresthesia
HP:0012534	Paresthesia
MESH:D010468	Perceptual Disorders
MESH:D010591	Phantom Limb
MESH:D010845	Obesity Hypoventilation Syndrome
HP:0000103	Polyuria
MESH:D011218	Prader-Willi Syndrome
HP:0040113	Presbycusis
HP:0000093	Proteinuria
HP:0000989	Pruritus
MESH:D011538	Pruritus Ani
MESH:D011539	Pruritus Vulvae
MESH:D011595	Psychomotor Agitation
MESH:D011596	Psychomotor Disorders
MESH:D011602	Psychophysiologic Disorders
HP:0007686	Pupil Disorders
HP:0000979	Purpura
HP:0000967	Purpura
MESH:D011694	Purpura, Hyperglobulinemic
MESH:D011695	Purpura, Schoenlein-Henoch
MESH:D011696	Purpura, Thrombocytopenic
MESH:D011697	Purpura, Thrombotic Thrombocytopenic
HP:0002445	Quadriplegia
HP:0002510	Quadriplegia
HP:0002273	Quadriplegia
HP:0010780	Hyperacusis
HP:0002183	Hyperacusis
HP:0008000	Reflex, Abnormal
HP:0001347	Reflex, Abnormal
HP:0001284	Reflex, Abnormal
HP:0003438	Reflex, Abnormal
HP:0006597	Respiratory Paralysis
HP:0002203	Respiratory Paralysis
HP:0030830	Respiratory Sounds
HP:0030831	Respiratory Sounds
HP:0010307	Respiratory Sounds
HP:0030828	Respiratory Sounds
HP:0012452	Restless Legs Syndrome
HP:0000573	Retinal Hemorrhage
MESH:D012415	Rubinstein-Taybi Syndrome
HP:0011868	Sciatica
HP:0000575	Scotoma
HP:0010822	Scotoma
HP:0000603	Scotoma
HP:0000576	Scotoma
HP:0030529	Scotoma
HP:0030530	Scotoma
HP:0030528	Scotoma
HP:0001250	Seizures
HP:0002197	Seizures
HP:0007359	Seizures
HP:0002069	Seizures
MESH:D012678	Sensation Disorders
MESH:D012817	Signs and Symptoms, Digestive
MESH:D012818	Signs and Symptoms, Respiratory
MESH:D012877	Skin Manifestations
HP:0010535	Sleep Apnea Syndromes
MESH:D012892	Sleep Deprivation
MESH:D012893	Sleep Disorders
MESH:D012912	Sneezing
MESH:D012913	Snoring
MESH:D013009	Somnambulism
HP:0002487	Spasm
HP:0002167	Speech Disorders
MESH:D013342	Stuttering
MESH:D013494	Supranuclear Palsy, Progressive
HP:0012669	Syncope
HP:0012668	Syncope
HP:0001279	Syncope
MESH:D013651	Taste Disorders
HP:0001281	Tetany
HP:0004325	Thinness
MESH:D014008	Tinea Pedis
HP:0008629	Tinnitus
HP:0000360	Tinnitus
MESH:D014098	Toothache
HP:0000473	Torticollis
HP:0002174	Tremor
HP:0002322	Tremor
HP:0002080	Tremor
HP:0001337	Tremor
HP:0002345	Tremor
HP:0200085	Tremor
HP:0030186	Tremor
HP:0000211	Trismus
HP:0007185	Unconsciousness
HP:0000020	Urinary Incontinence
HP:0010992	Urinary Incontinence, Stress
HP:0010532	Vertigo
HP:0002321	Vertigo
MESH:D014770	Virilism
HP:0012047	Vision Disorders
HP:0012508	Vision Disorders
HP:0000505	Vision Disorders
HP:0007902	Vitreous Hemorrhage
HP:0008757	Vocal Cord Paralysis
HP:0012822	Vocal Cord Paralysis
HP:0001604	Vocal Cord Paralysis
HP:0012821	Vocal Cord Paralysis
HP:0001605	Vocal Cord Paralysis
HP:0001621	Voice Disorders
HP:0002013	Vomiting
MESH:D014840	Vomiting, Anticipatory
MESH:D014884	Waterhouse-Friderichsen Syndrome
MESH:D014929	Wolfram Syndrome
HP:0001790	Hydrops Fetalis
HP:0001789	Hydrops Fetalis
MESH:D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
HP:0000505	Vision, Low
HP:0004324	Weight Gain
HP:0001824	Weight Loss
HP:0004325	Weight Loss
MESH:D015518	Rett Syndrome
HP:0002027	Abdominal Pain
HP:0012074	Tonic Pupil
HP:0009916	Anisocoria
HP:0000616	Miosis
HP:0011499	Mydriasis
MESH:D016532	Mucopolysaccharidosis II
MESH:D016534	Cardiac Output, High
HP:0001973	Purpura, Thrombocytopenic, Idiopathic
HP:0012417	Hypocapnia
MESH:D017109	Akathisia, Drug-Induced
HP:0003419	Low Back Pain
HP:0000544	Ophthalmoplegia, Chronic Progressive External
HP:0000590	Ophthalmoplegia, Chronic Progressive External
MESH:D017288	Pain Threshold
MESH:D017566	Microvascular Angina
MESH:D017593	Kleine-Levin Syndrome
MESH:D017624	WAGR Syndrome
MESH:D017699	Pelvic Pain
MESH:D017827	Machado-Joseph Disease
MESH:D018437	Brown-Sequard Syndrome
MESH:D018458	Persistent Vegetative State
HP:0002067	Hypokinesia
HP:0002375	Hypokinesia
MESH:D018489	Space Motion Sickness
MESH:D018496	Hyperoxia
HP:0002578	Gastroparesis
MESH:D018614	Sweating Sickness
HP:0002829	Arthralgia
MESH:D018886	Aphasia, Conduction
MESH:D018888	Aphasia, Primary Progressive
HP:0001324	Muscle Weakness
MESH:D018980	Williams Syndrome
HP:0000957	Cafe-au-Lait Spots
HP:0012668	Syncope, Vasovagal
HP:0030833	Neck Pain
HP:0010828	Hemifacial Spasm
HP:0100704	Blindness, Cortical
MESH:D019584	Hot Flashes
MESH:D019588	Aging, Premature
MESH:D019591	Pseudophakia
MESH:D019873	Schnitzler Syndrome
MESH:D019954	Neurobehavioral Manifestations
HP:0030834	Shoulder Pain
MESH:D020078	Neurogenic Inflammation
MESH:D020150	Chorea Gravidarum
MESH:D020177	Hypersomnolence, Idiopathic
MESH:D020178	Sleep Disorders, Circadian Rhythm
MESH:D020179	Jet Lag Syndrome
HP:0002870	Sleep Apnea, Obstructive
HP:0010536	Sleep Apnea, Central
HP:0002871	Sleep Apnea, Central
MESH:D020183	Nocturnal Paroxysmal Dystonia
HP:0030765	Night Terrors
MESH:D020186	Sleep Bruxism
MESH:D020187	REM Sleep Behavior Disorder
MESH:D020188	Sleep Paralysis
MESH:D020189	Nocturnal Myoclonus Syndrome
MESH:D020207	Coma, Post-Head Injury
HP:0002362	Gait Disorders, Neurologic
HP:0003376	Gait Disorders, Neurologic
HP:0002064	Gait Disorders, Neurologic
HP:0012407	Gait Disorders, Neurologic
HP:0002515	Gait Disorders, Neurologic
HP:0002317	Gait Disorders, Neurologic
HP:0002066	Gait Ataxia
HP:0010521	Gait Apraxia
HP:0010534	Amnesia, Transient Global
MESH:D020237	Alexia, Pure
HP:0010528	Prosopagnosia
MESH:D020240	Apraxia, Ideomotor
MESH:D020250	Postoperative Nausea and Vomiting
MESH:D020270	Alcohol Withdrawal Seizures
HP:0100034	Tics
HP:0100035	Tics
MESH:D020324	Amnesia, Anterograde
HP:0002385	Paraparesis
HP:0002313	Paraparesis, Spastic
HP:0002411	Myokymia
MESH:D020447	Parasomnias
MESH:D020567	Fetal Weight
HP:0007263	Spinocerebellar Ataxias
HP:0100576	Amaurosis Fugax
HP:0000613	Photophobia
HP:0100248	Dyskinesias
HP:0002310	Dyskinesias
HP:0012164	Dyskinesias
HP:0100660	Dyskinesias
HP:0007024	Pseudobulbar Palsy
MESH:D020879	Neuromuscular Manifestations
MESH:D020886	Somatosensory Disorders
MESH:D020915	Korsakoff Syndrome
MESH:D020919	Sleep Disorders, Intrinsic
MESH:D020920	Dyssomnias
MESH:D020921	Sleep Arousal Disorders
MESH:D020922	Sleep-Wake Transition Disorders
MESH:D020923	REM Sleep Parasomnias
MESH:D020924	Urological Manifestations
HP:0030157	Flank Pain
MESH:D023341	Chills
MESH:D034062	Insomnia, Fatal Familial
HP:0000365	Hearing Loss
MESH:D037061	Metatarsalgia
MESH:D038901	Mental Retardation, X-Linked
MESH:D038921	Coffin-Lowry Syndrome
MESH:D041781	Jaundice, Obstructive
HP:0001923	Reticulocytosis
HP:0009900	Hearing Loss, Unilateral
HP:0000410	Hearing Loss, Mixed Conductive-Sensorineural
MESH:D046608	Synkinesis
MESH:D048949	Labor Pain
MESH:D048968	Morning Sickness
MESH:D050177	Overweight
HP:0002355	Mobility Limitation
MESH:D051474	Neuralgia, Postherpetic
MESH:D052120	Glycogen Storage Disease Type IIb
MESH:D052245	Usher Syndromes
HP:0000017	Nocturia
HP:0100518	Dysuria
MESH:D053201	Urinary Bladder, Overactive
MESH:D053202	Urinary Incontinence, Urge
MESH:D053448	Prostatism
HP:0002150	Hypercalciuria
MESH:D053578	Opsoclonus-Myoclonus Syndrome
MESH:D053584	Urinoma
MESH:D053591	Pain, Referred
MESH:D053608	Stupor
HP:0001254	Lethargy
MESH:D054058	Acute Coronary Syndrome
MESH:D054062	Deaf-Blind Disorders
MESH:D054068	Livedo Reticularis
MESH:D054078	Mevalonate Kinase Deficiency
MESH:D054160	Systolic Murmurs
HP:0006818	Classical Lissencephalies and Subcortical Band Heterotopias
MESH:D054546	Neuroacanthocytosis
MESH:D054971	Orthostatic Intolerance
MESH:D054972	Postural Orthostatic Tachycardia Syndrome
MESH:D055111	Failed Back Surgery Syndrome
HP:0001618	Dysphonia
MESH:D055665	Purpura Fulminans
MESH:D055948	Sarcopenia
MESH:D055955	Susac Syndrome
MESH:D055958	Piriformis Muscle Syndrome
MESH:D055964	Alien Hand Syndrome
MESH:D056124	Slit Ventricle Syndrome
HP:0001956	Obesity, Abdominal
HP:0012743	Obesity, Abdominal
MESH:D056844	Renal Colic
MESH:D056865	Ideal Body Weight
MESH:D057178	Primary Progressive Nonfluent Aphasia
MESH:D057768	Infantile Apparent Life-Threatening Event
MESH:D057774	Post-Exercise Hypotension
HP:0001065	Striae Distensae
HP:0200026	Eye Pain
MESH:D058568	Necrolytic Migratory Erythema
MESH:D059226	Nociceptive Pain
MESH:D059245	Transient Tachypnea of the Newborn
HP:0002789	Tachypnea
MESH:D059265	Visceral Pain
HP:0012532	Chronic Pain
MESH:D059352	Musculoskeletal Pain
MESH:D059373	Mastodynia
MESH:D059388	Pelvic Girdle Pain
MESH:D059390	Breakthrough Pain
MESH:D059411	Lower Urinary Tract Symptoms
HP:0012154	Anhedonia
HP:0001959	Polydipsia
MESH:D059607	Polydipsia, Psychogenic
MESH:D059787	Acute Pain
MESH:D060050	Angina, Stable
MESH:D060486	Ophthalmoplegic Migraine
MESH:D060545	Pudendal Neuralgia
MESH:D060705	Dyscalculia
MESH:D062026	Alice in Wonderland Syndrome
MESH:D062706	Prodromal Symptoms
MESH:D063766	Pediatric Obesity
HP:0003326	Myalgia
MESH:D064250	Hypertriglyceridemic Waist
MESH:D065634	Cerebrospinal Fluid Leak
MESH:D065635	Benign Paroxysmal Positional Vertigo
MESH:D065906	Hyperlactatemia
MESH:D066190	Allesthesia
HP:0004870	Chronic hemolytic anemia
HP:0001878	Hemolytic anemia
HP:0002719	Recurrent infections
HP:0000939	Osteoporosis
HP:0001743	Abnormality of the spleen
HP:0001891	Iron deficiency anemia
HP:0001894	Thrombocytosis
HP:0001974	Leukocytosis
HP:0002754	Osteomyelitis
HP:0010885	Aseptic necrosis
HP:0011981	Pigment gallstones
HP:0100749	Chest pain
HP:0000707	Abnormality of the nervous system
HP:0001396	Cholestasis
HP:0002597	Abnormality of the vasculature
HP:0003259	Elevated serum creatinine
HP:0008282	Unconjugated hyperbilirubinemia
HP:0011904	Persistence of hemoglobin F
HP:0012418	Hypoxemia
HP:0045040	Abnormal lactate dehydrogenase activity
HP:0001931	Hypochromic anemia
HP:0001935	Microcytic anemia
HP:0005518	Erythrocyte macrocytosis
HP:0000003	Multicystic kidney dysplasia
HP:0000028	Cryptorchidism
HP:0000037	Male pseudohermaphroditism
HP:0000047	Hypospadias
HP:0000175	Cleft palate
HP:0000238	Hydrocephalus
HP:0000252	Microcephaly
HP:0000316	Hypertelorism
HP:0000347	Micrognathia
HP:0000369	Low-set ears
HP:0000431	Wide nasal bridge
HP:0000494	Downslanted palpebral fissures
HP:0000776	Congenital diaphragmatic hernia
HP:0001156	Brachydactyly syndrome
HP:0001162	Postaxial hand polydactyly
HP:0001511	Intrauterine growth retardation
HP:0001671	Abnormality of the cardiac septa
HP:0002564	Malformation of the heart and great vessels
HP:0002650	Scoliosis
HP:0002714	Downturned corners of mouth
HP:0002808	Kyphosis
HP:0005264	Abnormality of the gallbladder
HP:0008668	Gonadal dysgenesis, male
HP:0100016	Abnormality of the mesentery
HP:0100335	Non-midline cleft lip
HP:0000164	Abnormality of the teeth
HP:0000286	Epicanthus
HP:0000486	Strabismus
HP:0000582	Upslanted palpebral fissure
HP:0001252	Muscular hypotonia
HP:0001263	Global developmental delay
HP:0001328	Specific learning disability
HP:0001385	Hip dysplasia
HP:0002974	Radioulnar synostosis
HP:0004209	Clinodactyly of the 5th finger
HP:0005692	Joint hyperflexibility
HP:0010978	Abnormality of immune system physiology
HP:0100543	Cognitive impairment
HP:0100805	Precocious menopause
HP:0000277	Abnormality of the mandible
HP:0000293	Full cheeks
HP:0000505	Visual impairment
HP:0000520	Proptosis
HP:0000529	Progressive visual loss
HP:0000648	Optic atrophy
HP:0000677	Oligodontia
HP:0001608	Abnormality of the voice
HP:0002781	Upper airway obstruction
HP:0002870	Obstructive sleep apnea
HP:0006482	Abnormality of dental morphology
HP:0008872	Feeding difficulties in infancy
HP:0012062	Bone cyst
HP:0012802	Broad jaw
HP:0000772	Abnormality of the ribs
HP:0001172	Abnormality of the thumb
HP:0001177	Preaxial hand polydactyly
HP:0001199	Triphalangeal thumb
HP:0001522	Death in infancy
HP:0001631	Atria septal defect
HP:0001643	Patent ductus arteriosus
HP:0001646	Abnormality of the aortic valve
HP:0001647	Bicuspid aortic valve
HP:0001680	Coarctation of aorta
HP:0001772	Talipes equinovalgus
HP:0002093	Respiratory insufficiency
HP:0002101	Abnormal lung lobation
HP:0002119	Ventriculomegaly
HP:0002414	Spina bifida
HP:0003422	Vertebral segmentation defect
HP:0005180	Tricuspid regurgitation
HP:0006695	Atrioventricular canal defect
HP:0006703	Aplasia/Hypoplasia of the lungs
HP:0007598	Bilateral single transverse palmar creases
HP:0009623	Proximal placement of thumb
HP:0009778	Short thumb
HP:0009882	Short distal phalanx of finger
HP:0010772	Anomalous pulmonary venous return
HP:0011039	Abnormality of the helix
HP:0000023	Inguinal hernia
HP:0000098	Tall stature
HP:0000256	Macrocephaly
HP:0000260	Wide anterior fontanel
HP:0000269	Prominent occiput
HP:0000340	Sloping forehead
HP:0000407	Sensorineural hearing impairment
HP:0000889	Abnormality of the clavicle
HP:0001305	Dandy-Walker malformation
HP:0007360	Aplasia/Hypoplasia of the cerebellum
HP:0007370	Aplasia/Hypoplasia of the corpus callosum
HP:0010864	Intellectual disability, severe
HP:0000987	Atypical scarring of skin
HP:0006610	Wide intermamillary distance
HP:0007486	Cavernous hemangioma of the face
HP:0000059	Hypoplastic labia majora
HP:0000243	Trigonocephaly
HP:0000368	Low-set, posteriorly rotated ears
HP:0000470	Short neck
HP:0001249	Intellectual disability
HP:0002705	High, narrow palate
HP:0003196	Short nose
HP:0008551	Microtia
HP:0009738	Abnormality of the antihelix
HP:0009906	Aplasia/Hypoplasia of the earlobes
HP:0011800	Midface retrusion
HP:0100625	Enlarged thorax
HP:0100790	Hernia
HP:0001738	Exocrine pancreatic insufficiency
HP:0002024	Malabsorption
HP:0002205	Recurrent respiratory infections
HP:0002206	Pulmonary fibrosis
HP:0002240	Hepatomegaly
HP:0002613	Biliary cirrhosis
HP:0002721	Immunodeficiency
HP:0004313	Decreased antibody level in blood
HP:0000679	Taurodontia
HP:0000682	Abnormality of dental enamel
HP:0000033	Ambiguous genitalia, male
HP:0000057	Clitoromegaly
HP:0000127	Renal salt wasting
HP:0000142	Abnormality of the vagina
HP:0000144	Decreased fertility
HP:0000151	Aplasia of the uterus
HP:0000771	Gynecomastia
HP:0000823	Delayed puberty
HP:0000835	Adrenal hypoplasia
HP:0002750	Delayed skeletal maturation
HP:0000848	Increased circulating renin level
HP:0008207	Primary adrenal insufficiency
HP:0001197	Abnormality of prenatal development or birth
HP:0001274	Agenesis of corpus callosum
HP:0001508	Failure to thrive
HP:0001622	Premature birth
HP:0001941	Acidosis
HP:0001944	Dehydration
HP:0001998	Neonatal hypoglycemia
HP:0002153	Hyperkalemia
HP:0002615	Hypotension
HP:0002902	Hyponatremia
HP:0002924	Decreased circulating aldosterone level
HP:0003107	Abnormality of cholesterol metabolism
HP:0003154	Increased circulating ACTH level
HP:0012605	Hypernatriuria
HP:0004349	Reduced bone mineral density
HP:0007440	Generalized hyperpigmentation
HP:0007574	Generalized bronze hyperpigmentation
HP:0008073	Low maternal serum estriol
HP:0008163	Decreased circulating cortisol level
HP:0008187	Absence of secondary sex characteristics
HP:0008232	Elevated follicle stimulating hormone
HP:0008730	Female external genitalia in individual with 46,XY karyotype
HP:0008734	Decreased testicular size
HP:0010789	Abnormality of the Leydig cells
HP:0011106	Hypovolemia
HP:0011749	Adrenocorticotropic hormone excess
HP:0011968	Feeding difficulties
HP:0011969	Elevated luteinizing hormone
HP:0012244	Abnormal sex determination
HP:0012245	Sex reversal
HP:0012598	Abnormal urine potassium concentration
HP:0012854	Midshaft hypospadias
HP:0030349	Decreased circulating androgen level
HP:0030369	Induced vaginal delivery
HP:0100779	Urogenital sinus anomaly
HP:0000218	High palate
HP:0000276	Long face
HP:0000280	Coarse facial features
HP:0000322	Short philtrum
HP:0000365	Hearing impairment
HP:0000400	Macrotia
HP:0000587	Abnormality of the optic nerve
HP:0000718	Aggressive behavior
HP:0000729	Autistic behavior
HP:0001264	Spastic diplegia
HP:0001288	Gait disturbance
HP:0001317	Abnormality of the cerebellum
HP:0002342	Intellectual disability, moderate
HP:0002465	Poor speech
HP:0002514	Cerebral calcification
HP:0002684	Thickened calvaria
HP:0003202	Skeletal muscle atrophy
HP:0000194	Open mouth
HP:0000262	Turricephaly
HP:0000303	Mandibular prognathia
HP:0000324	Facial asymmetry
HP:0000348	High forehead
HP:0000508	Ptosis
HP:0003307	Hyperlordosis
HP:0004322	Short stature
HP:0005048	Synostosis of carpal bones
HP:0006101	Finger syndactyly
HP:0009773	Symphalangism affecting the phalanges of the hand
HP:0010669	Cheekbone underdevelopment
HP:0011304	Broad thumb
HP:0012368	Flat face
HP:0000158	Macroglossia
HP:0000239	Large fontanelles
HP:0000271	Abnormality of the face
HP:0000821	Hypothyroidism
HP:0001290	Generalized hypotonia
HP:0001510	Growth delay
HP:0001537	Umbilical hernia
HP:0002360	Sleep disturbance
HP:0004491	Large posterior fontanelle
HP:0006579	Prolonged neonatal jaundice
HP:0000614	Abnormality of the nasolacrimal system
HP:0000820	Abnormality of the thyroid gland
HP:0001824	Weight loss
HP:0001903	Anemia
HP:0002017	Nausea and vomiting
HP:0002027	Abdominal pain
HP:0002113	Pulmonary infiltrates
HP:0002716	Lymphadenopathy
HP:0012191	B-cell lymphoma
HP:0100721	Mediastinal lymphadenopathy
HP:0000975	Hyperhidrosis
HP:0012123	Posterior uveitis
HP:0004912	Hypophosphatemic rickets
HP:0000117	Renal phosphate wasting
HP:0000684	Delayed eruption of teeth
HP:0002652	Skeletal dysplasia
HP:0002653	Bone pain
HP:0002749	Osteomalacia
HP:0002812	Coxa vara
HP:0002814	Abnormality of the lower limb
HP:0002970	Genu varum
HP:0003020	Enlargement of the wrists
HP:0003109	Hyperphosphaturia
HP:0004576	Sclerotic vertebral endplates
HP:0005096	Distal femoral bowing
HP:0005764	Polyarticular arthritis
HP:0006463	Rickets of the lower limbs
HP:0008732	Renal hypophosphatemia
HP:0010639	Elevated alkaline phosphatase of bone origin
HP:0011001	Increased bone mineral density
HP:0011036	Abnormality of renal excretion
HP:0012052	Low serum calcitriol
HP:0100511	Abnormality of vitamin D metabolism
HP:0100559	Lower limb asymmetry
HP:0100671	Abnormal trabecular bone morphology
HP:0001363	Craniosynostosis
HP:0002982	Tibial bowing
HP:0003416	Spinal canal stenosis
HP:0030757	Tooth abscess
HP:0100036	Pseudo-fractures
HP:0100686	Enthesitis
HP:0100781	Abnormality of the sacroiliac joint
HP:0001324	Muscle weakness
HP:0003472	Hypocalcemic tetany
HP:0002097	Emphysema
HP:0002098	Respiratory distress
HP:0000561	Absent eyelashes
HP:0002223	Absent eyebrow
HP:0002229	Alopecia areata
HP:0002289	Alopecia universalis
